search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato,Línea,Modelo alfanumérico
1, Auricular Bluetooth Gadnic Inalambrico 3.0 Musica Celular ,1999,2900,"
			
			
				
				1671
				vendidos
			
		",(8199 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,311,https://perfil.mercadolibre.com.ar/SALES+COM?brandId=945,https://articulo.mercadolibre.com.ar/MLA-647289957-auricular-bluetooth-gadnic-inalambrico-30-musica-celular-_JM,224,48,25,6,8,#647289957,Gadnic,T11,Over-ear,NA,NA
2, Auricular Vincha Deportiva Gadnic Bluetooth Running Celular ,2549,3950,"
			
			
				
				1631
				vendidos
			
		",(7419 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,398,https://perfil.mercadolibre.com.ar/SALES+COM?brandId=945,https://articulo.mercadolibre.com.ar/MLA-647289481-auricular-vincha-deportiva-gadnic-bluetooth-running-celular-_JM,313,54,19,6,6,#647289481,Gadnic,BT6,Over-ear,NA,NA
3, Auriculares Bluetooth Inalambricos Inear Con Base Recargable ,798,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1811
				vendidos
			
		",(313 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.1,67,https://perfil.mercadolibre.com.ar/TPSHOP_BAIRES,https://articulo.mercadolibre.com.ar/MLA-764888251-auriculares-bluetooth-inalambricos-inear-con-base-recargable-_JM,41,12,3,1,10,#764888251,TWS,I7s,In-ear,Earpod,3
4, Auriculares Bluetooth Inalambrico I7s iPhone Android AirPods ,839,NA,"
			
				Nuevo
			
			
				
					 - 
				
				735
				vendidos
			
		",(22 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.1,168,https://perfil.mercadolibre.com.ar/READYGOWEB,https://articulo.mercadolibre.com.ar/MLA-736879465-auriculares-bluetooth-inalambrico-i7s-iphone-android-airpods-_JM,92,38,18,9,11,#736879465,Apple,EarPods,In-ear,NA,MMEF2
5, Auriculares Inalambricos Bluetooth 5.0 I7s Tws In Ear ,990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2998
				vendidos
			
		",(95 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.0,114,https://perfil.mercadolibre.com.ar/SYSIMPORTACIONESS,https://articulo.mercadolibre.com.ar/MLA-735692134-auriculares-inalambricos-bluetooth-50-i7s-tws-in-ear-_JM,58,26,15,2,13,#735692134,TWS,I7S,In-ear,Earphone,I7s
6, Auriculares Xiaomi Intrauditivos Aluminio In Ear Premium ,489,NA,"
			
				Nuevo
			
			
				
					 - 
				
				738
				vendidos
			
		",(18 disponibles),12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,36,https://perfil.mercadolibre.com.ar/TECHTOPERFECTION,https://articulo.mercadolibre.com.ar/MLA-701738921-auriculares-xiaomi-intrauditivos-aluminio-in-ear-premium-_JM,31,5,0,0,0,#701738921,Xiaomi,ZBW4355TY,In-ear,NA,NA
7, Auriculares Bluetooth Deportivo Inalambrico Samsung iPhone ,418,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2139
				vendidos
			
		",(268 disponibles),6 cuotas sin interés,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.0,56,https://perfil.mercadolibre.com.ar/QUIEROESO+YA,https://articulo.mercadolibre.com.ar/MLA-705185832-auriculares-bluetooth-deportivo-inalambrico-samsung-iphone-_JM,28,12,6,7,3,#705185832,Quiero eso ya,QUIERO ESO YA,Ear-Buds,Bluetooth,NA
8, Auriculares Bluetooth Inalambricos Inear Con Base Recargable ,798,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1811
				vendidos
			
		",(313 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.1,67,https://perfil.mercadolibre.com.ar/TPSHOP_BAIRES,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=eLGFbQC2fR8FbFIwMEUqiEDE3GoTGyQlcfvc43y5tcuQKfAhepxMN3FjkTP6pU13Zh8GLKoIcu2SS1Ucuth3D6ZrniI%2B5p1j03FPkCqKA1vPxtFcJWwJ4Vxd9mdTA983G26lbfCUywwhxNjGGPYL%2BEmcWIahdVGQFXWtiNb7hLKRg19cMeIviLaAP860VQJeePq3JTMp350J%2B21Di%2BtRbLG%2FhNfv41jzJeUq6ODifkj%2FMT4XnEumO3OpaDUjEZgpZO1819lzwsI5njh9XX19RhiQzcHPRP2nkVO2XW%2FnG%2BlPfgTCzTO8QOJcg2VQ79YtKpjLLWpZNSP8wfg1eEbI6vEnA%2Fxqv7PHH%2Fx%2BTr6KHFZAw5loWJSIq847wUuv6U4vms4M9THDtZ%2Fkm429MfD0w8UUatYwU9P1KfmB6tpYVfr1P3Yw2NAQoX%2FGrQRH6HW0vCx9dO1s%2BF5M19LrZYBx5QyeriK3Ts1oXSlcYfKk3H4NG1b4T1FraZYxIPpQaN4NB2dhXcWgXG%2BbPc%2F2qB7MeXsnDDqn1YUxgIWzpi6nN9vi%2FEC1bKZWD4X1pKzJ46OTNsz3TInp5gk%2Flhupcjq9atabXeIQXkS%2FCqIIpGpHrDlHW0Zav0w%2Fz6I0pVFxmxJjvU1s1QU431VQj2fp6JO9UH73zUrSoD3kWv2PLUp%2F1E4B2whF0OQTbLF%2BNMyiTJbxBTkttAwpebspnDn4mO262xEmh%2Bcd9%2F27ko%2BPot9tcDoELjqdB16mAP3fb%2FcvmOuhj98s4MvB3gbpIDA%2Fg2ILm%2BRh22%2FyYLY27qcFt9hhG7EQpASf29fdyhL43WXMbKBQvA1GscdqHNCU0fTfo0wTS%2Ft%2BMhreWcas%2Bwkhl3ZMGA1DVWRv8g3PYyM%2Fh5YtX1JHbjrqSkBQ%2FCgdQUPErp%2FSFPa3FXLlXpr27QiOomc9mEx%2FxWm8bObZsKlPqhB%2BKQZpXW48ICev70br3mBvsT3bj7nO6YYpX8VqW4CgmRJ26ex5GOvjsp3m1cLzZ7iDoF8AaQPegJ3Tnoc9n3ZK078Pp8wavf9Dt6CLvZOpsKLW2fcw28UW33GpsNPTTZGRxBNaTDhXFF90VmVDfKNZEkXwE5ewm6YzIjW%2B8%2BkwiT3dMBdNvThBz2rtoFm54KAMa8k05h7uAh%2BJ5aLJpDQ76rxDfbG8qOvOBj8Zx7CX41YCAxNrDhTrqQpi%2FGtghl%2FNTY3oZk4n97NqP8j1JeMIurE9rvYhGVTH3hGc3BBQKl2MVu8C9sPCw26e1oX%2FCe8nc7B%2BdfC3f8nt2GvuK2kzCgkMKz%2F59nN%2F7bF5X9MJRFZ5QmSUR0cBhRZ2sRPEVRVE6Kt3cCM5Qfm0MyE5tsJKvleNlC1RfKtxUsY6EBxtzQKTs5%2BhZnR9MaFWXJWV7D%2F1mGYEsRVvJCfCIOvplU3plJDQQDefAJODYvCrHAg%2BNJVIJlwQebxKfcdc5brF1aNZ%2F1gPl51%2FDy10AdDRHszrfPWcgKxYqhIM9t1sU5Ww1%2FLfBWy9SkDwkcL%2FLD4Bk3FFPFrWR9WkKWg4rshJ%2BrLXaK6O5NYFsXIY8qMfXZ5mJZQ2PRUlk%2FyNrdZPhI33d%2FUF8HQg%2Bl6qYJZ7oO%2BKve0qoqQSoXCUmXVfJqM4dnVKuzwB,41,12,3,1,10,#764888251,TWS,I7s,In-ear,Earpod,3
9, Auriculares Bluetooth Celular Inalambrico Deportivo In Ear ,242,NA,"
			
				Nuevo
			
			
				
					 - 
				
				593
				vendidos
			
		",(20 disponibles),12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,3.0,3,https://perfil.mercadolibre.com.ar/01ENLINEA,https://articulo.mercadolibre.com.ar/MLA-786431094-auriculares-bluetooth-celular-inalambrico-deportivo-in-ear-_JM,1,0,1,0,1,#786431094,Ajavision,S6 Magnet,In-ear,Bluetooth,S-6
10, Auricular Bluetooth Mini Manos Libres iPhone Android Running ,375,NA,"
			
				Nuevo
			
			
				
					 - 
				
				659
				vendidos
			
		",(519 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,3.5,16,https://perfil.mercadolibre.com.ar/UNIVERSALSHOPS,https://articulo.mercadolibre.com.ar/MLA-749501381-auricular-bluetooth-mini-manos-libres-iphone-android-running-_JM,7,1,3,3,2,#749501381,Universal,S530,Mini  bluetooth,In Ear,S530
