search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Línea,Formato,Color
1, Audífonos Sony Noise Cancelling Bluetooth - Wh-1000xm3 ,1.119.900,1.699.900,"
			
			
				
				28
				vendidos
			
		",(24 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 93.325
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,5.0,10,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,https://articulo.mercadolibre.com.co/MCO-508155527-audifonos-sony-noise-cancelling-bluetooth-wh-1000xm3-_JM,10,0,0,0,0,#508155527,Sony,WH-1000XM3,NA,NA,NA
2, Audífonos Sony Bluetooth Y Función Manos Libres - Wh-ch500 ,159.900,229.900,"
			
			
				
				163
				vendidos
			
		",(20 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 4.442
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.6,37,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,https://articulo.mercadolibre.com.co/MCO-474486245-audifonos-sony-bluetooth-y-funcion-manos-libres-wh-ch500-_JM,26,9,2,0,0,#474486245,Sony,WH-CH500,MDR,Headset,NA
3, Audifonos Touch Bluetooth Auriculares Inalambricos Manos Lib ,118.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				595
				vendidos
			
		",(232 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 9.916
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.4,34,https://perfil.mercadolibre.com.co/KZCOLOMBIA,https://articulo.mercadolibre.com.co/MCO-479127462-audifonos-touch-bluetooth-auriculares-inalambricos-manos-lib-_JM,22,8,2,1,1,#479127462,NA,NA,NA,NA,NA
4, Audífonos Bluetooth Deportivos R1 Micrófono 5 Horas Potente ,24.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1203
				vendidos
			
		",(947 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.075
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.2,53,https://perfil.mercadolibre.com.co/BLUEKATOOM,https://articulo.mercadolibre.com.co/MCO-488593898-audifonos-bluetooth-deportivos-r1-microfono-5-horas-potente-_JM,31,11,6,3,2,#488593898,BlueKatoom,R1,NA,In-ear,NA
5, Mini Audífono Inalambrico Bluetooth + Obsequio ,14.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				695
				vendidos
			
		",(15 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 389
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.3,9,https://perfil.mercadolibre.com.co/COMUNICACIONESID,https://articulo.mercadolibre.com.co/MCO-495064791-mini-audifono-inalambrico-bluetooth-obsequio-_JM,6,1,1,1,0,#495064791,NA,NA,NA,NA,Negro
6, Audifonos Bluetooth Inalambricos Magneticos + Estuche ,21.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				655
				vendidos
			
		",(67 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 583
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.3,21,https://perfil.mercadolibre.com.co/GANGAD1G1TAL,https://articulo.mercadolibre.com.co/MCO-502127141-audifonos-bluetooth-inalambricos-magneticos-estuche-_JM,12,4,5,0,0,#502127141,NA,NA,NA,NA,NA
7, Audífonos Bluetooth Huawei Sport Con Bateria De 11 Horas ,169.700,229.900,"
			
				Nuevo
			
			
				
					 - 
				
				262
				vendidos
			
		",(117 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 4.714
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,19,https://perfil.mercadolibre.com.co/DELLTHUS,https://articulo.mercadolibre.com.co/MCO-491679616-audifonos-bluetooth-huawei-sport-con-bateria-de-11-horas-_JM,18,1,0,0,0,#491679616,Huawei,NA,NA,NA,NA
8, Audifono Bluetooth I7 Tws Mini + Base De Carga ,54.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				534
				vendidos
			
		",(12 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 4.575
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,3.8,12,https://perfil.mercadolibre.com.co/MARIACLAUDIAGUEVARAPICO,https://articulo.mercadolibre.com.co/MCO-479550378-audifono-bluetooth-i7-tws-mini-base-de-carga-_JM,6,1,3,0,2,#479550378,NA,NA,NA,NA,NA
9, Audífonos Bluetooth Inalámbricos ,45.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				385
				vendidos
			
		",(226 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 3.750
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,3.4,16,https://perfil.mercadolibre.com.co/BELLAYVITAL,https://articulo.mercadolibre.com.co/MCO-488555518-audifonos-bluetooth-inalambricos-_JM,6,3,2,1,4,#488555518,NA,NA,NA,NA,NA
10, Audifonos Dobles Inalámbricos Bluetooth iPhone Tipo AirPods ,59.999,99.999,"
			
				Nuevo
			
			
				
					 - 
				
				601
				vendidos
			
		",(48 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 5.000
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,3.8,19,https://perfil.mercadolibre.com.co/SIJ+DISTRIBUCIONES,https://articulo.mercadolibre.com.co/MCO-470273419-audifonos-dobles-inalambricos-bluetooth-iphone-tipo-airpods-_JM,9,4,2,2,2,#470273419,NA,NA,NA,NA,Negro
11," Audifonos Inalambricos N65s Micro Sd, Fm, Bluetooth Lcd 1.5 ",28.999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				671
				vendidos
			
		",(15 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.417
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.6,23,https://perfil.mercadolibre.com.co/OFERTA+USA,https://articulo.mercadolibre.com.co/MCO-453313132-audifonos-inalambricos-n65s-micro-sd-fm-bluetooth-lcd-15-_JM,17,5,0,0,1,#453313132,NA,NA,NA,Over-ear,NA
12, Audífonos Bluetooth Deportivos U8 Anti Sudor Original Nuevo ,49.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1029
				vendidos
			
		",(438 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 4.158
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.6,53,https://perfil.mercadolibre.com.co/BLUEKATOOM,https://articulo.mercadolibre.com.co/MCO-468795741-audifonos-bluetooth-deportivos-u8-anti-sudor-original-nuevo-_JM,34,18,0,0,1,#468795741,BlueKatoom,U8,NA,Clip-ear,NA
13," Audífonos Bluetooth I7s Tws, Base De Carga, Tipo AirPods ",44.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				251
				vendidos
			
		",(25 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.247
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,3.5,6,https://perfil.mercadolibre.com.co/CILIANUNLOCK,https://articulo.mercadolibre.com.co/MCO-509867812-audifonos-bluetooth-i7s-tws-base-de-carga-tipo-airpods-_JM,1,2,2,1,0,#509867812,NA,NA,NA,NA,NA
14, Audífonos Bluetooth Deportivos R1 Micrófono 5 Horas Potente ,24.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1203
				vendidos
			
		",(947 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.075
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.2,53,https://perfil.mercadolibre.com.co/BLUEKATOOM,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=YD41PylAhyjUNTjW28%2BPeRQFGYZaVROqvayhc8juLmo%2BKNuD7mocp2KD9iD030PchLGtmwVP2NWAsNkDQmHIt8T13Uqr8jMxdG6wQYOWCNDGwxx8BVFXuwyZmEewu4%2FPgfD3kPubA5hhq%2BTuG7xBTsbzj8%2FYnkbQh8mHbbpt5GDgADOjQHiQvMyoQsYHLvXMNKBf9amQX01OBtcWKuxY%2B1gYjPOXpaZylTOKymziy36uK3mLRJgPn1vAMgOZqpymuSmgWL%2BuWxisP0WFQk9kne2naV67OK68az2CkTX94NDmbMpNkX4YB4HBk%2BkxQe80JT3PH4%2BZeQM4esuEdtrA7O43LNrrb1GKoSHucmPiC3x5akfedFACDJpwAtnwEDPnZAp8VPecubU1DFGe8U9OKOPf6iVHA8hO8TnnEO21oLaWXekz5r%2FOU7D75eBzZC9Su5VS61XyA5MK9s872JVdWM%2BCFpE9PyjYCiboOvqGCQVHAYa6cP6wx%2FlUvd7O1qXEZYY3RbnJade%2BHWe6nuc7vw2TBFJyQ6qK7jFlxRn3QP%2Fa8ON6UkuljHZD6DvQS88yXwiBtnrbBxAPMmDlpU%2Fen4rGuVXWO7rR3uTDcGIa7fHvv7prh%2FJfHEgH6QnB7x20Pu1CdZIt8sC3Y50h4DlEFMIPJzKMX9R5daIorEO%2F5lfR0dvtVtrWGPrJWVVKFYwVSdiVU9QeRB1jz%2FG%2Bdq6wwBasISysh0z01gib3r4ntUgaZLXguDRHVw3vsh6nAAVff7udAH%2FNQniL7FO%2FMc9JZcF8bk%2FVyCM3J8apsYelEA%2BM%2F4Lqvkh7yLPnLqWlOqgsDzSK3%2BhAwpQ%2BDALoUk7w8M0ybnuiR9LwJIKmbhI%2FGziZDlC156GeMhZJBcIuIjm%2BaAR4bjRTfauhiH%2FPA5lPJZLzgr2KootWVia0qdoUJZ86ue%2FoKTqxPoeFL1VAk3Y%2F2v1NGdPczBqqf%2FwtlT1RTxkiuZ9OMR3YpaWAt6ygKStpZruutU1AEXhPQAxCIyWSU5ou8du9Hw7fqF%2BOg0Pl9rSwhY4e6ttPYKxXFvJwM%2BYxjpSU3i6q6avxBx3%2F%2Fdu7%2F%2BJT%2FONsIwcbkZkJOA7tZkVcXYKq%2FLVAfpxzIqu0z%2FSF0JhgZEHfnxL20FxLTrl7%2FSy8URwokiitM5Ut%2BZRlEHXW%2BffyDd2ZnQfJaHAOaVxVfacU90gK3ujStSesLtPj0pQa2PE53Hm2C2HFSTFGLRcJ4k1fN9XwmozEfJFBsPPWj8xt57A%2BOkOd2KHDPOylFXmm0xjCzDLcwBdNDkMl7u7PCfJ%2FKUp06SAe9tFfrQ3kK7vXqI0tYeHCBVRtWmAwp171nUqqP%2FRXkU0VP1BUDV6x7v8Ehfyj4JuGtvAfluzRuedc6aTqfHBLTc6KYnBhsg5AlqwqZ9I%2BDvS8Ls8bpgP9Siu9PeOHqi9X2JKDS7Z%2FD9MJ7fmxuYaPUk2%2FDsMdpfQIB6ytXicufRn37EQiUZ5iVMXbpYLQG2dKt%2FjB3HeZhS70YPcM0l9%2BHve2OfTsniH5KOgt9uJrtAe0UBJb%2Bx0Ie2fo7zzEszWG3UOU6qFUamgSK%2FUNaNGkhLKhRvdcZM0%3D,31,11,6,3,2,#488593898,BlueKatoom,R1,NA,In-ear,NA
15, Audífonos Hbq I7 Bluetooth Inalámbrico Los 2 Auriculares ,39.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				262
				vendidos
			
		",(9 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 3.325
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,3.9,8,https://perfil.mercadolibre.com.co/MARIAARACELLYSALAZARDUQUE,https://articulo.mercadolibre.com.co/MCO-494087700-audifonos-hbq-i7-bluetooth-inalambrico-los-2-auriculares-_JM,3,3,0,2,0,#494087700,NA,NA,NA,NA,NA
16, Xiaomi Redmi Airdots Audífonos Bluetooth Originales ,104.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				278
				vendidos
			
		",(788 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 8.742
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,29,https://perfil.mercadolibre.com.co/CASESHOPCOLOMBIA,https://articulo.mercadolibre.com.co/MCO-523095422-xiaomi-redmi-airdots-audifonos-bluetooth-originales-_JM,21,7,1,0,0,#523095422,Xiaomi,AirDots,Mi,In-ear,NA
17, Audífonos I7 Mini Bluetooth Inalámbrico Los 2 Auriculares ,54.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				374
				vendidos
			
		",(101 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.525
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,3.3,15,https://perfil.mercadolibre.com.co/SHOPPING--WEB,https://articulo.mercadolibre.com.co/MCO-467311073-audifonos-i7-mini-bluetooth-inalambrico-los-2-auriculares-_JM,6,2,2,1,4,#467311073,HBQ,NA,NA,NA,Blanco
18, Audífonos Bluetooth Deportivos U8 Anti Sudor Original Nuevo ,49.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1029
				vendidos
			
		",(438 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 4.158
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.6,53,https://perfil.mercadolibre.com.co/BLUEKATOOM,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=PqURuhRlkYNuVFCfmKRnZjG3CHmzIaDx0fhoRmLMhfuYZswC5cSrGXLRvxd5DML4%2FBChT9Mz%2BHXMhNBAyPNQzNAxg6PT4V7grGIa4Ti%2Fd7Y%2FIRr0JPmBSX4H6kQsMhoGJDxD31J7RrtwLM6k%2F1xWowtANL7uwMVm%2BABG45A32zJsRJs1y1JDLRgPwt5aqg22EzyFBqiJEZiw4V3qXEtW3Y3udekJv4w5%2BafArYAF%2Bgiq%2BEEM08%2BBJei1Oh%2FJ%2F0PW1vyWw02KP5c9G2it9mBxhXqTpOE2kK%2Fa1vNQCgCSbvjMS0a4mZ7OdndBfYdmy%2FrLrvzttAHnv36k%2BcIUsusw5ggt1kki53ruGOj0o4RgwSnQ%2BEDLqpwSZ3389WNb9Rs7LP3SUur5EQbx7tE3mHDm0xcf1fg2uAqUoNpZNw6kD4ZqxDnlvR4kWjM34A4NNBZzVbMY0UKdAcTEWi7n1UdghdZsCnWqaEQmbsdpcxDn%2B3KgSPWVMn%2F2nbZnePPNJtrDBdTBBMX5VJgHxaUWyLbmxALbYBFc7tQ47kFYkptD%2BLhxB6ySlTCBVUg1bAb48kjP8mnEDhhoL2AxrflQExdNn95vbArMA9Y4PXIHi%2Bg1vBaqVxKpPi3ccFJWaB1SnB04ECNUHxx1xqCsvoB01rR2Yfeg1LU%2FSrAFnHV13DfMTQ38YyE8mBq4zlUMHjiNb2ZendqsLjVhsE1lprE9GkY%2BMU2Fn7d3jDY22dbQsZZ4Hg52UMNRHWFl%2FY9cXmMCOaXT882tzoJaCPoPN7uW%2Fa8tfB3fLNiP%2Bfchol3%2BwvMO1hoZavS2D0ukiGE%2F4nS%2BPMFm4pFlN6xdZF10ETphMT4YVfCm3Kubh3QGzjYYKzXsPjVzbcgjZ9tDjsantuNoTbQOw94O1S62ijIYyIvS0duDwtvBtt4K1JSz9dxH6gIsZN%2FM5qIcdxmhLN%2FF3tUkClnQhkRxY27kf1Y2lPbwhFatdhnc1xUveReuIEbd%2FAh9ZVBtIhbl9jNC6Yg0LTkZgpbkmdEspgXN3wcgHjDo4bvwUjtJrGfA1%2FurqXF%2B%2BdDwYuKwu47AbpB9rUC13sRocfTHbmotxBM14cd81ts1myN0v8DQiTGEsgnbaRK50HwC0EVHWa7LbsyTEhY8C1vGRDzie0xNmhb%2BkoFs7zMmtGNiRBV6STcnwTlevTOO40pHWhL0PxZqEy%2BTqMXkrea22fRbkk5lZSw1k8XBZXpxTbXS53hhrXIpqR0aV9PaZP7iIWMb3K7lei%2BjXognKpGQHffIayUwrU6Wku%2By0%2BeO8xWTAAVi2kxCuPXpvcEh0yowLYOODQ%2FDpN9l480ZMSfzeLCD9X6DG9Qu1k1HFv%2FjsvaJqpBRPo95pof0qjt8PJlxT%2Bre2DetHf8%2BMw4sml9MyJpMK7sY63njbGli1s1sDslXVLAXtiwNMg7gKj66lFc9HCa8Miu%2F30cAIf2aREuAjlKbFc3TOIyhz81fRzMZwEIz%2FNGHvIApAfAQDX59gL3hPDe2A2pabiJ4JX4zZd7f3Na5zaBCwGQMiriC1Rrj5YQ8yB5%2FswhqQIXc21JslPTMEvKEmcGqoHnSoDRcnSHPw0pwB%2FI%3D,34,18,0,0,1,#468795741,BlueKatoom,U8,NA,Clip-ear,NA
19, Audífonos Hbq I7 Bluetooth Inalámbr 2 Auriculares-blanc ,29.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				215
				vendidos
			
		",(22 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.492
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,3.7,6,https://perfil.mercadolibre.com.co/VENTAS+CRT,https://articulo.mercadolibre.com.co/MCO-513544770-audifonos-hbq-i7-bluetooth-inalambr-2-auriculares-blanc-_JM,3,1,0,1,1,#513544770,NA,NA,NA,NA,NA
20, Audifono Auricular Manos Libres De Gotica S530 Bluetooth ,9.400,NA,"
			
				Nuevo
			
			
				
					 - 
				
				665
				vendidos
			
		",(87 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 783
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.2,10,https://perfil.mercadolibre.com.co/EULALIAGIRALDO,https://articulo.mercadolibre.com.co/MCO-514308368-audifono-auricular-manos-libres-de-gotica-s530-bluetooth-_JM,5,3,1,1,0,#514308368,NA,NA,NA,NA,NA
