search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Linha,Modelo,Formato,Modelo alfanumérico
11, Fone De Ouvido Sem Fio Bluetooth 4.1 Esportivo Stereo Sport ,39,NA,4430,3,6x,6.58,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,202,https://perfil.mercadolivre.com.br/SUEDVENDAS,https://produto.mercadolivre.com.br/MLB-687286154-fone-de-ouvido-sem-fio-bluetooth-41-esportivo-stereo-sport-_JM,107,53,26,6,10,#687286154,Universal,Fone Bluetooth Sem Fio,BH-503,Over-ear,3.0
12, Fone Ouvido Bluetooth I7s 4.2 Par Tws Sem Fio Case Base ,25,NA,2465,19,5x,5.07,NA,Envio para todo o país,NA,NA,3.4,33,https://perfil.mercadolivre.com.br/OLIST?brandId=866,https://produto.mercadolivre.com.br/MLB-1068034831-fone-ouvido-bluetooth-i7s-42-par-tws-sem-fio-case-base-_JM,13,5,6,1,8,#1068034831,Universal,NA,NA,NA,NA
13, Fone Ouvido Bluetooth 4.2 Par I7s Tws Sem Fio Case Base ,22,NA,2040,61,4x,6.02,NA,Envio para todo o país,NA,NA,3.3,30,https://perfil.mercadolivre.com.br/OLIST?brandId=866,https://produto.mercadolivre.com.br/MLB-1158138352-fone-ouvido-bluetooth-42-par-i7s-tws-sem-fio-case-base-_JM,10,4,6,5,5,#1158138352,Universal,Bluetooth,TWS,NA,NA
14, Headphone Wh-1000xm3 Com Noise Cancelling Preto ,31,NA,2294,5,6x,5.92,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,146,https://perfil.mercadolivre.com.br/FIXEXPLODE,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=nF4k7L%2FmrEo3%2BYWMM%2BvdouLpjXVxLR5QZ16Hr2nKxJsqeABelTMu3vpmYxpKUlw1dLozznXsHLmizmaGmgm9CcVU1z0nAAnysJIEfB8JR4gLF6O5%2BX1aQT8kx5bAQZ3H9h2zEsMA12TJn4G3JCB74ZxoWi6K5WtOC8Kq%2FQ%2B%2F5cgZQTnJJlOamGinvf3ep6pNAcp%2FJh179%2F2zotUbs0bKq7cDp%2BftIctY029P1TkMWhw9Tw8BmfhDeXIGbgyf2SqS%2FJ%2FuJuUshug8xV5iJL2yPbjSYFdz2rTktATwqwkhgV5NrMQ%2B6ooadpC7whdGhrxw1HfwAdpUQqFtLg5ZbyU9i6YDQJr1BgWKLimVE6Pl6d7qJYXZJpAwpFDZdu2bc%2BPszcdguA1rz0PoxUTJYd96racdE7hjkKNAe5XPbfc77URjdIuesrYdhdoThXNLFb8Var5qH8TTApWLwwUcMp517eqb1AgcOSWE%2FzsRomXh8lO3Gf8B38r%2FwDtsNpvAthr%2Bc%2BFcJBypByKndmrWBbAxqOELX1OOkKJ2a7KuyLV47pleKdWRRDgk%2FuXYyDemHc0g9c3nG0wSBh3%2BrH3CmSy6Nm0nn8JwzNBQHUyXoZYLOPHalHjyje15xiHvZneSFPX1sjAt85PP9M1mRPHWKi%2FinR81qHRqOp3PGVV9QhXAtaFUv8qLGAl7WiI6szeX9ck95q0Up2u9ZMGn7zz8pyGaTiszZlT4RpMUeQTLwxWLQ0Jpyn8p7HoGAL60ltdArX0vvFmt88l5JLwglFiyfmpEgJvQFtgA7Gz3dDNFouko8AhWwN8tq5O1iPgnalMMFj6a0PY%2BGPtHtDXVc2dh2WS2NPDbuC%2BW%2FM782T5TR%2BbCMat7cjN%2BC7jkJTTBpvftmnoUo7eyrVzBox29i%2BECv596bbJRPdyM6yMY1WvABgSnYmiCaopVz0AeYNPYsnq4Z%2BSvGBMyc4ZYsl%2Fqftgz1yrAmvOB5oeGnN0mujT0qgEnGfLFoio7jBc6ODvbea8KDDReq5NqkK1mBNgIrwZc2PBdn6MRcclKLOTVNdE8Ee19uknGsbrmhxGOsDUWoHz7l4sV5mpDwsxW8S5Gw31DHfPTAhPxvYVKj%2BoLOgrg%2FUugT1kYBbJ%2FMujPfi%2FyySBKZKXtGQHDyKmn6Tym9KxV48Gh2QZoO%2FZ3AJKEaezAN41tfl06s%2Br5tZOGZxDe26e7d%2BHrT6iZGtZgi7TOPlgMKyL2C50ZvclUCXi1T0WmVU3G7s3pptizL8ZFfu%2BLqUmYhIbUnY77TWEOU4dhvdZNdj74LgI60R4tyn8rlfsLMENyjZemzL0%2Fb30wJIf%2F1ZF61G37YPI8xF1oGGukdFNyzGAI2xQI22z7VTL8qPqKOh6zBkj2vRCWDj6JRVWQn6E3%2B3Sr99AXrYrrqbWmLj3wJgwWnl3vO7DL1%2B3e9rAHKt7sEbokZPDvpBAttpD%2BodoA7EmQt04t7mc1LMKXsbr8%2F1g311Y3p4vXwGu4up88tg3b4Oh6DjFsqXe9IgE5Sty9vZyY8tn2lGrF2vUq1q%2FNBMfdWzXF7PI1jEIQV%2Fq6m7qa9n4l7pW%2BlBPZ3fvLMeEPlkI%2BNZeCuWZrdQlnTyzgZX5pW2l8zdWm1nZWkSE0A7c5,117,13,10,3,3,#1234865706,Universal,Bluetooth,Esportivo,In-ear,BT-1
15, Qcy Qs1 T1c T1 Fone De Ouvido Tws Sem Fio Bluetooth Nfe ,142,149,1199,27,12x,13.62,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,314,https://perfil.mercadolivre.com.br/YEEKO+BRASIL,https://produto.mercadolivre.com.br/MLB-1130070766-qcy-qs1-t1c-t1-fone-de-ouvido-tws-sem-fio-bluetooth-nfe-_JM,258,38,10,3,5,#1130070766,QCY,"NA",T1C,Ear-Buds,N/A
16, Fone De Ouvido Bluetooth Xiaomi Redmi Airdots Original ,116,NA,1619,725,12x,9.68,NA,NA,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/MILAIBR,https://produto.mercadolivre.com.br/MLB-1294516194-fone-de-ouvido-bluetooth-xiaomi-redmi-airdots-original-_JM,NA,NA,NA,NA,NA,#1294516194,Xiaomi,NA,TWSEJ04LS,NA,NA
17, Fone De Ouvido iPhone 7 Plus 8 8 Plus X Xs Max Xr Bluetooth ,27,NA,1961,9997,5x,5.58,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,43,https://perfil.mercadolivre.com.br/SHOPEX.,https://produto.mercadolivre.com.br/MLB-1202718769-fone-de-ouvido-iphone-7-plus-8-8-plus-x-xs-max-xr-bluetooth-_JM,29,6,5,1,2,#1202718769,Apple,EarPods,EarPods,In-Ear e bluetooth,Todos
18, Fone De Ouvido Duplo Sem Fio Bluetooth 5.0 Qcy - Nova Versão ,152,NA,1211,822,12x,14.62,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,82,https://perfil.mercadolivre.com.br/TECHWEB-STORE,https://produto.mercadolivre.com.br/MLB-1184388935-fone-de-ouvido-duplo-sem-fio-bluetooth-50-qcy-nova-verso-_JM,64,10,4,1,3,#1184388935,QCY XIAOMI,Fone Bluetooth Sem Fio QCY - NOVA VERSÃO LANÇAMENTO,QCY - NOVA VERSÃO LANÇAMENTO,COMPACTO E ANATÔMICO,QCY - NOVA VERSÃO LANÇAMENTO
19, Headphone Fone De Ouvido Bluetooth Super Bass Sd Fm Sem Fio ,62,69,2912,403,12x,6.01,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,2443,https://perfil.mercadolivre.com.br/HERMAN+SHOPPING,https://produto.mercadolivre.com.br/MLB-1201625201-headphone-fone-de-ouvido-bluetooth-super-bass-sd-fm-sem-fio-_JM,1744,424,151,54,70,#1201625201,JBL,Everest Series,JB950,Over-ear,950
20, Fone De Ouvido S/fio Sd Bluetooth Usb Rádio Fm + P2 Promoção ,1699,1799,244,17,12x,141.67,NA,Envio para todo o país,NA,NA,0,1,https://perfil.mercadolivre.com.br/SONY+OFICIAL?brandId=281,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=ZpYMVQQ%2FSS%2Bg8Z58%2FIumH5AWrhXELOuSZZEOwNY%2Fpcdt81dDrGYzacLk0RD9s9Z1%2FZOpFL97xPuP58M7U97O189DYIp4RrKpnAYhquHIQFfvdD3q6eI2KGUeWtU524O6duK8E8RXtkm9xL0mTNDQCCOtZvAbEzYcG4EC7yu5w5zRS4Cbu7yP9OS21l9Buv%2BT%2BNFMv5HcIzNCMKtrIpBU7Nc%2BCsPBRx1zlvBTfkzZLp3sY%2BTbk3BIixwab5c037BFTx3lB1xAGUQWUzKpKaKbQfvZrZGVwKfwKTLtNrPFrvqrQx6XzoMXW3O7vwMMDAXhkUFlaip0j6beLvH9wC8ifcz%2FhzdTHKA9gNLD3Lo9Gl0Pw4Ki7Z9hu9NsUBZCEEnukDhM4ZpWewiuojm1P1YbGeiO93RZBSVyAcWG4FrtWKVVsjlhEZg9x5Oe1rVfz5B2VsxAgcBWvL8g%2FScpYRzILLuqmbqEGM3Eq%2BDKyBlnlKT9ZFTJ2NDXH8hm234p5GfSqT90kaHE0PcP3RVvC7bHeP1A78TBHP1eQ6kySD5jL%2FAHAysim4YnWuZFDOMB56xXCRyqYGZUXCgbTkIwTTj0jVQlnzBSaAHDslPnG%2BQQ%2BCZUPifYnXivaOWp9uZbma%2BAspSxQVln2W9f45%2FxA4tLiIlFZa6R6TjlhmRbTz2bEke2i6aW3oJx%2F2F3Shk%2Fw7ToQOPbu7X6VeUWl%2BmWU9vhI%2FzcLr4sCGWmZPfnTKbnXt8g0%2FGQXbAcKlofc0XxAp2dePlpQ48yc9IOlPzOj5KkYqUB9IVKImVVF3Qv9meP21uP3AZWV9%2FDjaiKXDgGF5fB4eK8HVx9ognaTj21mKPEFh8dv8JuaCs334N4Mdq53g9zzqxPgKqrN8ElYUfZhiaGqP2a1Z8X1sUHP6UfOytnXxLOiexiQOYCothCj%2BvdlNp%2Bg3W9XsxhDjPhHra5Gep6yipVKmjl73cXeejedpsx9W%2BQiYoUT1YOBqmtlGWMwsUBMOLwyITs4QCZ5TLVTETtTFpF05zXy%2Bd19kugRC9PUihIlopapPWcFJ3DfwS3djc6QsxSU79SLMsNh9V1fCQXGwqOwlrpaIMHTtKL6tLWMAzMPS60W80YskUYcqLaT0qwhimt%2FXt%2FXo03OMeDtdLJJAQ6Y8B%2BpInsR1ytcTexO3F7GWL9e5TJSia8CxS5dRD9jU1bCsaqmVmwS6yVIRh5Y0fpNFvtLC9tF4F%2Fepg%2BZz9271tHXHbAOXEy26%2BYOnUQMZEM0PZ8DdO4nWXgn6Q4ZV2ejw61lfn2QrZVvoarmOOCC%2BwFX5voj3udfhRZa0bWpfTYKucXeNzb1JULf7gx72K45c%2Bwb8zj%2B40X0MQI0siCxLGyU6DEFjH1EZFpY2MT9E7AjHTvNo6mxgyUklNl6WOPLaiBY5Qx5OOuERWYNv6P5obdvhu3rksOonAY5UK12sviqamow0obnovAN7jfBUbyG9roIDjRNcN4QCSIC5YDlIRF0a%2BXeOy6xcRaDFVbeM31SWK8RXUk0%2Bxo0tCAlRSEFYlv2QRlX09UuWadde0qxI97t1nCKYe2e6fq5ooURmSmGadbICYS%2F9dwPFTA4KntmsoTGAdHcyfkaAWkxDvp,0,0,0,0,0,#1132192223,Sony,NA,WH-1000XM3,Over-ear,WH-1000XM3
21, Fone Ouvido Bluetooth 4.1 Sem Fio Esportivo Corrida Chamadas ,31,NA,2294,5,6x,5.92,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,146,https://perfil.mercadolivre.com.br/FIXEXPLODE,https://produto.mercadolivre.com.br/MLB-1234865706-fone-ouvido-bluetooth-41-sem-fio-esportivo-corrida-chamadas-_JM,117,13,10,3,3,#1234865706,Universal,Bluetooth,Esportivo,In-ear,BT-1
22, Fone De Ouvido Bluetooth 4.1 Bateria Dura 20 Horas De Musica ,47,NA,3935,97,6x,8.00,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,76,https://perfil.mercadolivre.com.br/NATHCELLDIGITALL,https://produto.mercadolivre.com.br/MLB-920966446-fone-de-ouvido-bluetooth-41-bateria-dura-20-horas-de-musica-_JM,53,15,3,2,3,#920966446,Universal,Primeira,Marca JWCOM Modelo H30,In-ear,4.1 + EDR
23, Fone Ouvido Xiaomi Redmi Airdots Com Bluetooth 100% Original ,215,NA,390,25,12x,17.96,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,251,https://perfil.mercadolivre.com.br/ENCONTREAKI+SHOP,https://produto.mercadolivre.com.br/MLB-1267444151-fone-ouvido-xiaomi-redmi-airdots-com-bluetooth-100-original-_JM,217,24,8,1,1,#1267444151,Xiaomi,AirDots,Redmi Airdots,Ear-Buds,TWSEJ04LS
24, Fone Ouvido Sem Fio I7s Tws Bluetooth AirPods Ios Android ,49,NA,1437,979,6x,9.23,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.5,59,https://perfil.mercadolivre.com.br/MOBILETECHRJ,https://produto.mercadolivre.com.br/MLB-1223803179-fone-ouvido-sem-fio-i7s-tws-bluetooth-airpods-ios-android-_JM,24,12,5,3,15,#1223803179,Universal,Airpod Bluetooth,Airpods i7S TWS,In-ear,i7S TWS
25, Fone Ouvido Bluetooth Sport Mp3 Hz-k4 Corrida Cartão Micro ,39,NA,625,84,6x,7.40,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,25,https://perfil.mercadolivre.com.br/HAIZ_SHOP,https://produto.mercadolivre.com.br/MLB-1135367218-fone-ouvido-bluetooth-sport-mp3-hz-k4-corrida-carto-micro-_JM,16,8,1,0,0,#1135367218,HAIZ,NA,Sport,Neckband,HZ-K4
26, Fone Ouvido Sem Fio Bluetooth Chamadas Sd Fm Mp3 Usb Aux P2 ,33,NA,3712,959,6x,6.29,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,214,https://perfil.mercadolivre.com.br/MEGA+EXOPLANET.SHOP,https://produto.mercadolivre.com.br/MLB-1169782507-fone-ouvido-sem-fio-bluetooth-chamadas-sd-fm-mp3-usb-aux-p2-_JM,189,13,7,3,2,#1169782507,Goldenultra,Bluetooth,P.47,Over-ear,B05 Over-Ear
27, Fone De Ouvido Headset Bluetooth 4.1 Sem Fio Música Chamadas ,34,NA,2069,79,6x,5.83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4,102,https://perfil.mercadolivre.com.br/NATHCELLDIGITALL,https://produto.mercadolivre.com.br/MLB-920969981-fone-de-ouvido-headset-bluetooth-41-sem-fio-musica-chamadas-_JM,52,24,11,9,6,#920969981,Universal,Primeira,S-810,Headset,Fone Bluetooth 4.1
28, Fone Jbl T500bt Bluetooth T500 Bt Garantia 1 Ano Jbl ,248,NA,996,184,12x,20.67,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,169,https://perfil.mercadolivre.com.br/TECHMAISMUSIC,https://produto.mercadolivre.com.br/MLB-875932473-fone-jbl-t500bt-bluetooth-t500-bt-garantia-1-ano-jbl-_JM,146,20,1,0,2,#875932473,JBL,Tune Series,JBL T500BT TUNE 500BT,Over-ear,JBLT500BTBLK
29, Headset B 05 B-05 Fone De Ouvido Bluetooth Sem Fio Sd Fm P2 ,35,NA,1826,407,6x,6.64,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,63,https://perfil.mercadolivre.com.br/ELLECTRO.COM.BR,https://produto.mercadolivre.com.br/MLB-1184173314-headset-b-05-b-05-fone-de-ouvido-bluetooth-sem-fio-sd-fm-p2-_JM,53,8,1,0,1,#1184173314,JBL,B-05,B-05,Over-ear,B-05
30, Fone Ouvido Bluetooth Sem Fio Headphone Rock In Rio 100% Nf ,33,NA,414,59,6x,6.27,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.8,13,https://perfil.mercadolivre.com.br/ELETRO+SHOK,https://produto.mercadolivre.com.br/MLB-1170559488-fone-ouvido-bluetooth-sem-fio-headphone-rock-in-rio-100-nf-_JM,7,2,1,0,3,#1170559488,Universal,Rock In Rio,Rock in Rio,On-ear,NA
31, Fone De Ouvido Bluetooth Sem Fio Duplo Tws Original - Preto ,159,NA,732,113,12x,15.24,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,25,https://perfil.mercadolivre.com.br/LIFE+SHAPER,https://produto.mercadolivre.com.br/MLB-1187330826-fone-de-ouvido-bluetooth-sem-fio-duplo-tws-original-preto-_JM,17,3,2,2,1,#1187330826,TSW,Linha,HBQ-Q32,Headset,1452
32, Fone De Ouvidobluetooth Haiz Stereo Mp3 Hz-k168 ,51,NA,349,31,10x,5.20,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.1,14,https://perfil.mercadolivre.com.br/HAIZ_SHOP,https://produto.mercadolivre.com.br/MLB-1135321825-fone-de-ouvidobluetooth-haiz-stereo-mp3-hz-k168-_JM,8,3,1,0,2,#1135321825,HAIZ,sem fio,Wireless Bluetooth,In-ear,HZ-K168
33, Fones De Ouvido Xiaomi Bluetooth ,115,152,1426,585,12x,9.58,NA,NA,NA,NA,4.8,779,https://perfil.mercadolivre.com.br/TOPDEALSBR?brandId=2069,https://produto.mercadolivre.com.br/MLB-1224551757-fones-de-ouvido-xiaomi-bluetooth-_JM,646,97,23,3,10,#1224551757,Xiaomi,NA,Redmi AirDots,NA,NA
34, Fone Bluetooth 5.0 Qcy T1 Tws Com Case Carregador Original ,120,NA,703,359,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,158,https://perfil.mercadolivre.com.br/DAPONECOMMERCE,https://produto.mercadolivre.com.br/MLB-1242202328-fone-bluetooth-50-qcy-t1-tws-com-case-carregador-original-_JM,136,15,3,2,2,#1242202328,QCY,Fone Bluetooth,T1 TWS,In-ear,TWS
35, Fones De Ouvido Sem Fio Bluetooth 5.0 Qcy Tws - Nova Versão ,149,NA,576,329,12x,14.33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,158,https://perfil.mercadolivre.com.br/TECHWEB-STORE,https://produto.mercadolivre.com.br/MLB-1184384409-fones-de-ouvido-sem-fio-bluetooth-50-qcy-tws-nova-verso-_JM,136,15,3,2,2,#1184384409,QCY XIAOMI,Fone Bluetooth Sem Fio,T1 QS1 - NOVA VERSÃO,COMPACTO E ANATÔMICO,QCY QS1 T1
36, Fone De Ouvido Bluetooth Earbuds Tws 5.0 ,99,122,1132,284,12x,8.26,NA,NA,NA,NA,4.4,54,https://perfil.mercadolivre.com.br/TOPDEALSBR?brandId=2069,https://produto.mercadolivre.com.br/MLB-1183592949-fone-de-ouvido-bluetooth-earbuds-tws-50-_JM,39,7,3,3,2,#1183592949,TWS,NA,Bluetooth 5.0,NA,NA
37, Fone De Ouvido Headphone Sem Fio Micro Sd Usb Fm Bluetooth ,31,NA,282,99717,6x,5.25,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/CASA.ELETRONICO,https://produto.mercadolivre.com.br/MLB-1242799579-fone-de-ouvido-headphone-sem-fio-micro-sd-usb-fm-bluetooth-_JM,1,0,0,0,0,#1242799579,Universal,Importado,B05,In-ear,B-05
