search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Formato
1, V5 Audifonos Inalámbricos Bluetooth 5.0 Calidad Y Estilo ,120,NA,66,4,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.7,6,http://perfil.mercadolibre.com.pe/CLOUD+BUSINESS,https://articulo.mercadolibre.com.pe/MPE-434419720-v5-audifonos-inalambricos-bluetooth-50-calidad-y-estilo-_JM,4,2,0,0,0,#434419720,NA,NA,NA,NA
2, Stock Audifonos Original Xiaomi Redmi Airdots Envió Inmediat ,88,NA,496,762,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,85,http://perfil.mercadolibre.com.pe/ZEALOTT+IMPORTACIONES,https://articulo.mercadolibre.com.pe/MPE-436293760-stock-audifonos-original-xiaomi-redmi-airdots-envio-inmediat-_JM,58,23,4,0,0,#436293760,Xiaomi,Audifonos Bluetooth,Redmi AirDots,Headset
3, Audifonos Jbl Bluetooth Pure Bass Sound T110 Wireles Colores ,129,NA,40,34,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,6,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-435128963-audifonos-jbl-bluetooth-pure-bass-sound-t110-wireles-colores-_JM,5,1,0,0,0,#435128963,JBL,NA,T110,NA
4, Audifonos Original Xiaomi Redmi Airdots En Stock + Tienda !! ,84,119,165,435,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,85,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,https://articulo.mercadolibre.com.pe/MPE-433005812-audifonos-original-xiaomi-redmi-airdots-en-stock-tienda--_JM,58,23,4,0,0,#433005812,Xiaomi,Mi,AirDots,In-ear
5, Audifonos Inalambrios Bluetooth Imantados Deportivos 2018 ,30,NA,418,26,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.3,29,http://perfil.mercadolibre.com.pe/FROG_PEOPLE+_IMPORT,https://articulo.mercadolibre.com.pe/MPE-420579803-audifonos-inalambrios-bluetooth-imantados-deportivos-2018-_JM,15,11,1,0,2,#420579803,NA,NA,NA,NA
6, Stock Audifonos Original Xiaomi Redmi Airdots Entrega Rapida ,88,NA,148,115,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,85,http://perfil.mercadolibre.com.pe/MAJU4927724,https://articulo.mercadolibre.com.pe/MPE-436361713-stock-audifonos-original-xiaomi-redmi-airdots-entrega-rapida-_JM,58,23,4,0,0,#436361713,Xiaomi,Wearables Bluetooh,Redmi Airdots,Headset
7, Mini AirPods I9s Tws Audifonos Bluetooth 5.0 Ultima Version ,75,NA,27,19,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/MAJU4927724,https://articulo.mercadolibre.com.pe/MPE-435244365-mini-airpods-i9s-tws-audifonos-bluetooth-50-ultima-version-_JM,1,0,0,0,0,#435244365,NA,NA,NA,NA
8, Samsung Galaxy Buds 2019 Audifonos Inalambricos En Stock!! ,539,NA,67,32,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,0,5,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-436048863-samsung-galaxy-buds-2019-audifonos-inalambricos-en-stock-_JM,0,0,0,0,0,#436048863,Samsung,Galaxy,Buds,In-ear
9, Audifonos Deportivos Bluetooth 4.2 Inalámbricos Radio Sd ,49,NA,620,380,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.4,9,http://perfil.mercadolibre.com.pe/GRUPONATIC.PE,https://articulo.mercadolibre.com.pe/MPE-418636835-audifonos-deportivos-bluetooth-42-inalambricos-radio-sd-_JM,5,3,1,0,0,#418636835,st3,NA,NA,NA
10, Motorola Audifonos Bluetooth Pulse Escape Super Combo Pack ,149,NA,121,31,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,18,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-433512029-motorola-audifonos-bluetooth-pulse-escape-super-combo-pack-_JM,15,3,0,0,0,#433512029,Motorola,NA,Pulse Escape,Over-ear
11, Audifonos Hands Free Bluetooth V4.1 Micro Magneticos ,17,NA,30,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/VENTAS+O.,https://articulo.mercadolibre.com.pe/MPE-436216694-audifonos-hands-free-bluetooth-v41-micro-magneticos-_JM,NA,NA,NA,NA,NA,#436216694,NA,NA,NA,NA
12, Skullcandy Audifonos Bluetooth Method Sport Supreme Sound ,199,NA,31,31,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.7,3,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434305464-skullcandy-audifonos-bluetooth-method-sport-supreme-sound-_JM,2,1,0,0,0,#434305464,Skullcandy,NA,Method,NA
13," Audifono Redmi Xiaomi Airdots Originales! En Stock,tienda ",88,NA,57,94,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,85,http://perfil.mercadolibre.com.pe/TITECHNOLOGYIMPORT,https://articulo.mercadolibre.com.pe/MPE-436723758-audifono-redmi-xiaomi-airdots-originales-en-stocktienda-_JM,58,23,4,0,0,#436723758,Xiaomi,NA,AIRDOTS REDMI,NA
