search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Peso,Tipos de filtros del parlante,Conectores de entrada
11, Parlante Jbl Charge 4 Bluetooth Portatil Cargador Waterproof ,119.99,159.990,42,391,12,9.999,NA,Envío gratis a todo el país,NA,NA,5,2,https://perfil.mercadolibre.cl/MR.CLICK+CHILE,https://articulo.mercadolibre.cl/MLC-481530674-parlante-jbl-charge-4-bluetooth-portatil-cargador-waterproof-_JM,2,0,0,0,0,#481530674,JBL,Charge 4,30 W,0.96 kg,Activo,NA
12, Barra De Sonido Soundbar Bluetooth Sensewave Master G ,12.99,16.990,153,39,6,2.165,NA,Envío a todo el país,NA,NA,3.4,9,https://perfil.mercadolibre.cl/PROGLOBALCHILE,https://articulo.mercadolibre.cl/MLC-456354330-barra-de-sonido-soundbar-bluetooth-sensewave-master-g-_JM,4,1,1,1,2,#456354330,Master-G,Soundbar MGSB110,NA,NA,NA,NA
13, Parlante Bluetooth Karaoke Mlab 60w 8 + 2 Microfonos ,39.99,NA,201,40,6,6.665,NA,Envío gratis a todo el país,NA,NA,4.9,11,https://perfil.mercadolibre.cl/MMSMIKE1,https://articulo.mercadolibre.cl/MLC-465278552-parlante-bluetooth-karaoke-mlab-60w-8-2-microfonos-_JM,10,1,0,0,0,#465278552,MLAB,7806,60 W,5.8 kg,NA,NA
14, Parlante Karaoke Bluetooth Fiddler Doble Altavoz + Micrófono ,29.99,49.990,320,NA,6,4.998,NA,Envío gratis a todo el país,NA,NA,3.3,27,https://perfil.mercadolibre.cl/MACROTEL+TO?brandId=335,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=fjqIAGd%2Bw1Sp%2Fjv43wPz9KLy5lgoFEqbVoPAl%2FVgFDK%2Bfhwu2TE19sXJEeiK7bQBDCI8d81Kadd%2BeD3ZZeWBDAV5oTKSzVIDZ8uZZO0S7K%2BZMw%2FFUV4YKvYFjmGORJkRIq1obpl33D32VR7UcOU6YDzWMyerOYpDqMiCJWH%2FE0Qr3i9IfBSA9yujT5j%2FPin4zq7l3OA6Xm08t%2BBVXVa4LVHzhoGLR%2FMVNZEffVO43AaGn8wb3z3HzVaGq%2F3u0jseyKVTsnVrEFtUhYVwbqxeZ1CK6BG%2Bz%2FRPWfveVjEdTIi5IrB%2FJ6FIHbc%2B09bAjaPidYX2scw%2FuDLbdSU%2FibkIpqEmezgsCi3Kb4Ul%2FA%2FKfBC0FIzuDUUHqsSpP3nZi81suR7qVGp%2Bb7tmXGm959PQHfk9oLQ%2FlRqXauw1%2BFCB6qEa9%2B4iYFFyt%2BiPHqZc2qr3nMEPqd%2FnZUtMV4El4eFvIxET4Jhkc1PJE9c9WrSPHmHn2n%2BThQWN5YUzMGlEE1c9iaPy%2By3SUpHZdZdOnUOwdbV%2BMzF6eQs00xmn6KjCOPRQbjtaMKv%2FiL7S%2Bob%2F5EFPuARjs2FGlT0Hbuu8Kbpu8fT2QW0tfdD6YbA8U76qHeQVfYm1Q22KDVxRCw0%2BwAhjFLqNyMyTUYVCwTvumiNTeBgnjAxVusiVMrIEGzv5TM63nKFKEyiUqUCpIs8oLAyEFFHeMv75Ie6mIiYUIZPVg3fMI7lnU2EvfFBFMPhMc47Rqlaw6apRTobwkvRXBj9%2FiaYqtnsTGE3S9MNfsrqPbeO63KrvHnG%2FXVTL8Ghwk1%2ByRwKSkI1lweI2mVujyf3kAQSlJM%2BX2pL8nR0MRN%2Ff0qnPsC92rr4hCQbSJHaHQ%2BH5x65Lusvb0wx2u%2FxvX7P3EQXOAxQibnzl7PzMHnrRjcXDyUPvFQcZcoD%2FZj2kNeYRUdgm5xFuMCSkzEiDrgi7H7izJQ61LulpZBe1tOBi4moi4VDwOzeEof3BwYdAXAsU2CaVWZi9NcUxcwgy5l4HZIcFm2GPnxDzMSVWVn%2FUOxWcMcjxYYD7d2zLMcWT2a7RiDxHbgkSp1%2FamPQMJWBSiEmQwehzkPBMySCqQYolbhl0YHdCFIB%2FHHexho1%2BkCWWbfy651I3pmLJ9Nia1gI0JRgCN31bD%2FHAsqv0KzlnuQuMOMedkQ%2B9dxOV92O37TXLO%2FZ5%2BfNiFB264GxTG9zXxGbtdvyAetsr0yn2EXPGUAj8miO0Au3iBiNoh0R7msviFhVjXoSXUXIAjzTOCQ76IDWF86DQ1mZWqgc0sqkF9innvNMDSpcoTN%2FPOAyZcig3lGlr2cNCiCMAE0SAiV0kMgtujv4a3hnm822DFkgSKHDuH9vD%2Byb4b0ead7BniUzfDklWGaxqVqQnWclQ%2F36L1BfsaX9718Mqnwpk7JbJsWTdk3IIRZPMZZ0Z9JwR2U8%2FM3mwbpPC4xsZg7sONlsqKWNpOyWqFeKEErY5dVsGOWLKMO9j1omumVWmvj%2FsCKwW7nWaclXhYI9R%2Fg2i%2FYhAI5lQC9icOLPWayfP%2BwnzgpOpBDb9T6DguvnH2reP,9,6,4,1,7,#461986096,Fiddler,FD-PKBTD6,10 W,NA,NA,Auxiliar
15, Mini Parlante Bluetooth Usb Sd Con Luces Led ,2.59,3.990,81,19,12,216,NA,Envío a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/OFERTABKNCL,https://articulo.mercadolibre.cl/MLC-486318322-mini-parlante-bluetooth-usb-sd-con-luces-led-_JM,1,0,0,0,0,#486318322,NA,NA,NA,NA,NA,NA
16, Ld Systems Maui5 - Line Array Audio Portatil Activo Parlante ,439,NA,4,10,12,36.583,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/XPRO.STORE,https://articulo.mercadolibre.cl/MLC-449031045-ld-systems-maui5-line-array-audio-portatil-activo-parlante-_JM,NA,NA,NA,NA,NA,#449031045,LD Systems,MAUI 5,NA,NA,NA,NA
17, Sony Parlante Bluetooth Inalámbrico Portatil Srs-xb10 Rojo ,27.99,NA,229,11,6,4.665,NA,Envío gratis a todo el país,NA,NA,4.6,15,https://perfil.mercadolibre.cl/-SONY+CHILE?brandId=32,https://articulo.mercadolibre.cl/MLC-448165798-sony-parlante-bluetooth-inalambrico-portatil-srs-xb10-rojo-_JM,11,2,0,1,0,#448165798,Sony,SRS-XB10,NA,260 g,Activo,NA
18," Parlante Karaoke Bluetooth Fiddler Altavoz 6,5'' Panel Led ",19.99,29.990,250,22,6,3.332,NA,Envío gratis a todo el país,NA,NA,4.4,12,https://perfil.mercadolibre.cl/MACROTEL+TO?brandId=335,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=aRfLjrJgVeUh3jRNPVUeYywGeCDYRNDbZ7h29gSIg85xdSilGqkilA01MOWTwRvZIl7MxqL9GCCG5h8ZMbzjnemDpUYfUWLdjLjuhbcH3rfeF%2BUmwxq25yTO0Yzs27IFJF%2BLFzyr6BE7IkW4iwaAIRuOxpbh6Ta%2FBEcOCOzhYJUHxZZOzk69bIaXOKX%2BI7IrhTXCAuwJNXsn%2FG%2Fe1yEckRJI%2BzZliei2rHKbCPol6%2Bz95lh6u1Ex3GEtbBABXHDwxo%2BKlL2X3ljwl8HixEP6iTMTxXcapB0h1cy7UM5BhA6u1lKfgRmicAVA7EeAhzhPC3a01zu%2FTRegmavrEWcTK3SRc6fAKd%2BXeB5a6%2FgxHwlT13I2Zo8KUquS9X9HoN6WcLDtPgf8ibIHkFUuY5bXAkdTYfQVduVpJaDosSKIF83aLh36umRAoycd1QjdQXmbm4Z66HuXVLL8DrtDXfZ6GNb5uL8lFNfotWQlG281ulEfLuNpTZFBnfdD6%2BLYrADFmDrRROncXHKtHg9pIziHlC8aKX%2FwsNtRsBN8x4ByLnOdg1KnCmmjP5kMJhFw%2Byo%2F036td6NFQd1%2FZUTG6vxAhAMsnZHFA%2FiPnpgd5lo1iwVc0nhz3Uo4XjQWloZJDVCuIZtNwD27gvPqITH3UE8gKDMgo8aVPk3iCrHSJ3FxXqJ2NkROVjbLCImwHBlM2lCUTG6l129srY18DO5S4jbBj%2F6qv6p2dJINrwEfAakPIW2oDB6lW1vb4rhN8pay6grom6IUbu940SX1R8Z7Q%2BH0TGvIoRb2YxV9iFJKh%2BvN7El2F%2FZUcKbNIejOpbaluDdRvtPB8BPufMRqqBE6YwzTvICKeWPgq1Hiifuwh9BEr2ITSed29RhcXuIoet5hzpoEXSZSYI95mNlklm1ShP0QhKuaLafBR5Jo8AQquw5volrMDzEHgdJ%2FCillpFckECs3eroSuvp8y6fcU56RPO2WXpNjZ3HmRz7zV70HzwT7AkU%2Bzq4nPu7shkXmFfUK4coTB0J9cotvz91IlK%2FxVjZBhsuHAtYY81fyTnHsdFiiGA8ZGhYaa3%2FFxgP0PGzQgczXytUCRkSYIKsX%2B%2B0Q6Yb6hAzdE6p07xCqQ27n0tDNjggT8FjwJshqV8aIIsPh5ZnDj%2B5yWrZMROZMraJFNPCv5dpA%2BpaoEHrkhsUQE3Le8KRx0Ph3ypQZh8ZoD8SGfOTfOEQI%2BTuj0Boom7gJ9zfjW7qEnEmEUui%2F8hisQWxEMX%2FMvW1MqruFJkoge2GfQk3RUVG3e3WlD8bdj0zgUZ8TRqpENlYJvaK8WdTYwr%2BU6%2FZQpgpFomz3j3RROqNU3Hih%2FZ1IQDJJ9I0hQ%2BYI01IVXcgXqhEZrPxIX2PiCvRBqAEKS4Evoaw%2FTPs8lEJYVDEoRkoUp1NKCHwLVunS7cPXJ9rDfCc8zqkb59YrU4bodcc8tSb7grIBfgJKV2VXOD51WrZC31Jl5zexFnaeQE8QjRGxnzb0UjEM9IicCZSty4WQ3IY9qUCk4Mm7%2Fc%2Brs05xynm4yiHtEDA%2FWQ4X7q6NI6b2%2FsgKnDM9JNqq,8,3,0,0,1,#462984847,Fiddler,FD-PKBT61,10 W,2.8 kg,NA,NA
19, Parlante Portátil Bluetooth Bose Soundlink Revolve Negro ,199.99,NA,40,4,6,33.332,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-471014399-parlante-portatil-bluetooth-bose-soundlink-revolve-negro-_JM,NA,NA,NA,NA,NA,#471014399,NA,NA,NA,NA,NA,NA
20, Parlante Bluetooth Bose Soundtouch 30 Negro ,375.99,465.990,18,11,6,62.665,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-472184462-parlante-bluetooth-bose-soundtouch-30-negro-_JM,1,0,0,0,0,#472184462,Bose,Parlante Bluetooth Bose Soundtouch 30 Negro,NA,NA,NA,Auxiliar
21, Par Parlante Caja Acústica 15 Eon615 Jbl - Envío Gratis ,620,800.000,10,NA,6,103.333,NA,Envío gratis a todo el país,NA,NA,5,3,https://perfil.mercadolibre.cl/ARTECNOINSTRUMENTOS,https://articulo.mercadolibre.cl/MLC-487403975-par-parlante-caja-acustica-15-eon615-jbl-envio-gratis-_JM,3,0,0,0,0,#487403975,JBL,EON615,NA,NA,NA,NA
22, Jbl Flip 4 Parlante Portátil Bluetooth Inalámbrico ,59.99,99.990,205,13,6,9.998,NA,Envío gratis a todo el país,NA,NA,4.8,31,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-457910644-jbl-flip-4-parlante-portatil-bluetooth-inalambrico-_JM,28,2,0,0,1,#457910644,JBL,Flip 4,16 W,NA,Activo,NA
23, Parlante Bluetooth Inalambrico Impermeable Ducha Agua ,3.99,4.990,675,318,6,665,NA,Envío a todo el país,NA,NA,4.3,7,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-434759217-parlante-bluetooth-inalambrico-impermeable-ducha-agua-_JM,4,1,2,0,0,#434759217,NA,NA,NA,NA,NA,NA
24, Mlab Parlante Karaoke Bluetooth Funky Disco + Micrófono ,29.99,34.990,50,5,6,4.998,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-484827689-mlab-parlante-karaoke-bluetooth-funky-disco-microfono-_JM,1,0,0,0,0,#484827689,Mlab,Funky Disco + Micrófono,3000 W,NA,No aplica,NA
25, Parlante Bose S1 Pro ,529.99,NA,10,4,6,88.332,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-475923195-parlante-bose-s1-pro-_JM,1,0,0,0,0,#475923195,Bose,Parlante Bose S1 Pro,NA,NA,Activo,NA
26, Parlante Bluetooth Soundcore Motion Q ,31.99,49.990,102,6,6,5.332,NA,Envío gratis a todo el país,NA,NA,5,7,https://perfil.mercadolibre.cl/ANKERSTORE?brandId=188,https://articulo.mercadolibre.cl/MLC-467409330-parlante-bluetooth-soundcore-motion-q-_JM,7,0,0,0,0,#467409330,Anker,NA,NA,NA,NA,Auxiliar
27, Parlante Soundbar Master-g Bluetooth Mgsb110 - Prophone ,14.99,NA,41,899,6,2.498,NA,Envío a todo el país,NA,NA,2,3,https://perfil.mercadolibre.cl/PROPHONELTDA,https://articulo.mercadolibre.cl/MLC-460126097-parlante-soundbar-master-g-bluetooth-mgsb110-prophone-_JM,0,1,0,0,2,#460126097,Master-G,Soundbar MGSB110,NA,NA,NA,NA
28, Parlante Bluetooth Outdoor Powerbass3 10w Ipx6 Njoytech ,19.99,24.990,108,92,12,1.666,NA,Envío gratis a todo el país,NA,NA,4.6,7,https://perfil.mercadolibre.cl/NJOYTECH+CHILE,https://articulo.mercadolibre.cl/MLC-464586508-parlante-bluetooth-outdoor-powerbass3-10w-ipx6-njoytech-_JM,5,1,1,0,0,#464586508,NA,NA,10 W,287 g,NA,NA
29, Jbl Flip 4 Negro Parlante Portátil Bluetooth Inalámbrico ,64.99,79.990,29,2,6,10.832,NA,Envío gratis a todo el país,NA,NA,4.8,31,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-469200539-jbl-flip-4-negro-parlante-portatil-bluetooth-inalambrico-_JM,28,2,0,0,1,#469200539,JBL,JBL Flip 4,8 W,515 g,No aplica,NA
30, Amazon Echo Dot 3 Parlante Inteligente Alexa Español ,34.99,64.990,45,13,6,5.832,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MR.CLICK+CHILE,https://articulo.mercadolibre.cl/MLC-484950082-amazon-echo-dot-3-parlante-inteligente-alexa-espanol-_JM,NA,NA,NA,NA,NA,#484950082,Amazon,NA,NA,NA,NA,NA
31, Pendrive Receptor Transmisor Bluetooth Usb Parlantes Auto ,3.99,NA,1229,74,6,665,NA,Envío a todo el país,NA,NA,3.5,50,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-435146526-pendrive-receptor-transmisor-bluetooth-usb-parlantes-auto-_JM,24,6,3,6,11,#435146526,Importado,Pendrive,NA,NA,NA,NA
32, Parlante Harman Kardon Aura Studio 2 Sistema De Altavoces ,129.99,249.990,56,12,6,21.665,NA,Envío gratis a todo el país,NA,NA,5,2,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-451893220-parlante-harman-kardon-aura-studio-2-sistema-de-altavoces-_JM,2,0,0,0,0,#451893220,Harman Kardon,Aura Studio 2,NA,NA,Activo,NA
33, Parlante Soundbar Irt Bluetooth 24w Rms Nuevo Envío Gratis ,24.99,29.990,35,NA,6,4.165,NA,Envío gratis a todo el país,NA,NA,5,3,https://perfil.mercadolibre.cl/TECNOBEST+CHILE,https://articulo.mercadolibre.cl/MLC-453169030-parlante-soundbar-irt-bluetooth-24w-rms-nuevo-envio-gratis-_JM,3,0,0,0,0,#453169030,NA,NA,NA,NA,NA,NA
34, Sony Parlante Portátil Extra Bass Con Bluetooth Xb41 Azul ,129.99,149.990,103,10,12,10.832,NA,Envío gratis a todo el país,NA,NA,5,6,https://perfil.mercadolibre.cl/-SONY+CHILE?brandId=32,https://articulo.mercadolibre.cl/MLC-463377316-sony-parlante-portatil-extra-bass-con-bluetooth-xb41-azul-_JM,6,0,0,0,0,#463377316,Sony,NA,NA,1500 g,NA,USB
35, Parlantes Cajas Activas Bluetooth Tws Fiddler Con Trípode ,59.99,99.990,26,2,6,9.998,NA,Envío gratis a todo el país,NA,NA,3.7,3,https://perfil.mercadolibre.cl/MACROTEL+TO?brandId=335,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=V%2FUdxO%2B1YuwwL9B4lIp%2Bz7bJ5ItVAWK%2FMMs0jlT%2FJryGejEf%2Bgi8u6edUx9p%2BEA216ycMwB3oib2jEhRYLf3zOaEi7yZIpJWMxX74fR2NKjJNQlqDpuVJMZCoTIBBh6VOwkGEDKMRGbbqmBRbTlScOH%2FiX2M4zHCGLCqVa42OwSV1LQVVVFH38u64DXdOAS3zTaLx98EIakGHns3OsRujq%2FdavC0NXjJFEYSdyaIiUOEdaY0C17g5RDPKMGp7auC2cg1mdO2AuuMdhzhWW32VIhqhD7fDsTqvyMTLLUxyRRRloxo4To1Xa1NxL2OzDInv%2BnA7zRjcolEnD3Uyo%2B6W5Q9YMMyV8X2Bq4wGviJaxL8F5SGaK5DHedKhhxhYavndsDianzSY1CVnncNyYLkL%2B1fTlU%2FgFjCNbTxGd0M2MJpFthhk7SY87gq%2FKnrx492ghDN1p256k4dN2TgqWctx9ZiNicE0GFZJ6IejLMRflKB9x09zy3SZ%2BEEQufK9SQZ2BO0wDBZHcak3U0R4L843izJoWWmB2NkawL5vUyRneW%2BSURNfGTMb0HBReJ%2BEn8PmlbYharIWgBMKxjuGSpe6mpeV1HSoHXVdlQlLQHlMkxdnwyHmTe0NqU8FodnOdMl6wJa8p61o5wS1t6DBJ2ht45KrTIPe1UmvAebSociVgr580PjH34FPFUiFzvn9e%2FvaFK6Q1jQFwOPXajyt4jWsCXBnXH%2B%2Bu8uQ9Cotma4HGbEj8%2FsEw8TauKV9gEi%2B7h2ZZ%2BIlbpzNEfmexZdXn0W3c6Og48QpzacW1Piw891Okwoq6vn2Y3g2XsP%2BFuOSh1ZsCQkh0xIcTFc7LHauaUGW3%2BTHcUavWvLH6YcFQMz%2FB4lHE3ZvNpoHt64A%2FuMPsbbCPOGsrOnXFh4XLSQivUoDWkzocP25klOC0cg%2F8RKqSrDcXX2LMRET0kX49z6ubTRnrjUSRy7q1%2B6vXwwk45UEcmiiblmmUfLduS9E%2FJvVQWT7OSl9pel%2FGgsVjIhlw84HOPzebkxBlvBVvgFJZF1Kk8Cosf9YJrEv4vq0WJGaOhygiIgzh1Rwl9SJRZ%2B70gi%2FLIy9PlBNQNwm4RSjUHsM41cVNzrAJm5s8AjDSeIzJHNi5yh2pD4v2Q%2BFNsh60HmMHFIKtcWi03ffMvSxSQ9EnGUbWrCdr%2FlaMCbXxUr47T%2B%2FcarBdFdmkB9EPfG3FrkuOOAD%2BB0kGUxI8u2Bd%2BK%2FgbePzuMVcmiebxBg7CDaKiFXKauiXKu3OhuZhIFSJm%2BKfWuGFGeWqG4KD%2FwrAraAhmN9jFNiwgBk2MZMDu9%2B2fWYb8E4%2B7k%2BYNea313d1oTtWVvZhffgKT99sALz1EdF9klGVF%2B9QeqzINmQMDgLn%2FKchwmLpT2pZJC2mJZBYcx2To3wjdWHcE070NBQb5%2BVnPH0YPx93xypIcs0E7oPInZynma1wbEhl1tD4HluPNWlrYEJGmUzbW5k8YOotuHWtzWysoYIZ08XL%2FIlvPZkEP9b5UyRhQTl8ZAY4oB%2B3ez1FhyM3Pjuth3VSvZYeiAPKaABB6VTaCwlm2weWY%3D,2,0,0,0,1,#486139169,Fiddler,FD-PKBTDUAL8,NA,NA,NA,NA
36, Parlante Karaoke Bluetooth Master G Yf7 + Micrófono ,34.99,39.990,153,4,6,5.832,NA,Envío gratis a todo el país,NA,NA,3,2,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=278,https://articulo.mercadolibre.cl/MLC-472376689-parlante-karaoke-bluetooth-master-g-yf7-microfono-_JM,0,0,2,0,0,#472376689,Master-G,Parlante Karaoke Bluetooth Master G  YF7 + Micrófono,20 W,3.13 kg,Activo,Auxiliar
37, Jbl Flip 4 Gris Parlante Portátil Bluetooth Inalámbrico ,59.99,79.990,15,2,6,9.998,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-492270992-jbl-flip-4-gris-parlante-portatil-bluetooth-inalambrico-_JM,NA,NA,NA,NA,NA,#492270992,JBL,JBL Flip 4 Gris Parlante Bluetooth Waterproof,16 W,515 g,No aplica,NA
38, Home Theater Mp3 Bluetooth/fm/puerto Usb/ Sd Aiwa Awa-299bt ,39.9,NA,6,4,12,3.325,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PARO1305168,https://articulo.mercadolibre.cl/MLC-477322523-home-theater-mp3-bluetoothfmpuerto-usb-sd-aiwa-awa-299bt-_JM,NA,NA,NA,NA,NA,#477322523,Aiwa,NA,NA,NA,NA,NA
39, Parlante Caja Acústica 15 Eon615 Jbl - Envío Gratis ,320,400.000,12,NA,6,53.333,NA,Envío gratis a todo el país,NA,NA,5,3,https://perfil.mercadolibre.cl/ARTECNOINSTRUMENTOS,https://articulo.mercadolibre.cl/MLC-487386671-parlante-caja-acustica-15-eon615-jbl-envio-gratis-_JM,3,0,0,0,0,#487386671,JBL,EON615,NA,NA,NA,NA
40, Parlante Portátil Karaoke Bluetooth Master G T5w + Micrófono ,44.99,NA,40,6,6,7.498,NA,Envío gratis a todo el país,NA,NA,4.5,2,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=278,https://articulo.mercadolibre.cl/MLC-472376947-parlante-portatil-karaoke-bluetooth-master-g-t5w-microfono-_JM,1,1,0,0,0,#472376947,Master-G,Parlante Portátil Karaoke Bluetooth Master G T5W + Micrófono,30 W,NA,Activo,NA
41, Parlante Bluetooth Bose Soundtouch 10 Negro ,149.99,189.990,25,4,6,24.998,NA,Envío gratis a todo el país,NA,NA,0,1,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-472177219-parlante-bluetooth-bose-soundtouch-10-negro-_JM,0,0,0,0,0,#472177219,Bose,Parlante Bluetooth Bose Soundtouch 10 Negro,NA,NA,Activo,Auxiliar
42, Parlante Karaoke Bluetooth Fiddler Negro + Micrófono ,39.99,NA,130,6,6,6.665,NA,Envío gratis a todo el país,NA,NA,4.6,5,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-434130507-parlante-karaoke-bluetooth-fiddler-negro-microfono-_JM,3,2,0,0,0,#434130507,Fiddler,PACK,NA,NA,NA,NA
43, Parlante Portátil Jbl Boombox Bluetooth 20.000mah Original ,319.99,449.990,6,99,12,26.666,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MR.CLICK+CHILE,https://articulo.mercadolibre.cl/MLC-488716694-parlante-portatil-jbl-boombox-bluetooth-20000mah-original-_JM,NA,NA,NA,NA,NA,#488716694,JBL,Boombox,NA,5.25 kg,Activo,NA
