search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Marca del celular,Tipo de funda
1, Mophie Funda Bateria Juice Pack Para iPhone 8/7 Negro ,47.990,69.990,"
			
			
				
				1
				vendido
			
		",(2 disponibles),"
	
		
			
		

		6 cuotas de
		
			
				$ 7.998
			

			 sin interés
			
		
	


	
		","
				$ 7.998
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-475910187-mophie-funda-bateria-juice-pack-para-iphone-87-negro-_JM,NA,NA,NA,NA,NA,#475910187,Mophie,NA,NA
2, Apple iPhone 8 64gb Nuevo + Lamina Y Funda - Phone Store ,499.990,599.990,"
			
				Nuevo
			
			
				
					 - 
				
				163
				vendidos
			
		",(737 disponibles),"
	
		
			
		

		6 cuotas de
		
			
				$ 83.332
			

			 sin interés
			
		
	


	
		","
				$ 83.332
			",NA,Envío gratis a todo el país,NA,NA,4.8,45,https://perfil.mercadolibre.cl/PHONESTORE-RETAILCHILE,https://articulo.mercadolibre.cl/MLC-450308147-apple-iphone-8-64gb-nuevo-lamina-y-funda-phone-store-_JM,39,5,0,0,1,#450308147,Apple,NA,NA
3, Apple iPhone 8 Plus 64gb + Lamina Y Funda - Phone Store ,774.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				104
				vendidos
			
		",(796 disponibles),"
	
		
			
		

		6 cuotas de
		
			
				$ 129.165
			

			 sin interés
			
		
	


	
		","
				$ 129.165
			",NA,Envío gratis a todo el país,NA,NA,4.9,42,https://perfil.mercadolibre.cl/PHONESTORE-RETAILCHILE,https://articulo.mercadolibre.cl/MLC-450308073-apple-iphone-8-plus-64gb-lamina-y-funda-phone-store-_JM,39,1,2,0,0,#450308073,Apple,NA,NA
4, iPhone 8 / iPhone 7 - Full Carcasa Funda Original Resistente ,15.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				11
				vendidos
			
		",(4 disponibles),"
	
		
			
		

		12 cuotas de
		
			
				$ 1.250
			

			 sin interés
			
		
	


	
		","
				$ 1.250
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/HOLA_UPMOVILCHILE,https://articulo.mercadolibre.cl/MLC-481663479-iphone-8-iphone-7-full-carcasa-funda-original-resistente-_JM,NA,NA,NA,NA,NA,#481663479,OEM /Apple,Apple,Carcasa
5, Carcasa 360 iPhone 7 Y iPhone 8 - Tecnostrike ,15.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				12
				vendidos
			
		",(8 disponibles),"
	
		
			
		

		6 cuotas de
		
			
				$ 2.500
			

			 sin interés
			
		
	


	
		","
				$ 2.500
			",Envío a todo el país,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TECNOSTRIKE,https://articulo.mercadolibre.cl/MLC-470875704-carcasa-360-iphone-7-y-iphone-8-tecnostrike-_JM,NA,NA,NA,NA,NA,#470875704,NA,Apple,Carcasa
6," Tpu Silicona 360 Carcasas Para iPhone 8, 7 Y 6s ",7.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				19
				vendidos
			
		",(5 disponibles),"
	
		
			
		

		6 cuotas de
		
			
				$ 1.332
			

			 sin interés
			
		
	


	
		","
				$ 1.332
			",Envío a todo el país,NA,NA,NA,3.0,1,https://perfil.mercadolibre.cl/VAPORISLANDCHILE,https://articulo.mercadolibre.cl/MLC-461042132-tpu-silicona-360-carcasas-para-iphone-8-7-y-6s-_JM?searchVariation=38943862593,NA,NA,NA,NA,NA,#461042132,NA,Apple,Carcasa
7, Apple iPhone 8 64gb + Lamina Y Funda / 12 Ctas - Phone Store ,519.990,659.990,"
			
				Nuevo
			
			
				
					 - 
				
				28
				vendidos
			
		",(872 disponibles),"
	
		
			
		

		12 cuotas de
		
			
				$ 43.332
			

			 sin interés
			
		
	


	
		","
				$ 43.332
			",NA,Envío gratis a todo el país,NA,NA,4.8,45,https://perfil.mercadolibre.cl/PHONESTORE-RETAILCHILE,https://articulo.mercadolibre.cl/MLC-450309223-apple-iphone-8-64gb-lamina-y-funda-12-ctas-phone-store-_JM,39,5,0,0,1,#450309223,NA,NA,NA
8, iPhone 8 Carcasa Sublimacion 2d Pack De 5 Uni ,12.800,NA,"
			
				Nuevo
			
			
				
					 - 
				
				16
				vendidos
			
		",(74 disponibles),"
	
		
			
		

		6 cuotas de
		
			
				$ 2.133
			

			 sin interés
			
		
	


	
		","
				$ 2.133
			",Envío a todo el país,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/AMPLEX_CHILE,https://articulo.mercadolibre.cl/MLC-455544333-iphone-8-carcasa-sublimacion-2d-pack-de-5-uni-_JM,NA,NA,NA,NA,NA,#455544333,NA,Apple,Carcasa
9, Carcasas Magnética iPhone 8 | Negro Rojo Plata | Digitek ,9.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				26
				vendidos
			
		",(9 disponibles),"
	
		
			
		

		12 cuotas de
		
			
				$ 832
			

			 sin interés
			
		
	


	
		","
				$ 832
			",Envío a todo el país,NA,NA,NA,5.0,1,https://perfil.mercadolibre.cl/DIGITEK.CL,https://articulo.mercadolibre.cl/MLC-463128867-carcasas-magnetica-iphone-8-negro-rojo-plata-digitek-_JM,NA,NA,NA,NA,NA,#463128867,NA,Apple,Carcasa
10, Carcasa Transparente Reforzada Para iPhone 8 Plus Miaustore ,3.590,NA,"
			
				Nuevo
			
			
				
					 - 
				
				21
				vendidos
			
		",(8 disponibles),"
	
		
			
		

		12 cuotas de
		
			
				$ 299
			

			 sin interés
			
		
	


	
		","
				$ 299
			",Envío a todo el país,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIAUSTORE.CL,https://articulo.mercadolibre.cl/MLC-453525745-carcasa-transparente-reforzada-para-iphone-8-plus-miaustore-_JM,NA,NA,NA,NA,NA,#453525745,NA,Apple,Carcasa
