search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Peso,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Altura,Conectores de entrada,Color
11, Parlante Activo Ld Systems Maui5 Caja Line Array Bluetooth ,439.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(10 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 36.583
			
		
		 sin interés
		
	

	
		","
				$ 36.583
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/XPRO.STORE,https://articulo.mercadolibre.cl/MLC-449031045-parlante-activo-ld-systems-maui5-caja-line-array-bluetooth-_JM#position=11&type=item&tracking_id=210e77af-691d-4132-aca3-a4dbfa8a9d11,NA,NA,NA,NA,NA,#449031045,LD Systems,NA,NA,MAUI 5,NA,NA,NA,NA,NA
12, Parlante Bluetooth Karaoke Mlab 60w 8 + 2 Microfonos ,39.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				216
				vendidos
			
		",(25 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 6.665
			
		
		 sin interés
		
	

	
		","
				$ 6.665
			",NA,Envío gratis a todo el país,NA,NA,4.9,15,https://perfil.mercadolibre.cl/MMSMIKE1,https://articulo.mercadolibre.cl/MLC-465278552-parlante-bluetooth-karaoke-mlab-60w-8-2-microfonos-_JM#position=12&type=item&tracking_id=210e77af-691d-4132-aca3-a4dbfa8a9d11,13,2,0,0,0,#465278552,MLAB,NA,5.8 kg,7806,60 W,NA,NA,NA,Negro
13, Jbl Flip 4 Parlante Bluetooth - Inetshop ,64.590,99.990,"
			
				Nuevo
			
			
				
					 - 
				
				518
				vendidos
			
		",(95 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 10.765
			
		
		 sin interés
		
	

	
		","
				$ 10.765
			",NA,Envío gratis a todo el país,NA,NA,4.8,75,https://perfil.mercadolibre.cl/INETSHOP_2011,https://articulo.mercadolibre.cl/MLC-457315838-jbl-flip-4-parlante-bluetooth-inetshop-_JM#position=13&type=item&tracking_id=210e77af-691d-4132-aca3-a4dbfa8a9d11,66,6,2,0,1,#457315838,JBL,Flip,515 g,Flip 4,16 W,Activo,NA,NA,NA
14, Parlante Bluetooth Harman Kardon Onyx Studio 4 ,99.990,129.990,"
			
				Nuevo
			
			
				
					 - 
				
				376
				vendidos
			
		",(82 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 16.665
			
		
		 sin interés
		
	

	
		","
				$ 16.665
			",NA,Envío a todo el país,NA,NA,4.9,48,https://perfil.mercadolibre.cl/ONLINECLUB,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=aVLSGBFnmYz9X9W%2F38TgsTzciTWZPSx5kM9rYCRxSGvGsXs6i4PLpsaaBKm0xhvwAXrrsmXQxO6nsJe79OR28K9KGzwqOg7hSoKN%2Bh4ebAAAmZpZNFSZNSB6dImgLf4Lvp2k7Z5FDpb7xlfpRyfuKKJO89Q3P6OxyPq5mSdYf9bUklFX0Gb1wEjyb080jeClTOSRa0bl9dWG3tJL195rmpBITDJPt7m%2B3%2FUFARafEid6yM52c5bXvi20Jv5FEmcuRxRvFBQp6tSG7jie9c2cB6vcNp3EKepQ1TkMpg6cd7guQ43zPbcWeZmRGCbxsei4iydeDOEW8G5V6k%2BFdPIGMoX0Amq7pf5vPx0%2FnNhsJS0ZLhR72sHZCpnbzupuomQFnpC1bIBqfDHbJDQd%2BsYe2vW5JY9y5ro4fXrQeT2PrQ3ZGOr7GOiYCi5CYAYDrcEIQz3ii%2B9IIGB4JlyOjrrp7X8W4dJNVyXHdAlwrg4elLyixalZMGN3rIzOh9U3NfmA1vHGfXeCCI3PSClBIVsF17XSJtsMrqOIaZmK0eEYGUMOpDrLrjHmurWjOUZKxjpLwjBJRfMA3wrQue3B0cHd6wjXOR2kc3Ed2byCtJPEXRKKZyv5Q0CMTPfnCKroH25swN5%2BUpIljpdntBkQpYRERAuboOTK3yWaF8nNQFXGiEOfW%2FD%2BOkm0sg9xpdAUyUA8XvIYjvXf5xhOa8BfDAum0xntBppetl2PN5Y6LztMa%2FCJGwSrt8%2BB8ietrIShSgtLSTvcscHBMhYcnQcO6JcDf%2Bs4wZaJGAi9D12CwJ4IbFKmz2d8ZUEoZher4ZFyrFC1FH7rY89yaXK4pdBF04ggog9%2FLOpLEBd%2F9FGpDeHwkWt0v05W5owWJdLjJ%2FIFESbCntvKCVl5rnwLQ6WVY%2FmmbRuK5vJasBcyMSJO49Ef5uWbaM0dlCB7gPMNUHMNmdexukxxFrH6TicEylZElUee1o0A44ZwsZDJOroVwdr%2BqaDRHhmhBbtF4L1C8NhRetfvHcdUgnSEaAV%2Fa9q2jUNZ8cVXjhcQG%2Fbxf4zk8DfQxOC1P%2Bqsm8GJAFFjccxaTUH7Hf%2B7RgwsBiLz%2Fa9cH2TcHS8RW5CmwfHJVma8QfPVMeZdswoM0f0zXEz4HfXq8tPdbhQREdGo17jKMVG0ZWhYkigoTzETh04SdMg1o%2FVsYcpZ5vw0OBrQaoQ%2BfiOc8JcNDLm7D7wun3y9DE8%2BIB5GeyjRwU86kXATR6fZYc%2FY7fH0ot0vhDMtgNBIxlKQZgFNoZTPT%2FJpe%2Bu4MZE4%2BmhkEs3bF5MqwnuEMt1tboVMNTqcAly15Tq6MSlM0J25qjwZIoiCWc6Xej3z1dNUNHXjKuu6XIxx0dUC%2BN2Y%2BmwJgl8ZEb1VFbhLuwF468jjOu3jE3ZCoIPIMlgRKJwtt8VSZ%2BeSESi8RGxfrI%2BbSPsnQaIZTzjhXy78q9UCTmop3BtenbONEmt2L8AzK%2F7GAdLhnDoZYMK5fYWlt88pkSMYBDKcxhT5Wn4W00BPONZoOwXWxvY43BTtuQA9goeNyBO2T4N4Z1Aw8WIa2rEyuu5214WfuU%2BIZ3W7jbnu%2Bci%2BH3eKDw1yZkfK1YUxMtkQbFBC2MM89h7SIFKO%2BsNNkSBX%2Bps7DymGAzs73NcycyyF6a38jWf57sIU5yk%3D,46,1,1,0,0,#448975270,Harman Kardon,NA,NA,Onyx Studio 4,60 W,Activo,NA,NA,NA
15, Mini Parlante Bluetooth Usb Sd Con Luces Led ,1.999,2.999,"
			
				Nuevo
			
			
				
					 - 
				
				98
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 167
			
		
		 sin interés
		
	

	
		","
				$ 167
			",NA,Lo retiro en el domicilio del vendedor,NA,NA,5.0,1,https://perfil.mercadolibre.cl/OFERTABKNCL,https://articulo.mercadolibre.cl/MLC-486318322-mini-parlante-bluetooth-usb-sd-con-luces-led-_JM#position=15&type=item&tracking_id=210e77af-691d-4132-aca3-a4dbfa8a9d11,NA,NA,NA,NA,NA,#486318322,NA,NA,NA,NA,NA,NA,NA,NA,NA
16, Parlante Karaoke Portátil Bluetooth Master G + Micrófono ,29.990,39.990,"
			
			
				
				187
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.998
			
		
		 sin interés
		
	

	
		","
				$ 4.998
			",NA,Envío a todo el país,NA,NA,3.0,4,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=278,https://articulo.mercadolibre.cl/MLC-472376689-parlante-karaoke-portatil-bluetooth-master-g-microfono-_JM#position=16&type=item&tracking_id=210e77af-691d-4132-aca3-a4dbfa8a9d11,1,0,2,0,1,#472376689,Master-G,NA,NA,SPBYF7,NA,NA,NA,NA,NA
17, Sony Parlante Portátil Extra Bass Con Bluetooth Xb41 Azul ,199.990,NA,"
			
			
				
				43
				vendidos
			
		",(1 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 16.666
			
		
		 sin interés
		
	

	
		","
				$ 16.666
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-471014399-parlante-portatil-bluetooth-bose-soundlink-revolve-_JM#position=17&type=item&tracking_id=210e77af-691d-4132-aca3-a4dbfa8a9d11,NA,NA,NA,NA,NA,#471014399,Bose,SoundLink,NA,Parlante Portátil Bluetooth Bose Soundlink Revolve,NA,Activo,NA,Auxiliar,NA
18, Parlante Karaoke Bluetooth Fiddler Doble Altavoz + Micrófono ,29.990,49.990,"
			
			
				
				340
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.998
			
		
		 sin interés
		
	

	
		","
				$ 4.998
			",NA,Envío a todo el país,NA,NA,3.3,27,https://perfil.mercadolibre.cl/MACROTEL+TO?brandId=335,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=9uWS7t7mRLxd5dqlU1PPOwSBz62nRg5OFXGOK%2F9nR4QmEKbMi8NDtxbmDt15CdE15XOsKRRxBR6BYgMkYTUm%2BOS8xtMY9RkozktfOF%2FRel8jthE5GV2yO5TOIMeNiK%2FC1%2FCfWs%2Be%2B%2FdhZPp4qf5Fn%2BzVu9CScutgiQN%2BCAuJnt8Jwt8Iyq6FxIyfNyf1gsQngTQa3QeXsASCcvNrmNGorBHwJMBJW75oNk2KGa8i0YfaHXGT2iInnbVZyD5FQTIBKYGGpidpZYVTmoArw4t9a9mFxudd%2FVOx1qpMm8mbIBcVmhM0b7x3KTYmcc9VnXSWPwcUItjXEvcX3KBoahyVKg1l%2BrcBjwOyIeEWzeF8TLLkPJ15oh5a%2Fl1EHo7Z%2FDmI%2FXPF33rq0Xo9svnzddyI0witPlXLzSGnEVdZeEO%2FBJxwCc4I%2F4kJNDXvco6o0mItUEnXbx6t%2FIg5yo2GpTATmD0KortyTwGDW1vAd87DyLdrHwElJgKMxkrVFK1fTcxKdv5lLILP98wSd1MEKc5FG1Me0Ho3Tsv9YL42pAmXgzuu6Q7lHftKEviYyg3C2FOcnxsBprIv4OJ8rOHWC5GtNb2go1h6XOYdOuRl9MEhtCdU6mld%2FhvWtQ1k0xL%2BvPbHUehDagAtfV2Lk%2FrGKOmRYgsgYvAqWnci%2FY7igY5GjNT8kWQ48mYM12nHp8Yr9hLcaJf0xypHMYpdXxF1vziOn1SZcsUMRBEEs1Ocj3%2FNyprCoG%2FbyoYbMoEnhfIDcW99q%2FkT5KjMpXUi6OD9briNrzIUbi%2BJWHen8XNljxll6ipgmVK0eyPqEqLkl6sAAx%2Fmh7IiZztr7SHtrSnL4DN%2F2toWdeH7CypaBkQjelAkoFVgmHgjhg%2FiS9KilgZkRQlB6mdIYnZYEUncdRkq8%2BtsYbNOHexvfVqZtNfoD6IJ0%2FpU4eNBZDUYP4zKMFNhFnYgWom6iYnraUCVwMpOhOlLgl4%2FaWLi5V%2Fkv7bGn%2F05AMNtzCW4wmgEkh%2FNX42GKiFvet65ocm5OcLrVAV93dwfn3bTDlETENK6XsSWeSrB5qFvBuqx59Gf76jYIU65YcoFmT5HYptunrIHKcVsUetiZCkCtw%2B%2BzQPiN2pjqCG2O4JUiIGWpim0cF4bP4liHsU%2FLHyb9pMVxWouPzrhUPiGAoJchD%2FaTp2WXS0uVASNhCLx7hzjl2DhKltjF2u7HD4ArhNJePSPQh%2BSvkaM0W9T7SKoy3TKCAqWXuOWe9ZaWT6PvCuWkxn9utzShuR6D0%2Fwf35Af1drlfiMyWMzTzECDQOOnOKDsS%2BfsxXHPJmhjrD6Mu4iO0Mc1V6ip9xnTRnJRw6WmVCdnhSpuJ%2FMJK0Ec3mWvZiL7mumy5x%2FJVZRqTUzwGoXibcETI%2B25gH27DFncZdw%2FLQAf5GT5PPVa%2B54FjNWigiwHNAfoVI6QallM%2FFmp%2BSIoWJEcvWq8OGDZwUyADRObvR%2BSfYMJiwIGkYRuVV2s7kVeITSbAv6sS3iWpTxtIYuhVgSFZtjRNGwbLYkh0b4oeNtcVC%2Bvv7Alc0fKaXuExQP4IpC9znTw2Pq06BvnFTc4U%2BOFfs8hTVv%2F%2Fh8fFUcf%2B4gBN2znMpflMaJ01B%2BMUYdm97bFA%2F9%2BjKteb2Dd0mRXafYclpDRzY2kKKNAHEkR%2F3OcIG8cWp5SVNLLGKZiJU%3D,9,6,4,1,7,#461986096,Fiddler,NA,NA,FD-PKBTD6,10 W,NA,NA,Auxiliar,NA
19, Parlante Soundbar Subwoofer Aiwa Bluetooth Sb-006 - Prophone ,51.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				22
				vendidos
			
		",(909 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 8.665
			
		
		 sin interés
		
	

	
		","
				$ 8.665
			",NA,Lo retiro en el domicilio del vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PROPHONELTDA,https://articulo.mercadolibre.cl/MLC-462029241-parlante-soundbar-subwoofer-aiwa-bluetooth-sb-006-prophone-_JM#position=19&type=item&tracking_id=210e77af-691d-4132-aca3-a4dbfa8a9d11,NA,NA,NA,NA,NA,#462029241,Aiwa,NA,NA,NA,NA,NA,NA,NA,NA
20, Parlante Portátil Bluetooth Bose Soundlink Revolve ,109.990,149.990,"
			
			
				
				112
				vendidos
			
		",(27 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 18.332
			
		
		 sin interés
		
	

	
		","
				$ 18.332
			",NA,Envío gratis a todo el país,NA,NA,5.0,7,https://perfil.mercadolibre.cl/-SONY+CHILE?brandId=32,https://articulo.mercadolibre.cl/MLC-463377316-sony-parlante-portatil-extra-bass-con-bluetooth-xb41-azul-_JM#position=20&type=item&tracking_id=210e77af-691d-4132-aca3-a4dbfa8a9d11,7,0,0,0,0,#463377316,Sony,EXTRA BASS,1500 g,NA,NA,NA,"1 """,USB,Azul
21, Parlante Bluetooth Portatil Excelente Sonido Usb Mini ,9.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				59
				vendidos
			
		",(70 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 832
			
		
		 sin interés
		
	

	
		","
				$ 832
			",NA,Lo retiro en el domicilio del vendedor,NA,NA,3.7,3,https://perfil.mercadolibre.cl/MULTISHOPVIRTUAL23,https://articulo.mercadolibre.cl/MLC-492465137-parlante-bluetooth-portatil-excelente-sonido-usb-mini-_JM#position=21&type=item&tracking_id=210e77af-691d-4132-aca3-a4dbfa8a9d11,1,1,0,1,0,#492465137,charge,NA,130 g,mini,3 W,Activo,NA,NA,NA
22, Lampara Luna Y Parlante Bluetooth 15cm 2 Colores Recargable ,11.990,24.990,"
			
				Nuevo
			
			
				
					 - 
				
				474
				vendidos
			
		",(36 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.998
			
		
		 sin interés
		
	

	
		","
				$ 1.998
			",NA,Envío a todo el país,NA,NA,4.6,38,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-463306191-lampara-luna-y-parlante-bluetooth-15cm-2-colores-recargable-_JM#position=22&type=item&tracking_id=210e77af-691d-4132-aca3-a4dbfa8a9d11,29,7,0,1,1,#463306191,Importado,NA,NA,Lampara Luna,NA,NA,NA,NA,NA
23, Parlante Portátil Bluetooth Bose S1 Pro ,529.990,NA,"
			
			
				
				10
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 44.166
			
		
		 sin interés
		
	

	
		","
				$ 44.166
			",NA,Envío a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-475923195-parlante-portatil-bluetooth-bose-s1-pro-_JM#position=23&type=item&tracking_id=210e77af-691d-4132-aca3-a4dbfa8a9d11,NA,NA,NA,NA,NA,#475923195,Bose,NA,NA,S1 Pro,NA,NA,NA,NA,NA
24, Parlante Portátil Extra Bass Xb41 Con Bluetooth ,109.990,149.990,"
			
			
				
				32
				vendidos
			
		",(15 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 18.332
			
		
		 sin interés
		
	

	
		","
				$ 18.332
			",NA,Envío gratis a todo el país,NA,NA,5.0,2,https://perfil.mercadolibre.cl/-SONY+CHILE?brandId=32,https://articulo.mercadolibre.cl/MLC-491022134-parlante-portatil-extra-bass-xb41-con-bluetooth-_JM#position=24&type=item&tracking_id=210e77af-691d-4132-aca3-a4dbfa8a9d11,NA,NA,NA,NA,NA,#491022134,NA,NA,NA,NA,NA,NA,NA,NA,NA
25, Parlante Mini Bluetooth Portatil Baño Ducha Resistente Agua ,3.990,5.990,"
			
				Nuevo
			
			
				
					 - 
				
				16
				vendidos
			
		",(19 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 332
			
		
		 sin interés
		
	

	
		","
				$ 332
			",NA,Lo retiro en el domicilio del vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.cl/HDFACTORY,https://articulo.mercadolibre.cl/MLC-489698904-parlante-mini-bluetooth-portatil-bano-ducha-resistente-agua-_JM#position=25&type=item&tracking_id=210e77af-691d-4132-aca3-a4dbfa8a9d11,NA,NA,NA,NA,NA,#489698904,NA,NA,NA,NA,NA,NA,NA,NA,NA
26, Parlante Bluetooth Outdoor Powerbass3 10w Ipx6 Njoytech ,21.990,24.990,"
			
				Nuevo
			
			
				
					 - 
				
				122
				vendidos
			
		",(78 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.832
			
		
		 sin interés
		
	

	
		","
				$ 1.832
			",NA,Envío gratis a todo el país,NA,NA,4.8,12,https://perfil.mercadolibre.cl/NJOYTECH+CHILE,https://articulo.mercadolibre.cl/MLC-464586508-parlante-bluetooth-outdoor-powerbass3-10w-ipx6-njoytech-_JM#position=26&type=item&tracking_id=210e77af-691d-4132-aca3-a4dbfa8a9d11,10,1,1,0,0,#464586508,NA,NA,287 g,NA,10 W,NA,NA,NA,NA
27, Pendrive Receptor Transmisor Bluetooth Usb Parlantes Auto ,3.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1253
				vendidos
			
		",(50 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 665
			
		
		 sin interés
		
	

	
		","
				$ 665
			",NA,Envío a todo el país,NA,NA,3.5,51,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-435146526-pendrive-receptor-transmisor-bluetooth-usb-parlantes-auto-_JM#position=27&type=item&tracking_id=210e77af-691d-4132-aca3-a4dbfa8a9d11,24,6,3,6,12,#435146526,Importado,NA,NA,Pendrive,NA,NA,NA,NA,NA
28, Parlante Jbl Go2 Nuevo Elige Tu Color Paga En 6cuotas ,21.980,NA,"
			
				Nuevo
			
			
				
					 - 
				
				99
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.663
			
		
		 sin interés
		
	

	
		","
				$ 3.663
			",NA,Envío a todo el país,NA,NA,4.7,61,https://perfil.mercadolibre.cl/VIJAYBHOJ,https://articulo.mercadolibre.cl/MLC-488142891-parlante-jbl-go2-nuevo-elige-tu-color-paga-en-6cuotas-_JM#position=28&type=item&tracking_id=210e77af-691d-4132-aca3-a4dbfa8a9d11,49,9,1,2,0,#488142891,JBL,NA,184 g,GO 2,3 W,Activo,NA,NA,NA
29, Jbl Flip 4 Gris Parlante Portátil Bluetooth Inalámbrico ,59.990,79.990,"
			
			
				
				32
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 9.998
			
		
		 sin interés
		
	

	
		","
				$ 9.998
			",NA,Envío gratis a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-492270992-jbl-flip-4-gris-parlante-portatil-bluetooth-inalambrico-_JM#position=29&type=item&tracking_id=210e77af-691d-4132-aca3-a4dbfa8a9d11,NA,NA,NA,NA,NA,#492270992,JBL,Flip,515 g,JBL Flip 4 Gris Parlante Bluetooth Waterproof,16 W,No aplica,NA,NA,NA
