search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Linha,Modelo,Modelo alfanumérico,Tipo de alimentação,Tipos de cabeças,Tempo de funcionamento,Peso
1, Barbeador Elétrico Philips One Blade Oneblade Qp2510/10 ,124,NA,"
			
				Novo
			
			
				
					 - 
				
				3761
				vendidos
			
		",(1229 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1194
		
		 sem juros
		
	

	
		",94,NA,Frete grátis,NA,NA,4.7,363,https://perfil.mercadolivre.com.br/PONTOCERTOELETRO,https://produto.mercadolivre.com.br/MLB-1048809617-barbeador-eletrico-philips-one-blade-oneblade-qp251010-_JM,286,49,16,5,6,#1048809617,Philips,OneBlade,QP2510/10,QP2510/10,Recarregável,Flexíveis,30 m,NA
2, Maquina De Barbear Kemei Km-1102 ,81,100,"
			
			
				
				405
				vendidos
			
		",(758 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 681
		
		 sem juros
		
	

	
		",81,NA,NA,NA,NA,4.5,36,https://perfil.mercadolivre.com.br/TOPDEALSBR?brandId=2069,https://produto.mercadolivre.com.br/MLB-1205627112-maquina-de-barbear-kemei-km-1102-_JM,25,6,3,1,1,#1205627112,Kemei,NA,KM-1102,NA,NA,NA,NA,NA
3, Barbeador Elétrico Maquina De Barbear Aparelho Barba Promo ,54,NA,"
			
				Novo
			
			
				
					 - 
				
				1312
				vendidos
			
		",(9688 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 624
		
		 sem juros
		
	

	
		",24,NA,Envio para todo o país,NA,NA,4.4,1478,https://perfil.mercadolivre.com.br/FGK+VENDAS,https://produto.mercadolivre.com.br/MLB-1120282284-barbeador-eletrico-maquina-de-barbear-aparelho-barba-promo-_JM,1015,259,99,39,65,#1120282284,Philips,3 cabeças,QP2510/10,QP2510/10,Recarregável,Removíveis,NA,NA
4, Barbeador Elétrico Á Prova D´água - Relax Multi Groom ,129,NA,"
			
			
				
				116
				vendidos
			
		",(14 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1082
		
		 sem juros
		
	

	
		",82,NA,Frete grátis,NA,NA,4.0,2,https://perfil.mercadolivre.com.br/MNLDISTRIBUIDORA?brandId=1738,https://produto.mercadolivre.com.br/MLB-1223500996-barbeador-eletrico-a-prova-dagua-relax-multi-groom-_JM,NA,NA,NA,NA,NA,#1223500996,Relaxmedic,Relax Beauty,RB-AM0249A,NA,Elétrica,Removíveis,NA,NA
5, Barbeador Eletrico Maquina Philips 6 Em1 Multigroom Nacional ,149,NA,"
			
				Novo
			
			
				
					 - 
				
				1564
				vendidos
			
		",(46 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1433
		
		 sem juros
		
	

	
		",33,NA,Frete grátis,NA,NA,4.7,78,https://perfil.mercadolivre.com.br/SWA+MOBILE,https://produto.mercadolivre.com.br/MLB-1045425793-barbeador-eletrico-maquina-philips-6-em1-multigroom-nacional-_JM,63,9,5,0,1,#1045425793,Philips,Multigroom,MG3711,NA,Recarregável,Removíveis,60min,NA
6, Barbeador E Aparador Philips Mg1100/16 2em1 À Prova D'água ,129,NA,"
			
				Novo
			
			
				
					 - 
				
				516
				vendidos
			
		",(206 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1233
		
		 sem juros
		
	

	
		",33,NA,Frete grátis,NA,NA,4.5,30,https://perfil.mercadolivre.com.br/EDUELETRO+OFICIAL,https://produto.mercadolivre.com.br/MLB-822191599-barbeador-e-aparador-philips-mg110016-2em1-prova-dagua-_JM,22,5,1,1,1,#822191599,Philips,Series 1000,Mg1100/16,MG1100/16,NA,NA,NA,128 g
7, Máquina De Barbear Aparador Barbeador Elétrico Barba Philips ,159,NA,"
			
				Novo
			
			
				
					 - 
				
				1398
				vendidos
			
		",(300 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1521
		
		 sem juros
		
	

	
		",21,NA,Frete grátis,NA,NA,4.6,79,https://perfil.mercadolivre.com.br/REDE_BH_ELETRO,https://produto.mercadolivre.com.br/MLB-695062089-maquina-de-barbear-aparador-barbeador-eletrico-barba-philips-_JM,58,11,8,1,1,#695062089,Philips,NA,S1030/04,NA,Recarregável,Giratórios,45 min,0.29 kg
8, Barbeador Elétrico Á Prova D´água - Relax Multi Groom ,129,NA,"
			
			
				
				116
				vendidos
			
		",(14 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1082
		
		 sem juros
		
	

	
		",82,NA,Frete grátis,NA,NA,4.0,2,https://perfil.mercadolivre.com.br/MNLDISTRIBUIDORA?brandId=1738,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=ciweE8wDn66cU8oAuKOFfZYI6FD8XiYKJZ8FN3o9DvzXBE2trgPNm5ypNMQ0OycF7zPKQ0Ur1oTTLmnf6mBupLv%2F01s60e0YRq%2BoWfgGcN9oP8Z1Q6sM3HVDpU9k5rAmFhemrWQyqJ7Wm6EpFHc7D%2F049m1WnDpPGryVb17PDfL%2F0yWfFuh%2Bha7tNO%2FwueErbtpM8QIgx98T2Xh9d3%2Bozm6uvNtnWEPKi7M0zqXALb72r%2Bgl5Z%2FN5XRYz%2BWjzwnHd1%2BFz44IHEIFWN3WpwMg%2FnOLMSzOEDTzk3V1GOFbslz5d%2FRsvDA67ZRV9BP%2F4fbKZF3%2Bv3xQbO0sJbZz%2FYEt33VuubL265NBnBInMXDRZ%2FCWwfeNR73%2FhTgTBeeRywFHYPA%2FP7dhODnnkelURP2aWT6qh0CIxLUhaxyzpL6iydSEeE7a0fR7a9%2B5dpnW2YGaUxR261tXi4b4qNCkCyZW7VtZ7TDAtCDHVK8YLOq2d9zyNYOesyOJDG%2FXXXsL8qRVk4E2pPRIFb1QHewz%2Bv8m3nFcshDrGBdVaa5HWxxSDwR01NZwZThaqVTIscvX2PSKGoEh3BDaFCghwO6mUuNt2DaVPWccSmNVO3jOVp7JCcomHbssPjFNmuPqEfo2mj111akJCVKdclh4CzSye3A2VFUbsTs5NyRDOZFQAxBGUKfoh09x99qW59fG1OyAGJPT7MOtsFbadosDiKwdnwEkR1BkVS5fZzbiZyd9OzGFAWq7UDt1n%2Fmf%2Fnk7o3C2btS1yG2FYQfLP2eedjvMH%2F1DNxwdUPJ0BPZXIGD7usgn1b5f1%2FHHtx3z%2FmkqjVLfdQuiPLmfd970RJ9IdjMe5Hbm4lPTIgcjw2yf4n0PJge7iDRHoKME3PAolDPRy3%2Bjr9WPbToJSSWZUMQd63VpYGPB3oqlJvWvD%2BHrsdz%2FMDMifBoEgQAOmirbrmCW8Dy6PPyhLC6ydb9IfE1x3eusAg%2FzzjO8aWDtE5fH9pyY03sqnRP4zF2t0FasRmtlWA%2Fkkw%2BkdexGmpVnNhP3h7lG7AuxBajpWLk%2Bx24f64bb%2FGZHMQ9b79AY4w1qjfvSeWK%2FIh4Lm0yB4WESbjnBPOZxkIL9B3bqvDv6pHemX%2BS9uSZ5Il9xDaTBU3jgsn6ZBxtcJ7fV5I8w9Gb7gREdwyJrG0YDTr6kZldxWs0ERew%2FNLaCRFCS0n3oPQCUYmQB3q1rVVftIyh2yh1J2BgpVjB2eKb4e%2BYIbulhuGRIqI9wIlqo3RvXkcbDmZjONz9uQwLDKFalgik2KJb6EJk%2Fq6H1Hy22Z%2Fk6%2BwDzOZvpQfuGINxpp6Rhse6obO9sdZuWfTefYGPJTVdWYRJMsvV0%2BegmoeE6lcyODgHkU2qqNubOso5cgFFX0H6aUEEi%2Fhoz7%2ByP5b4vzdJE%2FM1uFMCs4hxsqM5C34U9nFD%2BVNM9UnyAhp8gX9SyeobZZmJ7dEs0D7pQ1nMXS0j%2BrmKiRAeh%2BijvfGH1lvtaCwKq2i8h8WnjzJNK5NENZ5FzctWb4GqvLD0Q33kh48ukIIN8MQ3lBMa7TdUe1d%2BHfy5JhTKjqld6VSd3HsvaUeWu0n4nP1RElsfWdaPC%2FNPmDC%2BeMO05QTc8vNj3N89a2AhQnTp4iCR%2B6ixcyYInkZe2uFpBccAI6TLiyA5e1AGbC8NrEaZiRrdnEunopTlWFtzH82k%2BET4lOJMQaGtWEaU15nhBh3QllYv8hgcb10XJ,NA,NA,NA,NA,NA,#1223500996,Relaxmedic,Relax Beauty,RB-AM0249A,NA,Elétrica,Removíveis,NA,NA
9, Barbeador Aparador Oneblade Philips 2 Qp2510/10 Original ,115,NA,"
			
				Novo
			
			
				
					 - 
				
				764
				vendidos
			
		",(15118 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 958
		
		 sem juros
		
	

	
		",58,NA,Envio para todo o país,NA,NA,4.7,523,https://perfil.mercadolivre.com.br/JOVAL+INFORMATICA1,https://produto.mercadolivre.com.br/MLB-1135899020-barbeador-aparador-oneblade-philips-2-qp251010-original-_JM,420,69,21,7,6,#1135899020,Philips,OneBlade,QP2521/10,NA,Recarregável,Removíveis,30 m,NA
10, Barbeador Elétrico Máquina Shaver Kemei Bivolt Recarregável ,43,NA,"
			
				Novo
			
			
				
					 - 
				
				617
				vendidos
			
		",(77 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 733
		
		 sem juros
		
	

	
		",33,NA,Envio para todo o país,NA,NA,4.1,247,https://perfil.mercadolivre.com.br/ARS+NET,https://produto.mercadolivre.com.br/MLB-984457685-barbeador-eletrico-maquina-shaver-kemei-bivolt-recarregavel-_JM,132,57,28,11,19,#984457685,Kemei,Shaver,RSCW5500,NA,Recarregável,Removíveis,30 MINUTOS,124 g
