search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Tipos de cabezales,Cantidad de cabezales,Sistema de afeitado,Tipo de alimentación,Tiempo de funcionamiento,Tiempo de carga,Peso
1," Terminadora Barba Y Cortadora Vello Nasal, Oido Wahl Plata ",399,NA,"
			
			
				
				1644
				vendidos
			
		",(111 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 3942
		
		 sin intereses
		
	

	
		",42,NA,Envío gratis a todo el país,NA,NA,4.5,64,https://perfil.mercadolibre.com.mx/CARAS1990?brandId=1233,https://articulo.mercadolibre.com.mx/MLM-604529806-terminadora-barba-y-cortadora-vello-nasal-oido-wahl-plata-_JM,48,8,3,1,4,#604529806,Wahl,Beard Home,5537-420,Plano,4,Láminas,NA,NA,NA,NA
2, Rasuradora Taurus Minos 2.5w Recargable Navaja De Acero ,265,284,"
			
			
				
				1028
				vendidos
			
		",(30 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 2618
		
		 sin intereses
		
	

	
		",18,NA,Envío gratis a todo el país,NA,NA,4.2,65,https://perfil.mercadolibre.com.mx/LIFTORTIENDAOFICIAL?brandId=1084,https://articulo.mercadolibre.com.mx/MLM-591638162-rasuradora-taurus-minos-25w-recargable-navaja-de-acero-_JM,36,14,9,2,3,#591638162,Taurus,Minos,Taurus Minos,Planos,1,Láminas,Recargable,45,45 m,0.14 kg
3, Maquina Para Rasurar Rasuradora Recargable 14 Pzs Wahl Full ,244,299,"
			
				Nuevo
			
			
				
					 - 
				
				356
				vendidos
			
		",(64 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1361
		
		 sin intereses
		
	

	
		",61,NA,Envío a todo el país,NA,NA,5.0,2,https://perfil.mercadolibre.com.mx/PSACOMPUTOYPAPELERIA,https://articulo.mercadolibre.com.mx/MLM-679723274-maquina-para-rasurar-rasuradora-recargable-14-pzs-wahl-full-_JM,NA,NA,NA,NA,NA,#679723274,Wahl,Higiene Personal,9685,Removibles,NA,NA,Recargable,NA,NA,NA
4, Máquina Philips Norelco Barba Nariz Y Oídos Envío Gratuito ,599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1501
				vendidos
			
		",(87 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 3328
		
		 sin intereses
		
	

	
		",28,NA,Envío gratis a todo el país,NA,NA,4.8,91,https://perfil.mercadolibre.com.mx/GIMPORTACIONESMX,https://articulo.mercadolibre.com.mx/MLM-596508768-maquina-philips-norelco-barba-nariz-y-oidos-envio-gratuito-_JM,77,11,2,1,0,#596508768,Philips,Series 3000,Multigroom 3000,Removible,3,Láminas,Recargable,60 m,NA,NA
5, Rasuradora Recargable Wahl 14pzs Recontruida De Fabrica ,599,799,"
			
			
				
				707
				vendidos
			
		",(323 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 3328
		
		 sin intereses
		
	

	
		",28,NA,Envío gratis a todo el país,NA,NA,4.9,19,https://perfil.mercadolibre.com.mx/IBUSHAK+OFICIALES?brandId=270,https://articulo.mercadolibre.com.mx/MLM-661343849-rasuradora-electrica-qp251010-repuesto-cuchilla-oneblade-_JM,17,2,0,0,0,#661343849,Philips,OneBlade,QP2510/10,Planos,1,Láminas,Recargable,30 minutos,8 h,NA
6, Rasuradora Eléctrica Qp2510/10 + Repuesto Cuchilla Oneblade ,279,NA,"
			
				Nuevo
			
			
				
					 - 
				
				258
				vendidos
			
		",(16 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 2756
		
		 sin intereses
		
	

	
		",56,NA,Envío gratis a todo el país,NA,NA,4.4,8,https://perfil.mercadolibre.com.mx/IMPORTACIONES+ACAPULCO,https://articulo.mercadolibre.com.mx/MLM-657933483-rasuradora-recargable-portatil-4-cabezales-pelo-y-barba-kit-_JM,5,2,0,1,0,#657933483,etceo,rasuradora,etceo,Planos,4,Láminas,Recargable,40 min,8 h,NA
7, Rasuradora Recargable Portatil 4 Cabezales Pelo Y Barba Kit ,244,442,"
			
				Nuevo
			
			
				
					 - 
				
				425
				vendidos
			
		",(330 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1358
		
		 sin intereses
		
	

	
		",58,NA,Envío a todo el país,NA,NA,4.5,11,https://perfil.mercadolibre.com.mx/TC+MEMORY.,https://articulo.mercadolibre.com.mx/MLM-669844256-rasuradora-recargable-wahl-14pzs-recontruida-de-fabrica-_JM,7,3,1,0,0,#669844256,Wahl,rasuradora,All-In-One,Removibles,NA,NA,Recargable,40 minutos,NA,907 g
8, Rasuradora Recargable Wahl 14pzs Recontruida De Fabrica ,"1,279",NA,"
			
				Nuevo
			
			
				
					 - 
				
				128
				vendidos
			
		",(24 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 7106
		
		 sin intereses
		
	

	
		",06,NA,Envío gratis a todo el país,NA,NA,5.0,2,https://perfil.mercadolibre.com.mx/SALAG+M%C3%89XICO,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=PnBA65tfWAK3HpF%2Fh8w4CqVDgC2OkmieI8HHzC5UPmLCORftLQsTTLL9BdMP3sZ75oJL%2FcPShHI2WZCRT6uI0gUdw2uPREg60a4o1NHezZCK3aQP6ZqWcJEtwInrEfUBouHzwmbehwoMkXrXEQkWofZjqztD67H9wkF%2B95VYDGB4G2Xe7dTPMOIsbYLUXCrUSTBA7xcfkzUNPjnbI6kaBTQ0YETTAcr9c8OmZkvyfqilpS%2FS3T1DhB0iWaROWQrz5RN1iyWYKCu593%2FzU6j%2FMo%2BWX90JUu7ZzHwLFsnfg%2BKgJvDV8UoAdFAeQLvK%2FnwoNRIziSF7Au3rZdLzCdkB9m8%2FjKqHHPLyNThxBhk1DbkutiZvs%2FepVt%2B8vEhH%2B7dM9wWCpS%2BWPd2tUhZiBrOCJsN4obTLkITTwS2aQnJVjCVPF4vw%2FJOIPawe6LHY%2F2qfUSXdSUdrUFFBnE%2Fk9lMbSXxm6QtQPOJh4SwO31KdOy9Dg%2B5U8zWFruOlx%2FaMxk3i8ANvl6scrgQBhbt1LtlGUjH5n5pNC61DjUNPOgC6QWZ7o5Ybkc8wptQU4Z9RpBf%2Bh2LcokZ9uSCslMKe6Q7myXtiah%2F3vBejwrHRN%2Frs64Z6i%2FHiEPr4Kf0AzqBuD%2FSkBs%2Bn58og%2FDYoQV88V3aPhFTDW7icwINzg9Ok7dvTzEk%2FjJIIlCZ6%2FxUxcOwUwGdMnQ8gClVbuZGuOr%2F%2B7KMmk6NxiN18LyAMod1Ohoig4OQv5cPv78eFF9g1IEg5BImJ0ami3BbR3PkKbG5V3GBFefLiYdNaiQUNfnaICIr7hA9yciRKHZvpAcSTODX5ohJDldzfOVX%2Fm2hekaHt1a9J4Fq8yLn03tVu1lDgBJ3Q38sG%2Fpml8cqKjb0UK%2Fb511LJ2NAxXju4Ao9kTRMnu3%2FI4ESQsMpF4vKlogqsPXy64T9CdYb7SXbyxs2hqAehlKArihyhP7UPMBPhcsLWS7TD0%2FhsPP8PdLrJDfM1z5ykImxfW8%2BdvIWdQc4B4lynWuHV4rryZwj5SG6AmjBoNJEK8LynLZdvuqIUwqRV8oAAjWt6ftDuPL4SS7N4GjyLV6hkF5ketI0fL0F2%2FfMlumx%2F2dqU0oz5KKpIggiIlU%2Fo6s7VvdXJ1TioP5aRLvHVkEJHCVc6je7cpDM4t0tXR%2BrnmqlfM41lEeUbK6dDQPKheQ%2BvVl%2FcN9L%2FdBNSVsVAJy0cSi1ND6oDgO86PG2GkGZmoXkE3zCD7LzINrlZ%2BvQUkwMfIatj0g90efWTViYgPQc6Aiaw%2BcE7CYvivIRh2Vy8lmixRky12yFcMNSI1VPZB3vIZm6AAHsTnBlMt1r%2FygvRhc8xML%2F7fJONVkmAMXDnPZhARXNzfeC%2ByyxyKKA%2FC9lvdHC5iJH7wszXwoZFYHdCrTyCc9g2YEIxzvqgimbRxQjev29dFWLejZNqJtKYrlwj6PbYsFiCo41R1sgrABmHgCKbzxOUZY3GIwSdDWJyBQsDZgRRG3HqxJ5Tu1c3qwF%2Bu1nSe5rirE3tZdWW1vlpODHC5SoHhOSw2BlgWEDwrBoahb%2BBGivotjB3lPeKzgz0yTnjUsSziFo26JyTqmZMuuJX8lCBuMe3ieCABZQf4FGj7v3xqPnNlG2ESZrAxR4qlSwR8DD1SXbj7PxOXeUiLczAtMkDpUpGgY9KRm4sXFKZ8X%2Bk3qveofGJtpw9XG%2B2zAEZw29QXYM5DI0J9lUnY%2Br20yhYy3792CM0axgHo2679XlfwXlVvezdm%2BgMkBgydKtLsuzeSl4D9A3PJV4M6cAMsV4%3D,NA,NA,NA,NA,NA,#643641170,Wahl,5-Star,Shaver,Removibles,1,Rotativo,Recargable,3 HORAS,50 m,NA
9, Rasuradora Trimmer Solo Micro Touch Barba Bigote Afeitadora ,780,NA,"
			
			
				
				125
				vendidos
			
		",(40 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 7706
		
		 sin intereses
		
	

	
		",06,NA,Envío gratis a todo el país,NA,NA,4.7,11,https://perfil.mercadolibre.com.mx/CARAS1990?brandId=1233,https://articulo.mercadolibre.com.mx/MLM-652811828-afeitadora-rasuradora-philips-norelco-edicion-esp-star-wars-_JM,8,1,1,0,0,#652811828,Philips,Norelco / Star Wars,SW175,Giratorios,2,Rotativo,Recargable,40m,1 h,NA
10, Afeitadora Rasuradora Philips Norelco Edición Esp Star Wars ,997,NA,"
			
				Nuevo
			
			
				
					 - 
				
				101
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 9850
		
		 sin intereses
		
	

	
		",50,NA,Envío gratis a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.com.mx/DIRECTISHOP+OFICIAL,https://articulo.mercadolibre.com.mx/MLM-644599481-rasuradora-trimmer-solo-micro-touch-barba-bigote-afeitadora-_JM,NA,NA,NA,NA,NA,#644599481,MicroTouch,Trims,Microtouch Solo,Pivotantes,1,Láminas,Recargable,45,9 h,NA
