search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Tiempo de funcionamiento,Tipo de alimentación,Tipos de cabezales,Peso
1, Cortabarba Multigroom Philips Mg7715/15 ,2199,2999,"
			
			
				
				991
				vendidos
			
		",(65 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,101,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-693493640-cortabarba-multigroom-philips-mg771515-_JM,71,23,4,2,1,#693493640,Philips,Series 7000,MG7715/15,MG7715/15,120,NA,NA,NA
2, Afeitadora Eléctrica Fading Shaving Teknikpro ,1790,2750,"
			
			
				
				401
				vendidos
			
		",(149 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,35,https://perfil.mercadolibre.com.ar/-LASMARGARITAS-?brandId=100,https://articulo.mercadolibre.com.ar/MLA-684054385-afeitadora-electrica-fading-shaving-teknikpro-_JM,24,9,1,0,0,#684054385,Teknik Pro,NA,Fading & Shaving,NA,NA,NA,NA,NA
3, Cortabarba Multigroom Philips Mg5730/15 Cuerpo Rostro ,2299,NA,"
			
				Nuevo
			
			
				
					 - 
				
				382
				vendidos
			
		",(42 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,57,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-739507858-afeitadora-corporal-philips-bodygroom-bg300515-apta-ducha-_JM,34,17,5,1,0,#739507858,Philips,Series 3000,BG3005/15,BG3005/15,40M,220v,Planos,NA
4, Corta Pelo Y Barba Afeitadora Gama Electrica Inalambrica ,1389,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3964
				vendidos
			
		",(2 disponibles),12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,442,https://perfil.mercadolibre.com.ar/DARIO+HOGAR,https://articulo.mercadolibre.com.ar/MLA-618507579-corta-pelo-y-barba-afeitadora-gama-electrica-inalambrica-_JM,278,123,29,6,6,#618507579,GA.MA,NA,GC 545,NA,NA,NA,NA,NA
5, Cortabarba Multigroom Philips Mg3730/15 Barba Cabello Nariz ,3999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				635
				vendidos
			
		",(26 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,217,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-728426848-afeitadora-philips-aquatouch-s507002-electrica-recargable-_JM,143,57,13,0,3,#728426848,Philips,AquaTouch,S5070/02,S5070/02,40 M,220v,NA,NA
6, Cortabarba Multigroom Philips Mg7715/15 ,1999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				659
				vendidos
			
		",(92 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,40,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-740807251-cortabarba-multigroom-philips-mg373015-barba-cabello-nariz-_JM,29,11,0,0,0,#740807251,Philips,Series 3000,Multigroom,MG3730,60 M,220v,Planos,NA
7, Afeitadora Philips Aquatouch S5070/02 Eléctrica Recargable ,2199,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2432
				vendidos
			
		",(93 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,187,https://perfil.mercadolibre.com.ar/TANGOHOGAR,https://articulo.mercadolibre.com.ar/MLA-729119308-cortabarba-multigroom-philips-mg573015-cuerpo-rostro-_JM,139,43,4,0,1,#729119308,Philips,Series 5000,MG5730/15,MG5730/15,80,220v,Planos,NA
8, Cortadora De Pelo Gama Gcx685 Trimmer Afeitadora 6 Cabezales ,2199,2999,"
			
			
				
				991
				vendidos
			
		",(65 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,101,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=QL%2Fcs8RtHjuw7ysBsCiM1COptP%2FjQo7RCdcEm3PW0D6beBRoZ59F4YMjSZ4aZwlBjb2OJzT3TyuzrKVNK20iR5ogNQh8i1u6M7jQ26FDEVFSQQD1epco64jsFlxC9OjPXSckxnipibGAzfsSSTSLN12a7xU5LJmxhjd9wLtawc3ViNsaa6Pg8N2H6sykOsDySgOdaokMQ60giIEkpblgSeFR96%2FTq3r26CBXbEuosoIvn7q4AP%2FIydK1EGYL4qmOn2rNajYWUpKkabhnh6p%2BSypUPzMQ7NFe3fj9Qk9PKbVsZgeSkY3F8JNRxQdCSbpAhxN7PU5%2FYoNlPsf8DaYu8Fz62gkkMMaGT2iEDfiV4jeOhPFN1Ii%2BDWpuND4x8pGxfyL3im7Yb1SEcK%2FcM32SQ2TxT4cyV6IcfnBSFNxVeIH7vN6rtV%2FnaSSpYsQ5j6LfAC9rMzij2sUaUluYDTbmc%2BHCZ3AkCE5oKUUmwbTurlyukEV4TqayuuH3z6B9X2oTRQHkL6NEnSIuFfk76oUIXUY7WCGQ3HIWjRdsnYElvZUn47raOgwDEGINVnh0VJwehgkxwzAsAHlXuE81OK0TBrYZ3ROikiRlz4gb8NguXwp6sC6vfQaNgat06yoOlw2SWsVEs4qIFH4K6ptud6fyelaIw0v05KkGJu5iICgoQbIxUvrbm2vdP1EymQJnlRwn9w2nvjQQhV0fll9frl2fE%2B81UhS%2FMIabJhNhj76ph2oWpLesuW6Y%2FhLqDDTUyUeNX%2F5aoatmYaN8Pk055U0RwnC9kXv8E5Cg0wqxozFp9Z6%2BbG0irw%2Bv1uX2F2nP%2Fya5Pqm2p066EqaC7lCkmwaH2eprwklwPh%2FmSxMKgpz0rfATzxznydJbd2v%2FaPAZU8eGDi%2BHhPNHR8qwssIbPYjcvfNMmbX09U4xsHaVxXF9H8syDVNxOkWqTVykpG9pULnM1%2Bz1IaeZuQ1JiEaGpspzHLxsCCVWdkjFYST9wLP%2FimPpRCLD70GQSrYgnDIubV85EGaPoUDJXxGLheEcthwHpBjbhkzdbEPmQQebXGCDbrPaa11CTzup5cgAdafvSOPgwU6WRZRYZ5LLTKxdu64DAxKgRx1TQPnCI7MZjhveUPz%2FM5GNOr3DQpvYgSw8d278rtmM6AxR%2FY1Y7QmtKTBdeX%2F9pQhNL5rmpFneSvEiCaoqWN0DEnxv1NKI5QWaL%2Fu8w9Um0xzhfZUaMzem%2BRkLvvQnkd0rX7BFlUEm1ntam64K1Vr5Jb737b2r3%2B2SnZWqjGa%2BN7qPbqWJO%2B7L4bPaBdafVGEzXBFIWaMpptFMPSloY%2FduAZFcydTIAkm6oFt2NGGcmHDrQlwxRU5gY2p7sDaLZRYOzV%2FX2bPQr20IkJvJIMyy1KS%2FqTGCjdgBUONwDEdGRyjLehG5wu1%2BCY6QO5PBMHEJLRBTx0h7OdtjZ0uLiXjy3bOVAtHTmx21CKs8CCHSW3IJsuvzRisCUgHoC12s5qbM0yJjzdUWVF9FECfEGrVTy2K2PUj%2BmlOiyKFMRnsYCG02w5DbYD2iOQmDorv60Qwxyp%2BW8%2BC0MzJf3U3mN0GRpcbMKho6%2FX%2FtWtwFNSLL1q0WEozzJrcImelMRsCHrXHL7uuJ%2FczU3iXoKcZYfeb3NegZS9vpa3gJtaJNae9rCuXWZMUg6XmTsGRL3BXCSdODWXada3O0gkeq6tpLV3WAAfINuoS1knwY7ncX%2B0E6Y4mMsBZj0tYAdD0AfBtL0Z1H9%2BM%3D,71,23,4,2,1,#693493640,Philips,Series 7000,MG7715/15,MG7715/15,120,NA,NA,NA
9, Cortabarba Multigroom Philips Mg5730/15 ,3059,NA,"
			
				Nuevo
			
			
				
					 - 
				
				63
				vendidos
			
		",(43 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,33,https://perfil.mercadolibre.com.ar/TECNOFAST_,https://articulo.mercadolibre.com.ar/MLA-624059346-cortadora-de-pelo-gama-gcx685-trimmer-afeitadora-6-cabezales-_JM,22,8,2,0,0,#624059346,GA.MA Italy,AFEITADORA,GCX 685,NA,NA,NA,NA,NA
10, Philips Oneblade Qp2526/10 Híbrida Recortá Modelá Y Afeitá ,1899,2299,"
			
			
				
				248
				vendidos
			
		",(46 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,10,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-788821630-philips-oneblade-qp252610-hibrida-recorta-modela-y-afeita-_JM,7,3,0,0,0,#788821630,Philips,OneBlade,QP2526/10,QP2526/10,NA,100-240v,Planos,NA
