search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Marca del celular
1, Estuche Funda iPhone 7+ iPhone 8+ Protector Transparenterock ,34.99,NA,18,5,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TECHNOSMART+DISTRIBUCIONES,https://articulo.mercadolibre.com.co/MCO-462539535-estuche-funda-iphone-7-iphone-8-protector-transparenterock-_JM,NA,NA,NA,NA,NA,#462539535,NA,NA,NA
2, Spigen Tough Armor [2nd Generation] Funda iPhone 8 Plus ,115.9,NA,4,5,12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AKARGO+COLOMBIA,https://articulo.mercadolibre.com.co/MCO-463250747-spigen-tough-armor-2nd-generation-funda-iphone-8-plus-_JM,NA,NA,NA,NA,NA,#463250747,NA,NA,NA
3, Vidrio Cristal Trasero Repuesto iPhone 8 Plus 100% Original ,89.9,NA,11,25,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/IWORLDSERVICE,https://articulo.mercadolibre.com.co/MCO-465277145-vidrio-cristal-trasero-repuesto-iphone-8-plus-100-original-_JM,NA,NA,NA,NA,NA,#465277145,APLE,CRIREP8P,NA
4," Forro Estuche Protector Funda iPhone 8, Solo Rosado ",16.99,NA,7,NA,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/WL+INVERSIONES,https://articulo.mercadolibre.com.co/MCO-472579934-forro-estuche-protector-funda-iphone-8-solo-rosado-_JM,NA,NA,NA,NA,NA,#472579934,NA,NA,NA
5, Funda Forro Protector 360 Gkk Estuche 3 En 1 iPhone 8 ,27.9,NA,3,7,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/CAROLINA.CASTRO68,https://articulo.mercadolibre.com.co/MCO-516343803-funda-forro-protector-360-gkk-estuche-3-en-1-iphone-8-_JM,NA,NA,NA,NA,NA,#516343803,NA,NA,NA
6, Carcasa Funda Estuche iPhone ,19.999,NA,4,2,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MLOKEDO,https://articulo.mercadolibre.com.co/MCO-517962345-carcasa-funda-estuche-iphone-_JM?searchVariation=40002255587,NA,NA,NA,NA,NA,#517962345,NA,NA,iPhone
7, Estuche Funda Bumper Protector iPhone 8 / 8 Plus Negro ,35,NA,38,6,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/KLIDAD+OFICIAL,https://articulo.mercadolibre.com.co/MCO-524696672-estuche-funda-bumper-protector-iphone-8-8-plus-negro-_JM?searchVariation=40859589966,NA,NA,NA,NA,NA,#524696672,NA,NA,NA
8, iPhone 8 Kit Protector Funda Ultra Delgada + Vidrio Templado ,48.9,80.000,18,2,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.3,4,https://perfil.mercadolibre.com.co/TIENDANOSTRA.COM,https://articulo.mercadolibre.com.co/MCO-458321711-iphone-8-kit-protector-funda-ultra-delgada-vidrio-templado-_JM,3,0,0,1,0,#458321711,NA,NA,NA
9, Vidrio Cristal Trasero Repuesto iPhone 8 100% Original ,79.99,NA,5,15,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/IWORLDSERVICE,https://articulo.mercadolibre.com.co/MCO-465277106-vidrio-cristal-trasero-repuesto-iphone-8-100-original-_JM,NA,NA,NA,NA,NA,#465277106,APLE,CRIREP8,NA
10, Funda Iluv Para iPhone 8 Y 7 Plus Crystal Ring Transparente ,47,NA,2,NA,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/ANROHEZ,https://articulo.mercadolibre.com.co/MCO-518742210-funda-iluv-para-iphone-8-y-7-plus-crystal-ring-transparente-_JM,NA,NA,NA,NA,NA,#518742210,NA,NA,NA
