search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato,Línea,Color
1, Audífonos Bluetooth Bt-100 Negro Maxell- Entrega Inmediata. ,9.990,15.990,"
			
			
				
				328
				vendidos
			
		",(10 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 832
			
		
		 sin interés
		
	

	
		","
				$ 832
			",NA,Envío a todo el país,NA,NA,4.5,31,https://perfil.mercadolibre.cl/MAXELL+CHILE?brandId=219,https://articulo.mercadolibre.cl/MLC-452371070-audifonos-bluetooth-bt-100-negro-maxell-entrega-inmediata-_JM,22,5,2,2,0,#452371070,Maxell,EB-BT100 CARBON,NA,NA,NA
2, Audífonos Am61 Inalámbrico Bluetooth Huawei Am 61 -mobilehut ,28.990,39.990,"
			
			
				
				208
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.832
			
		
		 sin interés
		
	

	
		","
				$ 4.832
			",NA,Envío gratis a todo el país,NA,NA,4.7,67,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-451201533-audifonos-am61-inalambrico-bluetooth-huawei-am-61-mobilehut-_JM,55,8,3,1,0,#451201533,Huawei,AM61,NA,NA,NA
3, Audífonos Bluetooth Tipo I7s Tws Gamer V4.2 Oem ,6.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				169
				vendidos
			
		",(927 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.165
			
		
		 sin interés
		
	

	
		","
				$ 1.165
			",NA,Envío a todo el país,NA,NA,4.6,5,https://perfil.mercadolibre.cl/MAMI+HOUSE,https://articulo.mercadolibre.cl/MLC-491571996-audifonos-bluetooth-tipo-i7s-tws-gamer-v42-oem-_JM,3,2,0,0,0,#491571996,NA,NA,NA,NA,NA
4, Audifonos Bluetooth I7s Tws Alta Calidad Colores + Base ,19.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				484
				vendidos
			
		",(1055 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.666
			
		
		 sin interés
		
	

	
		","
				$ 1.666
			",NA,Envío gratis a todo el país,NA,NA,4.3,16,https://perfil.mercadolibre.cl/WSTECHNOLOGY.,https://articulo.mercadolibre.cl/MLC-472793392-audifonos-bluetooth-i7s-tws-alta-calidad-colores-base-_JM,10,2,3,1,0,#472793392,CHINO,I7S,In-ear,NA,NA
5, Audifonos Inalámbrico Bluetooth Tws-k2 AirPods - Prophone ,19.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				464
				vendidos
			
		",(64 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.332
			
		
		 sin interés
		
	

	
		","
				$ 3.332
			",NA,Envío gratis a todo el país,NA,NA,4.2,27,https://perfil.mercadolibre.cl/PROPHONELTDA,https://articulo.mercadolibre.cl/MLC-454472669-audifonos-inalambrico-bluetooth-tws-k2-airpods-prophone-_JM,18,2,3,3,1,#454472669,NA,NA,NA,NA,NA
6, Audífonos Xiaomi Redmi Airdots +cable Cargador/ Matpro Store ,28.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				83
				vendidos
			
		",(7 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.832
			
		
		 sin interés
		
	

	
		","
				$ 4.832
			",NA,Envío gratis a todo el país,NA,NA,4.6,30,https://perfil.mercadolibre.cl/MATPRO+STORE,https://articulo.mercadolibre.cl/MLC-491229415-audifonos-xiaomi-redmi-airdots-cable-cargador-matpro-store-_JM,23,5,1,0,1,#491229415,Xiaomi,AirDots,box,Redmi,NA
7, Audifono Bluetooth V4.2 Inalámbrico Hbq I7-tws ,7.990,14.990,"
			
				Nuevo
			
			
				
					 - 
				
				444
				vendidos
			
		",(56 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.332
			
		
		 sin interés
		
	

	
		","
				$ 1.332
			",NA,Envío a todo el país,NA,NA,3.2,11,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-459017997-audifono-bluetooth-v42-inalambrico-hbq-i7-tws-_JM,3,2,2,2,2,#459017997,TWS,I7S,NA,NA,NA
8, Audifonos Con Bluetooth Sony Oem Con Luz Led ,19.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				104
				vendidos
			
		",(106 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.332
			
		
		 sin interés
		
	

	
		","
				$ 3.332
			",NA,Envío gratis a todo el país,NA,NA,4.3,7,https://perfil.mercadolibre.cl/ELECTRONICA_ROCA,https://articulo.mercadolibre.cl/MLC-464459355-audifonos-con-bluetooth-sony-oem-con-luz-led-_JM,5,1,0,0,1,#464459355,Sony,NA,NA,NA,NA
9, Audifonos Bluetooth P47 Stereo Radio Mp3 Inalambricos /04126 ,6.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				986
				vendidos
			
		",(209 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.165
			
		
		 sin interés
		
	

	
		","
				$ 1.165
			",NA,Envío a todo el país,NA,NA,4.4,16,https://perfil.mercadolibre.cl/CUPOCLICKCHILE,https://articulo.mercadolibre.cl/MLC-473637938-audifonos-bluetooth-p47-stereo-radio-mp3-inalambricos-04126-_JM,11,3,1,0,1,#473637938,047,WIRELESS 4.2+EDR,Headset,NA,NA
10, Audífono Monster Bluetooth Profesional 40 Hrs De Musica ,24.890,NA,"
			
				Nuevo
			
			
				
					 - 
				
				126
				vendidos
			
		",(74 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.148
			
		
		 sin interés
		
	

	
		","
				$ 4.148
			",NA,Envío gratis a todo el país,NA,NA,4.9,8,https://perfil.mercadolibre.cl/OUTLETNET-LTDA,https://articulo.mercadolibre.cl/MLC-460166710-audifono-monster-bluetooth-profesional-40-hrs-de-musica-_JM,7,1,0,0,0,#460166710,Monster,NA,NA,NA,NA
11, Audífono Bluetooth V4.2 M5 Deportivos Magnéticos ,4.999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				82
				vendidos
			
		",(17 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 417
			
		
		 sin interés
		
	

	
		","
				$ 417
			",NA,Envío a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/OFERTABKNCL,https://articulo.mercadolibre.cl/MLC-473455109-audifono-bluetooth-v42-m5-deportivos-magneticos-_JM,NA,NA,NA,NA,NA,#473455109,NA,NA,NA,NA,Roja
12, Manos Libres Bluetooth Mini Auricular ,3.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				339
				vendidos
			
		",(21 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 332
			
		
		 sin interés
		
	

	
		","
				$ 332
			",NA,Envío a todo el país,NA,NA,3.4,5,https://perfil.mercadolibre.cl/LAOCASIONSTORE,https://articulo.mercadolibre.cl/MLC-465965042-manos-libres-bluetooth-mini-auricular-_JM,2,0,2,0,1,#465965042,NA,NA,NA,NA,NA
13, Auricular Inalambrico Bluetooth Manos Libres Tipo Airpod ,3.790,NA,"
			
				Nuevo
			
			
				
					 - 
				
				175
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 316
			
		
		 sin interés
		
	

	
		","
				$ 316
			",NA,Envío a todo el país,NA,NA,3.0,2,https://perfil.mercadolibre.cl/LAOCASIONSTORE,https://articulo.mercadolibre.cl/MLC-460325127-auricular-inalambrico-bluetooth-manos-libres-tipo-airpod-_JM,NA,NA,NA,NA,NA,#460325127,i7,I7,Headset,Bluetooth,NA
14, Audifonos Pioneer Bluetooth Aptx Hi-res Se-ms7bt ,69.990,119.990,"
			
			
				
				106
				vendidos
			
		",(1 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 5.832
			
		
		 sin interés
		
	

	
		","
				$ 5.832
			",NA,Envío gratis a todo el país,NA,NA,4.8,13,https://perfil.mercadolibre.cl/MUSICWORLDCHILE?brandId=183,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=LQqkhZh2U3R9KZZfe%2BBMWJwGP86moMAvKRPD8WuUguK0lO%2FFQSLJ0uU3qKYf0M9FYbb97bp9d9Ubcfw%2Fg2FRGq2UYQ%2FvoZ3kldshaLHxbzlQm07cu0jLee21bwF3mWDx0ixZbEvDO%2BWmvKkROEKpcFmzzm2CTLyDiV6S7%2B1Y3F3OXRz4tPwcwMzQPVs5kB6quNPVJalhWhJi0t6mb8kB%2Fyqb0zClLOBJWuvK3EKsbyv0lt9%2FR4DgSOaLNeSgT7GwgjtVsF8FjbbCiW285c0pbE%2BXWY6XqIPB6soBWm%2FoKZLy19jAfABHXxWZyL083gXQ2wGAxP7nuLgfeV5gDN0NWYEumdZvIWDPcbT7%2BIv5Ph2ODE11pfa8B%2BdYmE6rjRWb4V3Pin2HXwGxB2zU8lLiplz0UEQY%2BDTkyxe%2Bv4VyYHDHIvZeJkxINz%2FzUaqFt2BqFMg1iriFtnP473jhrETkES3HthV76zgE3xns27HGfpLY2SCmqU1cbt8LhpOT94AFH5akRDz5R4stPFZuB1UdC9oELtvYC%2FYYnBJoVUDwsaGcUgFlkcgHbs1FACZ%2BvlQxrLQCnlZbxHbOvTEccEOC3P7i8Pbelrcue3xFRP3dOu1nt7xPPZCqg6g38E4DlNf9wxJjg1UvECGLzPcd0ZxNDOo%2B4giH94QjjCOe8Dp4uVyfoTY%2FUx9IPHeltq5CISeCT2kR29Uuuek7hjfPC4JQtK3KshOt0c1duZk1GV4lVvo81dpI7ZsNABq9yxDc9%2FJSsj%2FjMhCyyuNXcmpzgoADXhQWADqrm7UTt5xyCDA3%2BpCX9NEeiR4wf28ns9t9eUR0RWKXvEwpUBN87tf7Gxj1uBH%2BzWdqOw3HujjO9HdAeN5tbxBAft%2BBD5gLpauU2hxjFCeFCHFFIdPhUqU0Bb4ic0unaggjOHvuIn3Z2qEOD3eIPbwQoSB96dW1hSUlwdWSDZFLXNeuu%2FRs7vNfXYUPbPa%2FvxeL9d4xSczLAmAUGjsmfeOARnGcrjTgi0jlirZ50OEMluLsnEqxnLWGMp1JazgdNXBK%2FOxd7tCYPJusX9EBlocozs9ueVjUU0lZMuqyLUEF20sbfWZGWtOG83J2ZKTXI2%2BeC1N%2FhEBcA8QU6D8HN%2BQNgDBy9WUfQwtr2bfF5bQtn3dbZUOOcHu8v8Gopc8cTt7YoaUVG40obZAu8EbkCWiMLxv3jaC2zBSIv%2Bov4SSz%2Bbn98SHOVT7jgbSDSsTBwp%2BxpG%2BBDgiSW9S3e80SQ1tmgj8ipIZxcZk04qpcBgkEtkssahiE9JDV7wwuPFA%2F6%2BD8cpl4CME6Dzim1GzoIWTCPSY30PtNvIwBE4u7HfsQ%2FLPiFrFir%2Bq%2F9lwxGwHLeyoQgu3GzZqaVVRru29MbWpxNuBQqNXqPO7DkX2HUW0Ug2rx8Z0karDmqfxwV7385WESxGzecWUuZoXfG3tIffjyGG44diiqfMwxtLy8AB7fExuoUQyk4siT62JfF%2B3aBnoYomf%2BkDP%2BjLUg%2BIjijGxdj%2BotUTa%2Ba6RuX%2BjI1D7jZ6jBfife%2BbFsbe4GSJnWwTQxY%2BChXDxb,11,2,0,0,0,#445968498,Pioneer,SE-MS7BT,NA,NA,NA
15, Audifonos I7s Tws Bluetooth iPhone Android ,6.490,NA,"
			
				Nuevo
			
			
				
					 - 
				
				71
				vendidos
			
		",(23 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 541
			
		
		 sin interés
		
	

	
		","
				$ 541
			",NA,Envío a todo el país,NA,NA,3.0,3,https://perfil.mercadolibre.cl/LAOCASIONSTORE,https://articulo.mercadolibre.cl/MLC-471461822-audifonos-i7s-tws-bluetooth-iphone-android-_JM,1,0,1,0,1,#471461822,i7,i7S TWS,NA,NA,NA
16, Audífonos Bluetooth Auriculares Inalámbrico Caildad!!! ,9.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				481
				vendidos
			
		",(244 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.665
			
		
		 sin interés
		
	

	
		","
				$ 1.665
			",NA,Envío a todo el país,NA,NA,4.7,40,https://perfil.mercadolibre.cl/MUNDOMAGIA%C3%91U%C3%91OA,https://articulo.mercadolibre.cl/MLC-447161588-audifonos-bluetooth-auriculares-inalambrico-caildad-_JM,34,3,2,0,1,#447161588,NA,NA,NA,NA,NA
17, 1 Audífono Bluetooth I7s Tws Gamer V2.0 ,1.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				65
				vendidos
			
		",(29 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 166
			
		
		 sin interés
		
	

	
		","
				$ 166
			",NA,Envío a todo el país,NA,NA,3.0,2,https://perfil.mercadolibre.cl/CELLBOX.CL,https://articulo.mercadolibre.cl/MLC-469009538-1-audifono-bluetooth-i7s-tws-gamer-v20-_JM,NA,NA,NA,NA,NA,#469009538,NA,NA,NA,NA,NA
