search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Formato
1, Auriculares Bluetooth In Ear Instto Insun X S iPhone Android ,4999,NA,"
			
			
				
				837
				vendidos
			
		",(78 disponibles),6 cuotas sin interés,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,281,https://perfil.mercadolibre.com.ar/TIENDAS+ELECTROSHOWS?brandId=1507,https://articulo.mercadolibre.com.ar/MLA-754700205-auriculares-bluetooth-in-ear-instto-insun-x-s-iphone-android-_JM,163,75,26,11,6,#754700205,Instto,INSUN,InSun X,Insun XS,In-ear
2, Auricular Bluetooth Gadnic Inalambrico Musica Celular Running ,1999,2900,"
			
			
				
				1713
				vendidos
			
		",(8157 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,321,https://perfil.mercadolibre.com.ar/SALES+COM?brandId=945,https://articulo.mercadolibre.com.ar/MLA-647289957-auricular-bluetooth-gadnic-inalambrico-musica-celular-running-_JM,232,48,26,6,9,#647289957,Gadnic,NA,T11,NA,Over-ear
3, Auriculares Bluetooth +5.0 Inalambricos I7s Pro In Ear ,699,NA,"
			
				Nuevo
			
			
				
					 - 
				
				343
				vendidos
			
		",(388 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.0,1,https://perfil.mercadolibre.com.ar/TIENDAGALAXY,https://articulo.mercadolibre.com.ar/MLA-803432284-auriculares-bluetooth-50-inalambricos-i7s-pro-in-ear-_JM,NA,NA,NA,NA,NA,#803432284,TWS,In-ear,i7S TWS,i7S TWS,In-ear
4, Auriculares Bluetooth Inalambricos In Ear Con Base Recargable ,798,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1920
				vendidos
			
		",(232 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.0,73,https://perfil.mercadolibre.com.ar/TPSHOP_BAIRES,https://articulo.mercadolibre.com.ar/MLA-764888251-auriculares-bluetooth-inalambricos-in-ear-con-base-recargable-_JM,43,14,3,1,12,#764888251,TWS,Earpod,I7s,3,In-ear
5, Xiaomi Auriculares Inalambricos Bluetooth Redmi Airdots Tws ,3199,NA,"
			
				Nuevo
			
			
				
					 - 
				
				305
				vendidos
			
		",(70 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,171,https://perfil.mercadolibre.com.ar/SELFIE+TECH,https://articulo.mercadolibre.com.ar/MLA-674442510-xiaomi-auriculares-inalambricos-bluetooth-redmi-airdots-tws-_JM,125,39,3,2,2,#674442510,Xiaomi,Airdots,Redmi Airdots,Mi Airdots,In-ear
6, Auriculares Bluetooth Inalambrico 4.2 In Ear Base Recargable ,699,NA,"
			
				Nuevo
			
			
				
					 - 
				
				609
				vendidos
			
		",(131 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,13,https://perfil.mercadolibre.com.ar/01ENLINEA.COM.AR,https://articulo.mercadolibre.com.ar/MLA-791375058-auriculares-bluetooth-inalambrico-42-in-ear-base-recargable-_JM,9,3,0,0,1,#791375058,TWS,NA,I7s,I7s,In-ear
7, Auricular Bluetooth Xiaomi Redmi Airdots Wireless ,1736,NA,"
			
				Nuevo
			
			
				
					 - 
				
				716
				vendidos
			
		",(999 disponibles),6 cuotas sin interés,NA,NA,NA,NA,NA,4.7,171,https://perfil.mercadolibre.com.ar/FACILIDADAR,https://articulo.mercadolibre.com.ar/MLA-787855253-auricular-bluetooth-xiaomi-redmi-airdots-wireless-_JM,125,39,3,2,2,#787855253,Xiaomi,NA,AirDots,NA,NA
8, Auriculares Bluetooth Celular Inalambrico Deportivo In Ear ,269,NA,"
			
				Nuevo
			
			
				
					 - 
				
				648
				vendidos
			
		",(165 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,3.0,3,https://perfil.mercadolibre.com.ar/01ENLINEA.COM.AR,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=caDMQ6i3QgsukS9%2FNS7YduX9bhyA7CAnGbly1jLuGCb9VCcyfZnpqv0rUxO1ej8ErNwR7ARR5e6I%2FZZ4WYkadSJnyzhGuL6brzI4zxbWb2B%2F4Xc7r9rWpvIe%2F1DGikvhrQqgQlo0oYX4QMtzgRxPwdV%2FGWPG%2Ff9nEGNjGY1vIgLd5FSpBsuWj8JulyVUBRRRSvyx09u6sfvCN8JFwauulKqNssVEwbUrd1c6in1syjeezY6XekRV9x%2FIxpnZNGniO8L8sy76TntGnggb9xJe%2Bi5XB9lzvirJHYpIUMOQaR2PKIC0ZcGGLTKmBQ%2F%2FZ6ffxxLQWWkkSfrLnmCqpVgplagcvSUgyp%2F8wiRpJDSjJYLoW1P2k2NXcxHeK%2Fb0jcz2rpN2YGdeCAtSHIA7ATlG9VaxxJnxeknY87RQzN23WeihIK9SfqVR8iRFBSCeF2jLQqnR1TzfDIYv%2F7NBKma3QiA2TbXgM4M%2B1OamvBPmS54Sr2EzqntcKPTnBQ%2FMTOuKIyJOUId%2BDIexTtGSMyr3Tp1W0W39cTEs5fwla9FzQ8ODAtoSji8TxW5TGDC%2Bf2y8F62%2B3BYARxeJlalcTVPLqenhvsYA4GtlHGRlStN9dqW4ExEbeNPBPdst8yM8%2FEhYcQjPK63LN9yrl%2FA%2B19zEoHb4S%2FwQi3ZcrvArIWTiJXBOWuyYLP7ReMYmbKbgLcVAu5zArHs7c33rgb1zUmzpvTHqz71o4epvarfw3YSaH4YNmRJ%2B0BsXhSo8fif5luO7CvWJ9LtxJkcRNpYKx9TAi3wrpdePHPG7%2BqrjRJ8y3OVLeEgn9jdS0eZ1Arh00tKyCAJzqUNN17te6oGq3pVw3yVUvTZjs7gjC5ZhimfqsDN3lTdX3QupZrAUmYC0uYhKIbbk3gtoLOOAHRgCEc4gnHx3nhn5lUbF%2FhEOoPBqsOvRptlDrpV86l5noOzVJft0Yg7AnL3564dYyhZM6kKxYqJ%2BSHNP6uaZ%2BNW22bcvJyARBiMrnPUSXbz0Aae08r%2FOzuKDi4CkP1IejzAKfJSAkKRZMq3SsgHSriUxsXdCGEoTF7%2BHmdzT1lFDAN%2Bt4GFDK59RjA9ps%2Fs1Vq5HsGOIXOpix2BJvkVF%2BF8ElJIlIoJjcl3DG6mmUx9ZBIai4CnDGy7Pumhfuc5FSnqypZynZTJEd%2FV95xQJynv4qBYDmDvBEtAhrK%2BCzC%2BDeW%2BLJWwkd%2Bj9u3FgLylRLhnP7xBEnBHQomk0zo%2Fg4bLvaAoMkiKMc5pfVHzeNfrkEF4GkgOX6OqMN1x%2FD6emUHDKZR0GNYNSbitLex3NGr1vXhNAMX2N5OfpZaebFpUB0KMGeVC0GNzDvgEJNRJGmO8LHQ7c%2FieihjDhmCNzDBtuteSQIulnOxdQRX71SzUnkJkrnEgIcC%2B2zyzCYJZoiDseL7EFOjXcARx0YUEf9tSfR3qEAxxH3HTR47ZmEWst3TO4KOqSwLH6vhtrnhS2IvT%2BPZvEwN2krgIqKBLyDqok8UPwr84Ip%2FB7A4BuOxThbb2x6uSkXC2iBe7gpefYOVo8NqcYQ7jcLZ2lPm822XBKXtY1WkUG2kZiqZDm998pbXZKxZcDtgGFDbQZtCTAWrXAcHdZt30V6Dwl6smdcT89I07u,1,0,1,0,1,#786431094,Ajavision,Bluetooth,S6 Magnet,S-6,In-ear
9, Auriculares Bluetooth Celular Inalambrico Deportivo In Ear ,269,NA,"
			
				Nuevo
			
			
				
					 - 
				
				648
				vendidos
			
		",(165 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,3.0,3,https://perfil.mercadolibre.com.ar/01ENLINEA.COM.AR,https://articulo.mercadolibre.com.ar/MLA-786431094-auriculares-bluetooth-celular-inalambrico-deportivo-in-ear-_JM,1,0,1,0,1,#786431094,Ajavision,Bluetooth,S6 Magnet,S-6,In-ear
10, Auricular Bluetooth Mini Manos Libres iPhone Android Running ,375,NA,"
			
				Nuevo
			
			
				
					 - 
				
				686
				vendidos
			
		",(500 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,3.4,18,https://perfil.mercadolibre.com.ar/UNIVERSALSHOPS,https://articulo.mercadolibre.com.ar/MLA-749501381-auricular-bluetooth-mini-manos-libres-iphone-android-running-_JM,7,2,3,3,3,#749501381,Universal,In Ear,S530,S530,Mini  bluetooth
