search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca de Celular,Modelo de Celular,Marca da Capa,Modelo da Capa,Tipo de capa,Material
11, Capa Capinha Ultra Fina Fosca iPhone 6s Plus 7 8 Plus Novo ,22,NA,"
			
				Novo
			
			
				
					 - 
				
				715
				vendidos
			
		",(98 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 572
		
		 sem juros
		
	

	
		",72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,12,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,https://produto.mercadolivre.com.br/MLB-1026051169-capa-capinha-ultra-fina-fosca-iphone-6s-plus-7-8-plus-novo-_JM?searchVariation=25994987550,8,2,0,0,2,#1026051169,Apple,Iphone,Bumper,Silicone,Slim,Silicone
12, Capa Capinha Anti Impacto 4em1 iPhone 6 7 8 Plus Xr X Xs Max ,49,NA,"
			
				Novo
			
			
				
					 - 
				
				139
				vendidos
			
		",(27659 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 833
		
		 sem juros
		
	

	
		",33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,8,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1210095124-capa-capinha-anti-impacto-4em1-iphone-6-7-8-plus-xr-x-xs-max-_JM?searchVariation=35219107399,7,0,1,0,0,#1210095124,Apple,IPHONE,JK CAPAS,CAPA 4 EM 1 ANTI IMPACTO,CAPA PROTETOR,TPU/Policarbonato
13, Capinha Com Foto Personalizada iPhone 8 Plus ,29,NA,"
			
				Novo
			
			
				
					 - 
				
				52
				vendidos
			
		",(48 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 598
		
		 sem juros
		
	

	
		",98,NA,Envio para todo o país,NA,NA,4.8,4,https://perfil.mercadolivre.com.br/BENPICSCAPASDECELULAR,https://produto.mercadolivre.com.br/MLB-925200208-capinha-com-foto-personalizada-iphone-8-plus-_JM,3,1,0,0,0,#925200208,Apple,iPHone 8 Plus,Benpics,iPhone 8 Plus,Silicone,Silicone
14, Capinha Apple iPhone 8 Plus (consulte Cores) ,54,NA,"
			
				Novo
			
			
				
					 - 
				
				43
				vendidos
			
		",(3972 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 547
		
		 sem juros
		
	

	
		",47,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.7,3,https://perfil.mercadolivre.com.br/MAWE6672427,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=ZbFTF15uSf%2FkycORX%2FY6f4fvF09KYK%2BHfwMKuNTfx9v3S4jAUsraNgO3FzR99giBYokbRbOElHlQiMhQvfD%2FxcuSe3KSiT%2BreMLeYHV3r7MhqR%2FlfZG1Q7Z1BK7y%2FInMvsj7oDLW9ZsC%2BxEo64mGx6YHsekh6c7TJFjUx0Im6oaH%2Bu3wLPSHmxC5g5EchfxvUOO3aKRy6sBAN9z8siU2GEfhIp9QqCF5xqPNQJ4f1eYl7hZ9u9IEAg3vKnuUMbUFoqGS%2BtgFb4%2B7oGJKnginzBRC4yWVeWGBnIIPAHkLAocQTRPSV39N6YcoRelVDy1NyQGbN1CnQ6aLXrPuk%2F8S0NGdioGIwqOH0wxEf4OQzRNNbgiVVesa4S7uf0s8JY0469wq5suiUFkYs7q%2F8j%2FvfLoSFWxkBRNh%2FpOJrU%2FDL2BaBg1LJtA6dog2AAyOGenZKe2YghThDYy8pNSrFKd70KxFQcPGpgC7rzMVGGZkzx3dp5MXZoVzNP6dsh8Qidus1VtyIE6iP%2BqiP39oocS9lphzvxb2EuYSNVe5oCFTO6ZgH8Q2wOBnbI8AerPjyAwFI448hQNheEyUOwud8BRSWDIMwsntB2TBc3zKbMyTEoCUuyf7dkHJCfO8pyxyiYGoanedKkazmlgaxyveeOLeAkM0j2q9WOTbdUBf8aULOvFrs3IbuIGh%2BwnuziBSAve0FGt8yBYhuJR6aBbcVra8%2F8YgjWb2JrTW%2F6%2B1CiyeI6kBBZuLPad4fxfwNTPWOXHNSXSSPhPKp5VYk68HaFwXFrwSHtMN3BRwyQRIYzloov4TsVdY9Oh8KPIAvMl76Y065%2FP9EVl8mcz2s%2B6SfLamSujAx6VxFmkkbdTRmrqZnybJ0EXVrCyvoyyjT12VZOZC4sZdhmZ5Up6kIcus2ohVv%2BOq3fC%2B9oZqRetq4Y%2F%2BIyFmY5SGW4bHbDxpB2ucXX0ZeQsksOOd6uHCaUZ9cUA0upeoyMWCujmLew99LW6TCM39bxPyzTuHM%2FfcntULmfxFi3l7r4jYq8pDDBH7uCcbyUaU8GZQaWE%2B2%2FpRMpKpBlDu%2BOjNdtg94iRWrbEytbCnUQhvVG0Q%2Fq759AVEt3c64Gte70WmI3PbWJUWwdKQwAX5jUmnoBG1GqlAPE9bfjQ3ow1TM%2FNswtFP8CtD3MydOUxqBPaIcjJjGc%2F2lijG%2BWNH6f%2FbWggICkJy6tuYPXn2K5m4bjA6Yv0bm3mASs%2FkUsMc6CaIVaRlOOrQ6D%2BH7OkdJzMbnZdKqVJt7e5pMNyqi6PXZg1kYBztSTmPFuwnS6grBje3Cdw7IN2r6YypE%2F1sV2fh2LV2Iena%2B2kCWTnLVj%2BHIjFPUN1STdhOHJ6nYX%2BYTm8641gPn4xQi3EX4MF5ocRSy4VH%2FP6WxlU0cYKAF0y2geDLt27sgRdpquMUpy4p%2FcVmaOmtpWTRDa5iMOKGE6Jr%2BnJga3vzrAN0m0URIImEWFjTWLfRGOEFzuHdhZGvYbo%3D,2,0,0,0,1,#1241682514,Apple,Iphone,ZCX,Iphone,Capa magnetica,Vidro temperado
15, Capa Case Capinha Silicone Aveludado iPhone 8 Plus Branco ,29,NA,"
			
				Novo
			
			
				
					 - 
				
				51
				vendidos
			
		",(449 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 580
		
		 sem juros
		
	

	
		",80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/REI_CELULAR,https://produto.mercadolivre.com.br/MLB-1165536270-capa-case-capinha-silicone-aveludado-iphone-8-plus-branco-_JM,NA,NA,NA,NA,NA,#1165536270,Apple,Iphone 8 Plus,Apple,iPhone 8 Plus,Silicone,Silicone
16, Capinha Silicone Aveludado iPhone 8 Plus Rosa ,29,NA,"
			
				Novo
			
			
				
					 - 
				
				52
				vendidos
			
		",(448 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 580
		
		 sem juros
		
	

	
		",80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,2,https://perfil.mercadolivre.com.br/REI_CELULAR,https://produto.mercadolivre.com.br/MLB-1165536357-capinha-silicone-aveludado-iphone-8-plus-rosa-_JM,NA,NA,NA,NA,NA,#1165536357,Apple,Iphone 8 Plus,Apple,iPhone 8 Plus,Silicone,Silicone
17, Capinha Ultra Fina Fosca iPhone 6 6s Plus 7 Plus 8 Luxo Capa ,22,NA,"
			
				Novo
			
			
				
					 - 
				
				324
				vendidos
			
		",(114 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 572
		
		 sem juros
		
	

	
		",72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,4,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,https://produto.mercadolivre.com.br/MLB-1026034649-capinha-ultra-fina-fosca-iphone-6-6s-plus-7-plus-8-luxo-capa-_JM?searchVariation=23630275578,3,0,1,0,0,#1026034649,Apple,Iphone,Bumper,Silicone,Slim,Silicone
18, Capa Capinha Ultra Fina Fosca iPhone X 5s Se 6s Plus 7 8plus ,34,NA,"
			
				Novo
			
			
				
					 - 
				
				5548
				vendidos
			
		",(40401 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 583
		
		 sem juros
		
	

	
		",83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,496,https://perfil.mercadolivre.com.br/JKCAPAS,https://produto.mercadolivre.com.br/MLB-682539065-capa-capinha-ultra-fina-fosca-iphone-x-5s-se-6s-plus-7-8plus-_JM?searchVariation=22563854091,397,60,25,11,3,#682539065,Apple,IPHONE,JK CAPAS,ULTRA FINA,CAPA PROTETOR,TPU
19, Capa Capinha Magnetica Luxo iPhone 7 8 Plus X Xs Xr Xs Max ,54,NA,"
			
				Novo
			
			
				
					 - 
				
				308
				vendidos
			
		",(7591 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 550
		
		 sem juros
		
	

	
		",50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,10,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1213994623-capa-capinha-magnetica-luxo-iphone-7-8-plus-x-xs-xr-xs-max-_JM?searchVariation=38590025464,10,0,0,0,0,#1213994623,Apple,iphone,jk capas,Magnética,capa protetor,metal e vidro
20, Capinha Anti Queda Silicone iPhone X Xs Xr Max 6s 7 8 P ,39,NA,"
			
				Novo
			
			
				
					 - 
				
				4
				vendidos
			
		",(990 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 666
		
		 sem juros
		
	

	
		",66,NA,Chegará hoje,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/OLST2825962,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=wwp%2FbAlcg0H%2F3nbbxd7Gs4mGcAg1N4NNEiJnEtsQj5cU%2F5MZZKGYhqRhNWOXHxGex0QfHtuQ3YNc0KVob9RoQlm4%2FZBHPVPQ2qUvKeY55%2F%2BBBheo%2BW8w1sZagIiCTILL1kMT%2BxdmFtaLXvfFPwZp9E8SzmV3oztnvT7gX2oprmbAz9VpA%2BH5tfiuw3dFmyWTmaK8Vj1ObNlvlNkJ%2BfdfYNdvn8ZMGMkGyZRX7XuZFu%2FkCZof2Z2vJSpEb4KmB9t%2FTECa9UFC%2Bl%2FsgZFnal9p5YFh3ArCniybPN6JJV3gsVE90qNwYu1WIiUQo0nja2Yxc0trTLXLGTUJJwjWa95YWHOrYoiVP32FdkE9%2Bj%2Fh5tq4c3AZGp62AJ7btohsM4yYS%2FltmsIrZrJsoKxVoqhrIGk56QLMObSTms475PtuijH4S6wNguf%2B2u%2FxWUYvJLcu9pg59AI0Mjh9tyr9LS1dSkdR7Dy%2BF7OYJALspQb%2BAlRr7FL3ChKLeBZ1JMUE1sCVsMF6afwfC1Tb6MYApm9tcOg%2FX1dzBKJmCiXCOE3A9LW2GjkerOrGR4CmKn%2Bzv8i87hcO52Ib%2BV0VNdqaxkw5vc8IzvGArPjDBllGldun4JTvwim5M4Rbarb%2BEcC1xHl60hurzZQI1%2FFaoRTZHGXiTICtAJKu%2FP2cpr5u2bRhU1%2FwhpWW%2BZK1IokVg3ABJ0J1Xd2CjLwUY5cTLW7A6nGl4nXT1VpkqWiTkYHAoxoAunZvUuL0Efitc7LU6JVSCuLLRftEblGcGwMWmqIdRgQZNGjT9oOYcuE6N0MTv8IuGo3TayLAinCrgAHENRmGfZAI0i9VE8aeIawNJ9ZRCITVnZBihLu8MThNFmmCgAgIYE9C%2Fzd61KgaCOPPYV3dkLpaa6LRIl5tFFe3V5cZ8Df2TDuG395e649Lf8%2F6gOXv8z28KxDWld95XKNb6iY%2FzluYI5OlrS0ylj6ebZI1dnWI4HY6eCvGQzMpXWGTNR77fUpcOqJem6fEtCeUe4TrcUzu8vIgOW0IMwJwERHl3sET2YpJ%2BSptTo7YR72sKy6ZneK70DgwJ%2FwpxZzOT8ikVnNpDxnJQOH10S5XB8mFiXl4QwTscYL1zBvPkhqbwfXgu3N8EtRUb1rMxIf2pRBkUqFvH0YqAhTWa9fSo33U4I%2FpBjNBdMbS8HKYvpRj769dnanv8ghSyPbUaq2FVt6VWVwRIQKwmYjZFoQBQV5bdMZyuE5Fl3r2IqmPJop4ZvaTb9DAymsn%2Fneasa52M1Rwi5tOqXEZDk%2BvZWQCnIvsk7GOlJGnO2ZNXAjZLrBpNrYC2SSswfmGC4GGqM3yA%2F8CeOuQxZ%2BrNE6v%2FHOSkVp%2BmCcecpZavjQOESK8rKZ1CVRZYxE1NgKBgynOzbt82ACTWcvAePkWlHdH%2BnypcyLI4qeecen02%2Bdp8PejsduqWZx2eS0h44dNz7ywjL8BPeQi2c25DyzP,NA,NA,NA,NA,NA,#1270824212,Apple,7 Plus / 8 Plus,Apple,Silicone,Original,Silicone
21, Capinha Silicone Aveludado iPhone 8 Plus Amarelo ,29,NA,"
			
				Novo
			
			
				
					 - 
				
				48
				vendidos
			
		",(452 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 580
		
		 sem juros
		
	

	
		",80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/REI_CELULAR,https://produto.mercadolivre.com.br/MLB-1165536360-capinha-silicone-aveludado-iphone-8-plus-amarelo-_JM,NA,NA,NA,NA,NA,#1165536360,Apple,Iphone 8 Plus,Apple,iPhone 8 Plus,Silicone,Silicone
22, Capa Case Capinha Silicone Aveludado iPhone 8 Plus Preto ,29,NA,"
			
				Novo
			
			
				
					 - 
				
				27
				vendidos
			
		",(473 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 580
		
		 sem juros
		
	

	
		",80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/REI_CELULAR,https://produto.mercadolivre.com.br/MLB-1165542688-capa-case-capinha-silicone-aveludado-iphone-8-plus-preto-_JM,NA,NA,NA,NA,NA,#1165542688,Apple,Iphone 8 Plus,Apple,iPhone 8 Plus,Silicone,Silicone
23, Capinha Maxima Proteção 3 Em 1 iPhone 5_5s_se_6_7_8_plus ,34,NA,"
			
				Novo
			
			
				
					 - 
				
				110
				vendidos
			
		",(469 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 583
		
		 sem juros
		
	

	
		",83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/AJCAPA,https://produto.mercadolivre.com.br/MLB-1234100623-capinha-maxima-proteco-3-em-1-iphone-55sse678plus-_JM?searchVariation=37645886908,NA,NA,NA,NA,NA,#1234100623,Apple,Iphone 5_Se_6_6+_7_7+_8_8+,ADS,Capa Fina 3 em 1,Case cabido,TPU/Policarbonato
24, Capa Capinha Case Flip Magnética iPhone 8 Plus ,48,NA,"
			
				Novo
			
			
				
					 - 
				
				68
				vendidos
			
		",(840 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 811
		
		 sem juros
		
	

	
		",11,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/KARMINPARTS2003,https://produto.mercadolivre.com.br/MLB-1214046247-capa-capinha-case-flip-magnetica-iphone-8-plus-_JM?searchVariation=35503300510,NA,NA,NA,NA,NA,#1214046247,Apple,iPhone 8 Plus,000,Magnético,Flip Magnético,TPU/Policarbonato
25, Capinha Silicone Aveludado iPhone 8 Plus Azul Marinho ,29,NA,"
			
				Novo
			
			
				
					 - 
				
				15
				vendidos
			
		",(485 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 580
		
		 sem juros
		
	

	
		",80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/REI_CELULAR,https://produto.mercadolivre.com.br/MLB-1165542958-capinha-silicone-aveludado-iphone-8-plus-azul-marinho-_JM,NA,NA,NA,NA,NA,#1165542958,Apple,Iphone 8 Plus,Apple,iPhone 8 Plus,Silicone,Silicone
26, Capinha Supreme iPhone 7 8 E iPhone 7 8 Plus Fosca Case ,29,NA,"
			
				Novo
			
			
				
					 - 
				
				23
				vendidos
			
		",(40 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 654
		
		 sem juros
		
	

	
		",54,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/GMARTINS+IMPORTADOS,https://produto.mercadolivre.com.br/MLB-1005029517-capinha-supreme-iphone-7-8-e-iphone-7-8-plus-fosca-case-_JM?searchVariation=38414538960,NA,NA,NA,NA,NA,#1005029517,Apple,iPhone 7 e 8,Supreme,Supreme Fosca,Rigida,TPU/Policarbonato
27, Capinha Capa Case iPhone 4 5 6 6s 7 8 X Plus +pelicula Vidro ,15,NA,"
			
				Novo
			
			
				
					 - 
				
				1095
				vendidos
			
		",(14630 disponíveis),"
	
		
			
		
		3x 
		
			
				R$ 533
		
		 sem juros
		
	

	
		",33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,40,https://perfil.mercadolivre.com.br/UNICOFAST,https://produto.mercadolivre.com.br/MLB-835682036-capinha-capa-case-iphone-4-5-6-6s-7-8-x-plus-pelicula-vidro-_JM?searchVariation=22841688614,35,2,2,1,0,#835682036,Apple,Iphone,Unico Fast,Silicone,Silicone,Silicone
