search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Marca,Modelo
1, Estuche Funda Forro Silicone Case Cerrado iPhone 7/8 Plus ,24.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(25 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.075
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/GHORA+ACCESORIOS,https://articulo.mercadolibre.com.co/MCO-511153238-estuche-funda-forro-silicone-case-cerrado-iphone-78-plus-_JM,NA,NA,NA,NA,NA,#511153238,NA,NA,NA
2, Carcasa Funda Estuche iPhone ,19.999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				84
				vendidos
			
		",(13 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.667
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,5.0,5,https://perfil.mercadolibre.com.co/MLOKEDO,https://articulo.mercadolibre.com.co/MCO-494589405-carcasa-funda-estuche-iphone-_JM?searchVariation=34800570882,5,0,0,0,0,#494589405,NA,NA,NA
3," Funda Espejo Iphone6/6 Plus 7/8 7 / 8 Plus, X Mickey Mouse ",30.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				36
				vendidos
			
		",(13 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.500
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,5.0,1,https://perfil.mercadolibre.com.co/BACKUPSTORECOL,https://articulo.mercadolibre.com.co/MCO-464139929-funda-espejo-iphone66-plus-78-7-8-plus-x-mickey-mouse-_JM,NA,NA,NA,NA,NA,#464139929,NA,NA,NA
4," Funda Magnetica iPhone X; Xs Max, Xr, 7/8 Plus, 6/ 6 Plus ",35.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				50
				vendidos
			
		",(23 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.917
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/BACKUPSTORECOL,https://articulo.mercadolibre.com.co/MCO-488553124-funda-magnetica-iphone-x-xs-max-xr-78-plus-6-6-plus-_JM,NA,NA,NA,NA,NA,#488553124,NA,NA,NA
5, Carcasa Para iPhone Funda Estuche Hermosos Diseños ,18.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.500
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TRENDYNOVEDADES,https://articulo.mercadolibre.com.co/MCO-510007912-carcasa-para-iphone-funda-estuche-hermosos-disenos-_JM?searchVariation=35530236310,NA,NA,NA,NA,NA,#510007912,iPhone,NA,NA
6, ¡ Funda Cargador Power Case Ifans iPhone 6plus 6sp 7p 8plus! ,99.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.775
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/APRECIOSDEREMATE,https://articulo.mercadolibre.com.co/MCO-486778350--funda-cargador-power-case-ifans-iphone-6plus-6sp-7p-8plus-_JM,NA,NA,NA,NA,NA,#486778350,NA,NA,NA
7, Forro Estuche Funda Case iPhone 10 X Xr Xs Xs Max 8 8 Plus ,15.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				168
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.250
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.8,15,https://perfil.mercadolibre.com.co/IMM_COLOMBIA,https://articulo.mercadolibre.com.co/MCO-453886277-forro-estuche-funda-case-iphone-10-x-xr-xs-xs-max-8-8-plus-_JM,12,3,0,0,0,#453886277,NA,NA,NA
8, Funda Silicon Case iPhone 7/8 Plus Agujero Ultrafino Sellado ,22.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.833
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/OLOGHY,https://articulo.mercadolibre.com.co/MCO-509776657-funda-silicon-case-iphone-78-plus-agujero-ultrafino-sellado-_JM,NA,NA,NA,NA,NA,#509776657,NA,NA,NA
9, Estuche iPhone 7 8 Plus Funda D Cristal Templado Cierre Imán ,42.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(9 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.167
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TEKNINN,https://articulo.mercadolibre.com.co/MCO-502290288-estuche-iphone-7-8-plus-funda-d-cristal-templado-cierre-iman-_JM,NA,NA,NA,NA,NA,#502290288,NA,NA,NA
10, iPhone 8 Plus Kit Protector Funda Delgada + Vidrio Templado ,48.900,80.000,"
			
				Nuevo
			
			
				
					 - 
				
				24
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.358
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.2,6,https://perfil.mercadolibre.com.co/TIENDANOSTRA.COM,https://articulo.mercadolibre.com.co/MCO-458321230-iphone-8-plus-kit-protector-funda-delgada-vidrio-templado-_JM,4,1,0,0,1,#458321230,NA,NA,NA
11, Funda Silicona Para iPhone 7 Plus/8 Plus ,18.000,NA,"
			
				Nuevo
			
			
		",(8 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.500
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/URBAN+TECHNO,https://articulo.mercadolibre.com.co/MCO-504849800-funda-silicona-para-iphone-7-plus8-plus-_JM,NA,NA,NA,NA,NA,#504849800,NA,NA,NA
12," Funda 360 iPhone X, 6, 6 Plus, 7, 7 Plus, 8, 8 Plus + Vidrio ",32.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				23
				vendidos
			
		",(77 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.667
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.5,2,https://perfil.mercadolibre.com.co/WEBCASTERSHOP,https://articulo.mercadolibre.com.co/MCO-452428438-funda-360-iphone-x-6-6-plus-7-7-plus-8-8-plus-vidrio-_JM,NA,NA,NA,NA,NA,#452428438,NA,NA,NA
13, Carcasa Funda Estuche iPhone ,19.999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.667
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MLOKEDO,https://articulo.mercadolibre.com.co/MCO-517962345-carcasa-funda-estuche-iphone-_JM?searchVariation=40002255578,NA,NA,NA,NA,NA,#517962345,iPhone,NA,NA
