value,units_of_time_operating,units_timeframe_of_amt_sold,shipping,free_return,free_return_info
1,años,años,Envío,Devolución gratis,Tenés 30 días desde que lo recibís
2,meses,meses,Envío gratis,,
3,días,días,Llega mañana,,
4,,,Llega gratis mañana,,
5,,,Envío gratis a todo el país,,
6,,,Envío a todo el país,,
7,,,Retiro gratis en local de Frávega,,
8,,,Retiro gratis en local de Garbarino,,
9,,,Retiro gratis en local de Ribeiro,,
10,,,Entrega a acordar con el vendedor,,
11,,,Chegará grátis hoje,,
12,,,Llega hoy,,
