search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Peso,Tipos de filtros del parlante,Conectores de entrada,Altura
11, Ld Systems Maui5 - Line Array Audio Portatil Activo Parlante ,439.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(10 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 36.583
			
		
		 sin interés
		
	

	
		","
				$ 36.583
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/XPRO.STORE,https://articulo.mercadolibre.cl/MLC-449031045-ld-systems-maui5-line-array-audio-portatil-activo-parlante-_JM,NA,NA,NA,NA,NA,#449031045,LD Systems,MAUI 5,NA,NA,NA,NA,NA
12, Micrófono Karaoke Bluetooth Con Parlantes Inalámbrico Usb ,5.990,6.990,"
			
				Nuevo
			
			
				
					 - 
				
				167
				vendidos
			
		",(133 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 499
			
		
		 sin interés
		
	

	
		","
				$ 499
			",NA,Envío a todo el país,NA,NA,3.0,2,https://perfil.mercadolibre.cl/HDFACTORY,https://articulo.mercadolibre.cl/MLC-457050245-microfono-karaoke-bluetooth-con-parlantes-inalambrico-usb-_JM,NA,NA,NA,NA,NA,#457050245,NA,NA,NA,NA,NA,NA,NA
13, Parlante Bluetooth Karaoke Mlab 60w 8 + 2 Microfonos ,39.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				205
				vendidos
			
		",(36 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 6.665
			
		
		 sin interés
		
	

	
		","
				$ 6.665
			",NA,Envío gratis a todo el país,NA,NA,4.9,13,https://perfil.mercadolibre.cl/MMSMIKE1,https://articulo.mercadolibre.cl/MLC-465278552-parlante-bluetooth-karaoke-mlab-60w-8-2-microfonos-_JM,12,1,0,0,0,#465278552,MLAB,7806,60 W,5.8 kg,NA,NA,NA
14, Parlante Bluetooth Harman Kardon Onyx Studio 4 Onlineclub ,99.990,129.990,"
			
				Nuevo
			
			
				
					 - 
				
				351
				vendidos
			
		",(8 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 16.665
			
		
		 sin interés
		
	

	
		","
				$ 16.665
			",NA,Envío gratis a todo el país,NA,NA,4.9,47,https://perfil.mercadolibre.cl/ONLINECLUB,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=zc4UMQHMCTW%2BScgjgLeQFBIZHfR3w%2B%2BSGOMugfh%2FLMnNSosNBAbl7wEdXm2LF686A8jnRjQLVIKKdc4B5YezSZQYHpJrGuVqBG1%2FMxGMzlEUfBxlQms5De6OxJ8V2SW1DMxq1EOPZyycviPXwMGGxoYCVanolyXWBPZ6mMkHn2tgIHuZLzT8%2BxssnLx40ryedGLp2jAP1vF%2FtAB3zbpv6XVpMsrswWnQV0%2BT1cN8dGjzDPSc%2BudaKZMFJ%2BxKl44TW6IyDyRzGrfJxO%2Ba3bXSjhM4fYxOWBWGR1k2i8kBwhuNS8xU2APyB3BQKSWDJr833%2B8m37m2VfnIJh2Nxpm%2BYdG06cSfF8h%2FfgeYAewIOtx3S29HBXqylneYzbLJ8o%2Boviu10W%2BvAE619SaGczkgYuwbU08GrF7hmPDqNLMzSxu860FtqKieaR%2F2zoaSP5kSPM2XsRKgPeguj51P3TIvnpw5kZVWV%2BnnYe7By1eETAMqOzN9XEid7vCpWnBgb7H8u13qdsbiuzqVDsWxCq%2BPi29WXRtVoBJJN8%2BMBM2wrtjmXCVfFhTDXEm%2BwE4R4nDoeJiGT9CVL3LMw%2BzSGOuXzaxl5hi33Ps%2FJL%2BwYJqOGQsGldM0LrOh2uD%2FrZoI81aSY%2FLxDeu3oswU1tOIByY6zxGFtpDqemm3zDNIX%2BIvXLxLmbnD9Lf7lzZmkspEHEE1NpxDxnxfEvR8QhSqDT4X1fW7FqP%2BGYD2zeV2nG9MYj0BghparBIQCFNw3uHWWY1yyQOhPnt2p5aG88R3Y4st6DUgYUmi2z1o4lM0fKPKL%2Fax1fPVAWnTwjvKQrB5zgFj3Uwk%2FZpINeOS9R5biBwptIVzu5RMTNwy10DsxgoPy%2BdKfMliuLq61is0KhIZtcAAPFVKPlgPI03z3WpZPXmI8ieOI83ffhBM%2BNeGoktoT5Bb4CpuD%2BIUSR5a7xipetsHNp69YYBUqidBJHjq5uRi9vB2s7XeKa2qpoOJGyySK3qmmNln8pFRJ8Dq0%2Bjd%2BYVOk1tGt5lGpYWdZbSjxXmptwvytbZqRvbc5TCw51gMUfwTduqcZ6Qy6yKRGnfhZGE9ruiIkzJvBp2su2Y8%2FE4S4ilC1r8BXM7vQ68EuvGrlJGcM7%2BQs2%2BdfU9%2BPHaa86SRgonlgnu8KG47sO3aLB%2Fuh0exqOtHMJWFUPMJi3%2BPlCDcE%2FQxacC2tnE1Ta230dzM72QtsFEMZPBAlyXSNXMF6q3F85FtgNcUPXI%2F2hOKPj3j0KOE9CbZPaDu0vDOy3daZKZuaKJGXdmsKmVfhv6GnfAXJKNeQETrytO8mk0PP7Gy8Mza6q9H68cyHxpOfhRJoI78VhNacsvOcTWybocYYoz%2FTXsmFJWnkhctXbMxuYYrnNwNMX9ysNuSACUJfrhaJE2ENI3cF%2BbeRI0HCepC%2BpBdn1ic0pR3IKqAhon9PCjelI1G72d1K2o4z8nsmAGGjd596PIRp%2FOfs02iBDexJnuZFa4pZ4LisNYLMGVcDnCyUeqhA6QPisTXDWqp8q8J31TlN%2BriKH0Si96Kb4AhbCJBD%2BS95P20s4MAHfVN,44,1,1,0,0,#448975270,Harman Kardon,Onyx Studio 4,60 W,NA,Activo,NA,NA
15, Mlab Parlante Karaoke Bluetooth Funky Disco + Micrófono ,29.990,34.990,"
			
			
				
				59
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.998
			
		
		 sin interés
		
	

	
		","
				$ 4.998
			",NA,Envío gratis a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-484827689-mlab-parlante-karaoke-bluetooth-funky-disco-microfono-_JM,NA,NA,NA,NA,NA,#484827689,Mlab,Funky Disco + Micrófono,3000 W,NA,No aplica,NA,NA
16, Parlante Bluetooth Inalambrico Impermeable Ducha Agua ,3.990,4.990,"
			
				Nuevo
			
			
				
					 - 
				
				675
				vendidos
			
		",(318 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 665
			
		
		 sin interés
		
	

	
		","
				$ 665
			",NA,Envío a todo el país,NA,NA,4.3,7,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-434759217-parlante-bluetooth-inalambrico-impermeable-ducha-agua-_JM,4,1,2,0,0,#434759217,NA,NA,NA,NA,NA,NA,NA
17, Parlante Bluetooth Bose Soundtouch 30 ,375.990,465.990,"
			
			
				
				19
				vendidos
			
		",(10 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 62.665
			
		
		 sin interés
		
	

	
		","
				$ 62.665
			",NA,Envío gratis a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-472184462-parlante-bluetooth-bose-soundtouch-30-_JM,NA,NA,NA,NA,NA,#472184462,Bose,Parlante Bluetooth Bose Soundtouch 30,NA,NA,NA,Auxiliar,NA
18," Parlante Karaoke Bluetooth Fiddler Altavoz 6,5'' Panel Led ",19.990,29.990,"
			
			
				
				262
				vendidos
			
		",(9 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.332
			
		
		 sin interés
		
	

	
		","
				$ 3.332
			",NA,Envío gratis a todo el país,NA,NA,4.4,12,https://perfil.mercadolibre.cl/MACROTEL+TO?brandId=335,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=YpNiq5E832Hul%2Fm7R0Jx84SjWuUo8%2F0Sp3sDHXHUcX0%2FPxh%2Fy0UUQwlEqKQpVfY0rdRLcwHtPlqF89Wq2kuaodNbCImmB1U%2FXu1FN8Vqyhe9bx84rfd0bjQClG0%2BmeZkgiN4hbubfnMMkei9B%2BJ194B2yu6ZW%2Fr3metHEF%2FP%2Bb8cLJrvTtS06HqbEy06YcPWu9vE%2F0ZfDpcpo6%2FN9cY%2B3UI986%2Bem9cROGH4L6IyLKi00w140Jl8H3a0pPxYmlq5TkdTTos4%2BCT3LkhzZzGbb8NVxTkwsu8wqji%2FU3b1OCnDpfLxCftb3PQA%2FLY%2BMzb42kiChe%2FvtNr9cN3JLYl7zBhR%2BfMPNY2fhluDZ9mx0Hsu0rbHJDOhAHWLzMhMIoAkcvnF0ZFTUBvlyicDpkTCztv%2F7N4irXlHzNce37kteAhkigF1QaBrz8SEOQVP7kmE1aRkvjNFaSxWeAWeDmHTypOztU2XjF0mxsp0WzAYagWvsPEEnV2KWRsxl58%2Fb9BoZwDmI9TXEbGbkrex0tEgLUyfjN3QWPOfj%2BgE%2BsXrBd5kiwgxQOw9xpAkYjmsA9pLYIzpyKzuSNTvufxIU2KLDgefJ9mMMhYDhkOiCcIU%2FDWPyfJ3XPtJ0NJofPCVokeo%2FA5lk31TcFLGzZOAnVCulgLEYHERXTgzxgVLXyUUQLzwOSPFKKq8eVjtVZxFWZoKnZjEAor%2BJXvJ1HEv1mHNFoAt361bf0BvqTcaXBS8w4PPObspA9Xi4o5QuWoohRUuj8hPcQa2ChGlkBjO%2Bthnhb49PDCQqe%2Bw7hgSbSEuENh%2FXKeCpRtfTwpdNVoX4T60l5MoZsPJDRbTLwNG6Xes%2BRh%2FxiwYgSJPYXpTtamPoldxSNPgzwu%2B0RYqM28LLgOLEbs2Yy6237SP8nieaTYYyQm%2BAGd0PM5sO4uQs3UI4pLORLzgf06%2BhfdfqK%2FxywTVncYeIkBRE1qIdsRItj98cqqC5UBgCWl1Oz2eUDwd%2FfyOCa10hMqAjQwzfIrcZyWGCawlW4aGNPG44yujkovImXhiDS%2BmSQ9EB%2B9oEgVJ%2BpeIyUvc97ZJNXyRDtOK0xbTDjA1eYhxxi6W%2BDV6XYxJLQCz8ZHhgjJQbOdGbuRylLQ8jFDr%2FqLD7rS4JiHWXKg6Oq1wIVTkPvOqjpomJ1mMQHhFnsCO0DD549cVC2x6lYDmuL%2BgSfzALD89vHWJWmJiKNYcpSVNPmPZh2rgHwhlveyyid0%2B1dTJ5K%2BRJLF%2BDQdsMAW1d8235tzIiq1K%2BHObM3HevkZCJWedfgHeTX1BiSTfbglnFFNeCUWuaHANVMMKKi2cXJa6tIpK%2Bas1A8kN0vQMKdk9DInW2G7OKGuN4DEpGDI3rK%2BJ%2FhsCyWxu7hLHQll7bVdQxkpmai2NVd9tgwnXIzFIapv9wrddC5zlr%2B6FPudtH2aVuxvPRotsXg9o%2BuW4BfZ6t4%2FpeZWqXaUHYCD3f3aOO6O7qm6353e0qUnjlMoPToHwx2CQHroFrSvJkxA9xVbePVhjU9i%2FlIDC%2BIcCI24UPE%2BITMfH3HF3lg5TYxpj1xC1BY9kag%3D%3D,8,3,0,0,1,#462984847,Fiddler,FD-PKBT61,10 W,2.8 kg,NA,NA,NA
19, Parlante Bluetooth Soundcore Motion Q ,31.990,49.990,"
			
			
				
				104
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 5.332
			
		
		 sin interés
		
	

	
		","
				$ 5.332
			",NA,Envío gratis a todo el país,NA,NA,5.0,7,https://perfil.mercadolibre.cl/ANKERSTORE?brandId=188,https://articulo.mercadolibre.cl/MLC-467409330-parlante-bluetooth-soundcore-motion-q-_JM,7,0,0,0,0,#467409330,Anker,NA,NA,NA,NA,Auxiliar,NA
20, Parlante Bluetooth Outdoor Powerbass3 10w Ipx6 Njoytech ,19.990,24.990,"
			
				Nuevo
			
			
				
					 - 
				
				111
				vendidos
			
		",(89 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.666
			
		
		 sin interés
		
	

	
		","
				$ 1.666
			",NA,Envío gratis a todo el país,NA,NA,4.6,7,https://perfil.mercadolibre.cl/NJOYTECH+CHILE,https://articulo.mercadolibre.cl/MLC-464586508-parlante-bluetooth-outdoor-powerbass3-10w-ipx6-njoytech-_JM,5,1,1,0,0,#464586508,NA,NA,10 W,287 g,NA,NA,NA
21, Parlante Bose S1 Pro ,529.990,NA,"
			
			
				
				10
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 88.332
			
		
		 sin interés
		
	

	
		","
				$ 88.332
			",NA,Envío gratis a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-475923195-parlante-bose-s1-pro-_JM,NA,NA,NA,NA,NA,#475923195,Bose,Parlante Bose S1 Pro,NA,NA,Activo,NA,NA
22, Parlante Soundbar Master-g Bluetooth Mgsb110 - Prophone ,14.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				41
				vendidos
			
		",(899 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.498
			
		
		 sin interés
		
	

	
		","
				$ 2.498
			",NA,Envío a todo el país,NA,NA,2.0,3,https://perfil.mercadolibre.cl/PROPHONELTDA,https://articulo.mercadolibre.cl/MLC-460126097-parlante-soundbar-master-g-bluetooth-mgsb110-prophone-_JM,0,1,0,0,2,#460126097,Master-G,Soundbar MGSB110,NA,NA,NA,NA,NA
23, Jbl Flip 4 Negro Parlante Portátil Bluetooth Inalámbrico ,64.990,79.990,"
			
			
				
				29
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 10.832
			
		
		 sin interés
		
	

	
		","
				$ 10.832
			",NA,Envío gratis a todo el país,NA,NA,4.8,31,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-469200539-jbl-flip-4-negro-parlante-portatil-bluetooth-inalambrico-_JM,28,2,0,0,1,#469200539,JBL,JBL Flip 4,8 W,515 g,No aplica,NA,NA
24, Parlante Portátil Bluetooth Bose Soundlink Revolve ,199.990,NA,"
			
			
				
				41
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 33.332
			
		
		 sin interés
		
	

	
		","
				$ 33.332
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-471014399-parlante-portatil-bluetooth-bose-soundlink-revolve-_JM,NA,NA,NA,NA,NA,#471014399,Bose,Parlante Portátil Bluetooth Bose Soundlink Revolve,NA,NA,Activo,Auxiliar,NA
25, Amazon Echo Dot 3 Parlante Inteligente Alexa Español ,34.990,64.990,"
			
				Nuevo
			
			
				
					 - 
				
				45
				vendidos
			
		",(13 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 5.832
			
		
		 sin interés
		
	

	
		","
				$ 5.832
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MR.CLICK+CHILE,https://articulo.mercadolibre.cl/MLC-484950082-amazon-echo-dot-3-parlante-inteligente-alexa-espanol-_JM,NA,NA,NA,NA,NA,#484950082,Amazon,NA,NA,NA,NA,NA,NA
26, Parlante Harman Kardon Aura Studio 2 Sistema De Altavoces ,129.990,249.990,"
			
				Nuevo
			
			
				
					 - 
				
				57
				vendidos
			
		",(11 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 21.665
			
		
		 sin interés
		
	

	
		","
				$ 21.665
			",NA,Envío gratis a todo el país,NA,NA,5.0,3,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-451893220-parlante-harman-kardon-aura-studio-2-sistema-de-altavoces-_JM,2,0,0,0,0,#451893220,Harman Kardon,Aura Studio 2,NA,NA,Activo,NA,"1.5 """
27, Parlante Karaoke Portátil Bluetooth Master G + Micrófono ,29.990,39.990,"
			
			
				
				154
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.998
			
		
		 sin interés
		
	

	
		","
				$ 4.998
			",NA,Envío gratis a todo el país,NA,NA,3.0,2,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=278,https://articulo.mercadolibre.cl/MLC-472376689-parlante-karaoke-portatil-bluetooth-master-g-microfono-_JM,NA,NA,NA,NA,NA,#472376689,Master-G,Parlante Karaoke Portátil Bluetooth Master G + Micrófono,20 W,3.13 kg,Activo,Auxiliar,52 cm
28, Jbl Flip 4 Gris Parlante Portátil Bluetooth Inalámbrico ,59.990,79.990,"
			
			
				
				20
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 9.998
			
		
		 sin interés
		
	

	
		","
				$ 9.998
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-492270992-jbl-flip-4-gris-parlante-portatil-bluetooth-inalambrico-_JM,NA,NA,NA,NA,NA,#492270992,JBL,JBL Flip 4 Gris Parlante Bluetooth Waterproof,16 W,515 g,No aplica,NA,NA
29, Pendrive Receptor Transmisor Bluetooth Usb Parlantes Auto ,3.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1230
				vendidos
			
		",(73 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 665
			
		
		 sin interés
		
	

	
		","
				$ 665
			",NA,Envío a todo el país,NA,NA,3.5,50,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-435146526-pendrive-receptor-transmisor-bluetooth-usb-parlantes-auto-_JM,24,6,3,6,11,#435146526,Importado,Pendrive,NA,NA,NA,NA,NA
30, Parlante Caja Acústica 15 Eon615 Jbl - Envío Gratis ,320.000,400.000,"
			
				Nuevo
			
			
				
					 - 
				
				12
				vendidos
			
		","
		
			¡Último disponible!
		
	","
	
		
			
		
		6 cuotas de
		
			
				$ 53.333
			
		
		 sin interés
		
	

	
		","
				$ 53.333
			",NA,Envío gratis a todo el país,NA,NA,5.0,3,https://perfil.mercadolibre.cl/ARTECNOINSTRUMENTOS,https://articulo.mercadolibre.cl/MLC-487386671-parlante-caja-acustica-15-eon615-jbl-envio-gratis-_JM,3,0,0,0,0,#487386671,JBL,EON615,NA,NA,NA,NA,NA
31, Parlante Bluetooth Bose Soundtouch 10 ,149.990,189.990,"
			
			
				
				27
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 24.998
			
		
		 sin interés
		
	

	
		","
				$ 24.998
			",NA,Envío gratis a todo el país,NA,NA,0.0,1,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-472177219-parlante-bluetooth-bose-soundtouch-10-_JM,NA,NA,NA,NA,NA,#472177219,Bose,Parlante Bluetooth Bose Soundtouch 10,NA,NA,Activo,Auxiliar,NA
32, Parlante Soundbar Irt Bluetooth 24w Rms Nuevo Envío Gratis ,24.990,29.990,"
			
				Nuevo
			
			
				
					 - 
				
				35
				vendidos
			
		","
		
			¡Último disponible!
		
	","
	
		
			
		
		6 cuotas de
		
			
				$ 4.165
			
		
		 sin interés
		
	

	
		","
				$ 4.165
			",NA,Envío gratis a todo el país,NA,NA,5.0,3,https://perfil.mercadolibre.cl/TECNOBEST+CHILE,https://articulo.mercadolibre.cl/MLC-453169030-parlante-soundbar-irt-bluetooth-24w-rms-nuevo-envio-gratis-_JM,3,0,0,0,0,#453169030,NA,NA,NA,NA,NA,NA,NA
33, Sony Parlante Portátil Extra Bass Con Bluetooth Xb41 Azul ,129.990,149.990,"
			
			
				
				104
				vendidos
			
		",(9 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 21.665
			
		
		 sin interés
		
	

	
		","
				$ 21.665
			",NA,Envío gratis a todo el país,NA,NA,5.0,6,https://perfil.mercadolibre.cl/-SONY+CHILE?brandId=32,https://articulo.mercadolibre.cl/MLC-463377316-sony-parlante-portatil-extra-bass-con-bluetooth-xb41-azul-_JM,6,0,0,0,0,#463377316,Sony,NA,NA,1500 g,NA,USB,"1 """
34, Parlante Jbl Go 2 Bluetooth Portatil Colores Mrclick ,21.990,28.990,"
			
				Nuevo
			
			
				
					 - 
				
				40
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.665
			
		
		 sin interés
		
	

	
		","
				$ 3.665
			",NA,Envío gratis a todo el país,NA,NA,4.8,46,https://perfil.mercadolibre.cl/MR.CLICK+CHILE,https://articulo.mercadolibre.cl/MLC-477584772-parlante-jbl-go-2-bluetooth-portatil-colores-mrclick-_JM,39,6,0,1,0,#477584772,JBL,GO 2,3 W,184 g,Activo,NA,NA
