search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Formato,Color
1, Audífonos Sony Bluetooth Y Función Manos Libres - Wh-ch500 ,159.900,229.900,"
			
			
				
				169
				vendidos
			
		",(19 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 4.442
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.6,37,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,https://articulo.mercadolibre.com.co/MCO-474486245-audifonos-sony-bluetooth-y-funcion-manos-libres-wh-ch500-_JM,26,9,2,0,0,#474486245,Sony,MDR,WH-CH500,Headset,NA
2, Audífonos Bluetooth Deportivos R1 Micrófono 5 Horas Potente ,24.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1251
				vendidos
			
		",(939 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.075
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.3,54,https://perfil.mercadolibre.com.co/BLUEKATOOM,https://articulo.mercadolibre.com.co/MCO-488593898-audifonos-bluetooth-deportivos-r1-microfono-5-horas-potente-_JM,32,11,6,3,2,#488593898,BlueKatoom,NA,R1,In-ear,NA
3, Audifonos Touch Bluetooth Auriculares Inalambricos Manos Lib ,118.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				604
				vendidos
			
		",(223 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 9.916
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.4,34,https://perfil.mercadolibre.com.co/KZCOLOMBIA,https://articulo.mercadolibre.com.co/MCO-479127462-audifonos-touch-bluetooth-auriculares-inalambricos-manos-lib-_JM,22,8,2,1,1,#479127462,NA,NA,NA,NA,NA
4, Audífonos Bluetooth Xiaomi Redmi Airdots + Cable Y Estuche ,129.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				476
				vendidos
			
		",(28 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.583
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,46,https://perfil.mercadolibre.com.co/CRONOSELECTRONICA,https://articulo.mercadolibre.com.co/MCO-513799922-audifonos-bluetooth-xiaomi-redmi-airdots-cable-y-estuche-_JM,37,7,1,1,0,#513799922,NA,NA,NA,NA,NA
5, Xiaomi Redmi Airdots Audífonos Bluetooth Originales ,101.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				367
				vendidos
			
		",(699 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.831
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,34,https://perfil.mercadolibre.com.co/CASESHOPCOLOMBIA,https://articulo.mercadolibre.com.co/MCO-523095422-xiaomi-redmi-airdots-audifonos-bluetooth-originales-_JM,25,8,1,0,0,#523095422,Xiaomi,Mi,AirDots,In-ear,NA
6, Mini Audífono Inalambrico Bluetooth + Obsequio ,14.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				710
				vendidos
			
		",(30 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 389
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.3,9,https://perfil.mercadolibre.com.co/COMUNICACIONESID,https://articulo.mercadolibre.com.co/MCO-495064791-mini-audifono-inalambrico-bluetooth-obsequio-_JM,6,1,1,1,0,#495064791,NA,NA,NA,NA,Negro
7, Audífonos Bluetooth Inalámbricos ,45.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				400
				vendidos
			
		",(211 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 3.750
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,3.2,17,https://perfil.mercadolibre.com.co/BELLAYVITAL,https://articulo.mercadolibre.com.co/MCO-488555518-audifonos-bluetooth-inalambricos-_JM,6,3,2,1,5,#488555518,NA,NA,NA,NA,NA
8, Audífonos Xiaomi Redmi Airdots Bluetooth 100% Originales ,100.500,NA,"
			
				Nuevo
			
			
				
					 - 
				
				225
				vendidos
			
		",(48 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.792
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,5.0,8,https://perfil.mercadolibre.com.co/PROVEEDOR123,https://articulo.mercadolibre.com.co/MCO-522280654-audifonos-xiaomi-redmi-airdots-bluetooth-100-originales-_JM,8,0,0,0,0,#522280654,NA,NA,NA,NA,NA
9, Audifonos Dobles Inalámbricos Bluetooth iPhone Tipo AirPods ,59.999,99.999,"
			
				Nuevo
			
			
				
					 - 
				
				603
				vendidos
			
		",(46 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 5.000
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,3.8,19,https://perfil.mercadolibre.com.co/SIJ+DISTRIBUCIONES,https://articulo.mercadolibre.com.co/MCO-470273419-audifonos-dobles-inalambricos-bluetooth-iphone-tipo-airpods-_JM,9,4,2,2,2,#470273419,NA,NA,NA,NA,Negro
10, Audifonos Bluetooth Inalambricos Magneticos + Estuche ,21.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				673
				vendidos
			
		",(49 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 583
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.3,21,https://perfil.mercadolibre.com.co/GANGAD1G1TAL,https://articulo.mercadolibre.com.co/MCO-502127141-audifonos-bluetooth-inalambricos-magneticos-estuche-_JM,12,4,5,0,0,#502127141,NA,NA,NA,NA,NA
