search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Linha,Modelo,Formato,Modelo alfanumérico
1, Fone De Ouvido Bluetooth Xiaomi Redmi Airdots ,114,NA,"
			
			
				
				11137
				vendidos
			
		",(839 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 954
		
		 sem juros
		
	

	
		",54,NA,NA,NA,NA,4.8,906,https://perfil.mercadolivre.com.br/LOYALMALLBR?brandId=2069,https://produto.mercadolivre.com.br/MLB-1218445107-fone-de-ouvido-bluetooth-xiaomi-redmi-airdots-_JM,753,111,25,3,14,#1218445107,Xiaomi,Mi,Redmi  Airdots,In-ear,NA
2, Fones De Ouvido Sem Fio Bluetooth I7s Tws ,31,NA,"
			
			
				
				4626
				vendidos
			
		",(42 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 533
		
		 sem juros
		
	

	
		",33,NA,Envio para todo o país,NA,NA,3.4,98,https://perfil.mercadolivre.com.br/OLIST?brandId=866,https://produto.mercadolivre.com.br/MLB-1132266958-fones-de-ouvido-sem-fio-bluetooth-i7s-tws-_JM,36,21,10,8,23,#1132266958,AQ Shopping,NA,NA,NA,NA
3, Fone De Ouvido Edifier W800bt Bluetooth - Nota Fiscal E Gtia ,250,NA,"
			
				Novo
			
			
				
					 - 
				
				1881
				vendidos
			
		",(95 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2083
		
		 sem juros
		
	

	
		",83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,1045,https://perfil.mercadolivre.com.br/RCKAUDIO,https://produto.mercadolivre.com.br/MLB-1054567240-fone-de-ouvido-edifier-w800bt-bluetooth-nota-fiscal-e-gtia-_JM,879,131,29,3,3,#1054567240,Edifier,W,W800BT,Over-ear,NA
4, Headphone Bluetooth Fone De Ouvido Usb Micro Sd Rádio Fm B01 ,45,NA,"
			
				Novo
			
			
				
					 - 
				
				4757
				vendidos
			
		",(7 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 849
		
		 sem juros
		
	

	
		",49,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,255,https://perfil.mercadolivre.com.br/123+COMPROU,https://produto.mercadolivre.com.br/MLB-751234756-headphone-bluetooth-fone-de-ouvido-usb-micro-sd-radio-fm-b01-_JM,157,52,21,12,13,#751234756,Importado,NA,Headphone,Headset,NA
5, Fone Ouvido Sem Fio Bluetooth 4.1 Celular Micro Sd Fm P2 Mp3 ,36,NA,"
			
				Novo
			
			
				
					 - 
				
				4616
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 684
		
		 sem juros
		
	

	
		",84,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,299,https://perfil.mercadolivre.com.br/TROPARDI+ELETRO,https://produto.mercadolivre.com.br/MLB-1183090499-fone-ouvido-sem-fio-bluetooth-41-celular-micro-sd-fm-p2-mp3-_JM,268,18,8,1,4,#1183090499,NA,Bluetooth,B-05,Over-ear,B-05
6, Fone Ouvido Sem Fio Bluetooth Chamadas Sd Fm Mp3 Usb Aux P2 ,33,NA,"
			
				Novo
			
			
				
					 - 
				
				3923
				vendidos
			
		",(748 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 629
		
		 sem juros
		
	

	
		",29,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,241,https://perfil.mercadolivre.com.br/MEGA+EXOPLANET.SHOP,https://produto.mercadolivre.com.br/MLB-1169782507-fone-ouvido-sem-fio-bluetooth-chamadas-sd-fm-mp3-usb-aux-p2-_JM,209,16,7,3,6,#1169782507,Goldenultra,Bluetooth,P.47,Over-ear,B05 Over-Ear
7, Mini Fone De Ouvido S530 V4.1 Sem Fio Bluetooth Universal ,21,NA,"
			
				Novo
			
			
				
					 - 
				
				24646
				vendidos
			
		",(3665 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 594
		
		 sem juros
		
	

	
		",94,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.8,837,https://perfil.mercadolivre.com.br/BETINHO+ELETRO,https://produto.mercadolivre.com.br/MLB-832062116-mini-fone-de-ouvido-s530-v41-sem-fio-bluetooth-universal-_JM,371,170,136,63,97,#832062116,Universal,NA,S530,NA,NA
8, Fones De Ouvido Xiaomi Redmi Airdots Bluetooth 5.0 No Brasil ,189,NA,"
			
				Novo
			
			
				
					 - 
				
				372
				vendidos
			
		",(48 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1816
		
		 sem juros
		
	

	
		",16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,906,https://perfil.mercadolivre.com.br/CRSPSHOP,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=TF5tmtnwbEm8KWiIbPJDmmvtCcljZQicMsmdBU1Ie%2BJNsCokNWgxUrXdh7cn8aN1lWtwJ%2BQVtBq6iZ6YOqFuJPYZrYZw0J3oNDJtpiEjjDmPnYNXJNE9R1LIvY%2FN6Vd8AlmFD6GE1L7l2UwQymXreaQFkSY4HjToWU3bc1JDfSIVE2otcScg1CCc56CV%2BVdeNQtQpRPLP%2F9dcm9g5KJR4Ae6QKaGoOT0EXHEBYQ7uQHL17uzT%2BKs8POzA4hpnnRg1zJb3bMbeQool8x6%2BuDh%2FF03scMRIhmCmzxuBNKThechmbopLAHJaqzqZFONxY25kplahH6nDSaNa862y%2B4lH9r1BjnKZ4SXL9m%2BLzHEAVjqYjHR6X6AUldovtni%2Fb3YpS%2BsJnXYXcWXVvhNZHXn2pmEa03%2BZEPhrDoEk%2Bi3zdRhMLS7pi5oFcHTVjtbmcJLtpR9OBjIjmW64pzBf1hFDYy9%2BNo%2BYlINFZD%2BVntDj83v2tgDvWxRoZE622ndBTe7kRl0YQ34hD5PJsYQ1lhCQjomCb6Bu2hodUxoJyJqDOg00aL%2B9ZRcYyooT3BzQKhs7vE3lilz3OU5wM5Qo7f63%2BPqhWvzDSx9Lakw6mngPVjOvrc2xtZeGCeGrmAbXpAkgQvDreBZrifF%2Fs6Yxw4C3Htqlj0ue786zYIxD0Cn5OUQB6NlLTDxXFIU2bOpPFKBrWagPsN2ptCoSBw32htFH3QSiqfBpPvLy32CPkCDDxCG7FXdxcfZIZFGwyzRARzCClJp8aHY1yrIn2jXFcxAzhVeDXw2YYuNGzVkoC2hBU49hXjw2gKoxwVLml7S7h8jlw0%2B1q2hbwhitv4qmPBFdRgxHWyprQW9gppLar58lTZcrcuFCB8aP0heuZsLbXvqERCljJUHqmqI0fwX%2FXSKNJk%2Bl%2Fl33dLeQRBltJEfUprYB8pRUAWEEgJELV0msQ%2FAme4gEHJfdE3u1OsCCW1J2gSP7JH4s4p62wCBpx9xvVnmGik3SacYUg4rXHcj88IxUi6CbFmpNaAWlY%2BUEWyM70bMP71PZMMmujZXD8YcRGjEO6uPLiOa1Lm8nzQ6UuJ3vAz6JTdvodj20EbDTzOMlzqwjpTwTWU7P6vGnxyDPjzjG1vitq8bEVVGMCnj6dlEGfH8m27ZrKi26nhbLKEXOcsR3khgrLzwPTSQRO9zPKeP08XUR7ZOi85yN9KP%2Bx1JfAhLuHJ0U6NhPCXt7bR3jkWYDlLROKmvv0w7bdnlylqbACMPbo2bp39l5iEesXXfSi%2BsWg544wGIkXcgvi%2BnLS1gVzLzqWevQs9rZ7BcCV1NGnFS0BWMNgnR6nZ7Kpe0TkuBQ4A2gBkZX%2FxI0YLs%2Bsd6fAooxRh4pcxLn3cZYWwVoqyhUcVF1PuhpLeXRC3eGfxqFZH3Xnw%2BeDy%2Blp2rowxQs5momK6NAGNHvq1I8KaAFaE2znPFsMTFXZSGASJ4tsvUdN9gLBkTyntIrQSFd%2Bvzrpi9gQ2GRgdEcJz4mCFTRSLaddvb%2Fs8ifTljWdyWcCaPX9%2F13zIm3HIbjQxJZHrpd6wxrt3ufrr7njz6e%2F5mYlZGs6XEVnzEttVR2P5sXlteZ3vDhlcQ2yvfnfXmhgu8hTjS37HhafapS6Yh4%2B4%3D,753,111,25,3,14,#1276445368,Xiaomi,True Wireless,AirDots,Ear-Buds,TWSEJ04LS
9, Fone Ouvido Bluetooth Sem Fio Chamada Micro Sd Fm P2 Mp3 Cel ,34,NA,"
			
				Novo
			
			
				
					 - 
				
				7916
				vendidos
			
		",(5 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 647
		
		 sem juros
		
	

	
		",47,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,367,https://perfil.mercadolivre.com.br/MEGA+EXOPLANET.SHOP,https://produto.mercadolivre.com.br/MLB-1169578355-fone-ouvido-bluetooth-sem-fio-chamada-micro-sd-fm-p2-mp3-cel-_JM,330,21,10,0,6,#1169578355,B05 Over-Ear,Bluetooth,B05,Over-ear,B05 Over-Ear
10, Fone De Ouvido Headphone Bluetooth Stereo Usb Radio Fm ,39,NA,"
			
				Novo
			
			
				
					 - 
				
				1676
				vendidos
			
		",(45 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 738
		
		 sem juros
		
	

	
		",38,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,93,https://perfil.mercadolivre.com.br/DNR+PARTS,https://produto.mercadolivre.com.br/MLB-728555287-fone-de-ouvido-headphone-bluetooth-stereo-usb-radio-fm-_JM,63,23,7,0,0,#728555287,Universal,Fone Bluetooth,Bluetooth,Over-ear,4.1
