search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato,Línea,Modelo alfanumérico
1, Auricular Bluetooth Gadnic Inalambrico Musica Celular Running ,1999,2900,1701,8169,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,318,https://perfil.mercadolibre.com.ar/SALES+COM?brandId=945,https://articulo.mercadolibre.com.ar/MLA-647289957-auricular-bluetooth-gadnic-inalambrico-musica-celular-running-_JM,229,48,26,6,9,#647289957,Gadnic,T11,Over-ear,NA,NA
2, Auricular Vincha Deportiva Gadnic Bluetooth Running Celular ,2549,3950,1641,7409,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,396,https://perfil.mercadolibre.com.ar/SALES+COM?brandId=945,https://articulo.mercadolibre.com.ar/MLA-647289481-auricular-vincha-deportiva-gadnic-bluetooth-running-celular-_JM,313,52,19,6,6,#647289481,Gadnic,BT6,Over-ear,NA,NA
3, Auriculares Bluetooth Inalambrico I7s iPhone Android AirPods ,759,NA,826,66,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.2,168,https://perfil.mercadolibre.com.ar/READYGOWEB,https://articulo.mercadolibre.com.ar/MLA-736879465-auriculares-bluetooth-inalambrico-i7s-iphone-android-airpods-_JM,93,38,19,9,9,#736879465,Apple,EarPods,In-ear,tws,MMEF2
4, Auriculares Bluetooth +5.0 Inalambricos I7s Pro In Ear ,699,NA,218,168,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/TIENDAGALAXY,https://articulo.mercadolibre.com.ar/MLA-803432284-auriculares-bluetooth-50-inalambricos-i7s-pro-in-ear-_JM,NA,NA,NA,NA,NA,#803432284,TWS,i7S TWS,In-ear,In-ear,i7S TWS
5, Xiaomi Auriculares Inalambricos Bluetooth Redmi Airdots Tws ,3199,NA,275,100,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,157,https://perfil.mercadolibre.com.ar/SELFIE+TECH,https://articulo.mercadolibre.com.ar/MLA-674442510-xiaomi-auriculares-inalambricos-bluetooth-redmi-airdots-tws-_JM,114,36,3,2,2,#674442510,Xiaomi,Redmi Airdots,In-ear,Airdots,Mi Airdots
6, Auriculares Bluetooth Inalambrico 4.2 In Ear Base Recargable ,699,NA,564,176,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,13,https://perfil.mercadolibre.com.ar/01ENLINEA,https://articulo.mercadolibre.com.ar/MLA-791375058-auriculares-bluetooth-inalambrico-42-in-ear-base-recargable-_JM,9,3,0,0,1,#791375058,TWS,I7s,In-ear,NA,I7s
7, Auriculares Bluetooth A7 - Alta Gama - 4hs De Musica Sup I7s ,2398,NA,274,49667,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,17,https://perfil.mercadolibre.com.ar/JMS-IMPORTACIONES,https://articulo.mercadolibre.com.ar/MLA-762680561-auriculares-bluetooth-a7-alta-gama-4hs-de-musica-sup-i7s-_JM,11,2,3,0,1,#762680561,JMS,A7 TWS,In-ear,In Ear,NA
8, Auricular Bluetooth Samsung Original Galaxy Buds ,11999,NA,254,36,6 cuotas sin interés,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,56,https://perfil.mercadolibre.com.ar/SAMSUNG_TIENDA_OFICIAL_MP?brandId=1550,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=VHS3crK43dy9T9uLQZ1AKHMbUQqmopZTHcEMlAr35vwXatj05uxDVcsYQvrXUGkhU9wtLVYKPFMttDXniC2niK%2BIwnxrWuGBZAYvPmZ7YoLRH2H%2BI7aXG%2BVrBzpdSG%2BOK3vUOPdNo8pbwI9F9iw8B9p2tnIFFlfeFmGYoGHAZBC88jZccB%2FuXl9MNbSH20Ca%2BQW2RUYsaSm2s5rZMSc6V32CycOgVP%2BQzAgaxtnwuSX5inRHxAHW%2B8hN5IJK7cPso6MCuN3bN6JnDbUSemWGdkewLcaE%2FOp46LSeeMbcu8kGX6RSaS%2FoVAt29T1rz1WALABFCco0jsXlTsCE75E2cmKkPdiy1gZPAlqBxVVXrYehvijUgfTY%2BVNfyIFzHl2JDEUzDZxiINgjf7kkTNP%2FYcx1PLrARdle7%2BayxZ%2FtuP%2FFDnsW9EzaNbQEMmcE9PPvchRNdODfvlv0yN4NTEbzAnjtoIWisf24%2FVquhbYfQJwMeJjzFbENYt7PIUXxn2G4K19XwSdeke%2FUicZxpK32DB2Eeesn46ZDrj7ANmTT0JS1OvKHnioFXIFgu0moEmMPqK8DeJp0aF9oJeXmL3tO6UdC4m5e%2FwY93GGdXfi53K1Jj1r%2FmeBhe9CvTdHbYC8crzZG056hNwKoDZ24HODYx3gxsWR%2FUT3fRImNFTO7L9umqWXddUQeTa4%2BByY9YuNPW7JxwL0Yt1dHs3qntQbSjHGuxUh6gJXLjNRGPezpfRStOKHEW6tE6Au2WArP5qrd4aFzpmm6FBmJYDvsMGGG4rkAIiFt5wJeUK5NdAuhCpkcHVbsKygtHezY1YpM6GCs07lAW3VXWS2gCjqsayTFIXG8PjQEwCB%2BAFTgHDdvoB29NT%2FPpOKpcneA2SRxoNzNzBCFbJC%2B7XpheZy32akSLow157XYJ8OqhPc31uO0Q7bh9FpEp6ahFLWjGNRoAe2hmtvrl0rYhfk%2FjioXyvO1bNV%2BgxyEpqJSNWlzFg98%2FlyQhadXTbVig3ehujmn7tnCPW2%2FgOsRSf6z969QDkeTcIEt%2FwDi84YkiAQ2b3kmShqQAApYDFDjnJehMYXHSpxMcNgEeTthYwGMMsfZptTWOc0AFKuqf678dv0b2SV9NBBlV%2FW%2FXDE1Bjr2qrmLFDv6f5jC9xVCBjavmPXdLzJ4vwHjhHha%2BuB2h%2BnWc9xrvyrmW26WIUIsAnEhqiYfhVbbtPViyGRaWPZCcjz9R586%2FsnkeewsNhBGINUTSOcG3aCATIwn767HwS5zjfNAxCfTNR%2BwRIrvzfV5alvn5Mydy%2FCO6CWSS4xQR64kSl9dbHTbi0hwsAzzqLqFUKwCQ5HkNSmJUuOFu1UbgSRvamvssWFtk1XSgYiQDoje79A1ovi%2BuUz%2BLb4zdCAgnf9Q%2FeChmEkWT34OGlpXxAqzxBTnxpNuAnDP8K7e9VttejD0p19zY2TXgvFyRnJLn7WbSZf2SkcFLhkes4zP9xAv%2BbQYMSQCgKVGnaOgVj4vu3Za%2BqlI1O4o5fr9f6DeZTPyEdhDQiQsF6kE7sN1do42NYz9pIHOCE2Bb8lf3wlQZ3uVeQRkaZFZxed2OBZdo8PKcytjZdu61PqZUuDC7MIvzwDIUeipRg%3D%3D,43,11,1,0,1,#781796882,Samsung,Buds,In-ear,Galaxy Buds 2019,SM-R170
9, Auriculares Bluetooth In Ear Inalambrico Con Base Recargable ,757,NA,1280,120,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,3.8,12,https://perfil.mercadolibre.com.ar/JBD-HITECH,https://articulo.mercadolibre.com.ar/MLA-803080043-auriculares-bluetooth-in-ear-inalambrico-con-base-recargable-_JM,6,3,0,0,3,#803080043,TWS,I7s,In-ear,Earpod,3
10, Auricular Bluetooth Mini Manos Libres iPhone Android Running ,375,NA,680,504,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,3.4,18,https://perfil.mercadolibre.com.ar/UNIVERSALSHOPS,https://articulo.mercadolibre.com.ar/MLA-749501381-auricular-bluetooth-mini-manos-libres-iphone-android-running-_JM,7,2,3,3,3,#749501381,Universal,S530,Mini  bluetooth,In Ear,S530
