search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato,Línea,Color
1, Audífonos Bluetooth Bt-100 Negro Maxell- Entrega Inmediata. ,9.990,15.990,"
			
			
				
				328
				vendidos
			
		",(10 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 832
			
		
		 sin interés
		
	

	
		","
				$ 832
			",NA,Envío a todo el país,NA,NA,4.5,31,https://perfil.mercadolibre.cl/MAXELL+CHILE?brandId=219,https://articulo.mercadolibre.cl/MLC-452371070-audifonos-bluetooth-bt-100-negro-maxell-entrega-inmediata-_JM,22,5,2,2,0,#452371070,Maxell,EB-BT100 CARBON,NA,NA,NA
2, Audífonos Am61 Inalámbrico Bluetooth Huawei Am 61 -mobilehut ,28.990,39.990,"
			
			
				
				205
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.832
			
		
		 sin interés
		
	

	
		","
				$ 4.832
			",NA,Envío gratis a todo el país,NA,NA,4.7,66,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-451201533-audifonos-am61-inalambrico-bluetooth-huawei-am-61-mobilehut-_JM,54,8,3,1,0,#451201533,Huawei,AM61,NA,NA,NA
3, Audífonos Bluetooth Tipo I7s Tws Gamer V4.2 Oem ,6.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				151
				vendidos
			
		",(945 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.165
			
		
		 sin interés
		
	

	
		","
				$ 1.165
			",NA,Envío a todo el país,NA,NA,4.6,5,https://perfil.mercadolibre.cl/MAMI+HOUSE,https://articulo.mercadolibre.cl/MLC-491571996-audifonos-bluetooth-tipo-i7s-tws-gamer-v42-oem-_JM,3,2,0,0,0,#491571996,NA,NA,NA,NA,NA
4, Audifonos Bluetooth I7s Tws Alta Calidad Colores + Base ,19.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				480
				vendidos
			
		",(1072 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.666
			
		
		 sin interés
		
	

	
		","
				$ 1.666
			",NA,Envío gratis a todo el país,NA,NA,4.3,15,https://perfil.mercadolibre.cl/WSTECHNOLOGY.,https://articulo.mercadolibre.cl/MLC-472793392-audifonos-bluetooth-i7s-tws-alta-calidad-colores-base-_JM,9,2,3,1,0,#472793392,CHINO,I7S,In-ear,NA,NA
5, Audifonos Inalámbrico Bluetooth Tws-k2 AirPods - Prophone ,19.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				460
				vendidos
			
		",(68 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.332
			
		
		 sin interés
		
	

	
		","
				$ 3.332
			",NA,Envío gratis a todo el país,NA,NA,4.2,27,https://perfil.mercadolibre.cl/PROPHONELTDA,https://articulo.mercadolibre.cl/MLC-454472669-audifonos-inalambrico-bluetooth-tws-k2-airpods-prophone-_JM,18,2,3,3,1,#454472669,NA,NA,NA,NA,NA
6, Audifonos Con Bluetooth Sony Oem Con Luz Led ,19.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				104
				vendidos
			
		",(106 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.332
			
		
		 sin interés
		
	

	
		","
				$ 3.332
			",NA,Envío gratis a todo el país,NA,NA,4.3,7,https://perfil.mercadolibre.cl/ELECTRONICA_ROCA,https://articulo.mercadolibre.cl/MLC-464459355-audifonos-con-bluetooth-sony-oem-con-luz-led-_JM,5,1,0,0,1,#464459355,Sony,NA,NA,NA,NA
7, Audifono Bluetooth V4.2 Inalámbrico Hbq I7-tws ,7.990,14.990,"
			
				Nuevo
			
			
				
					 - 
				
				440
				vendidos
			
		",(60 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.332
			
		
		 sin interés
		
	

	
		","
				$ 1.332
			",NA,Envío a todo el país,NA,NA,3.2,11,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-459017997-audifono-bluetooth-v42-inalambrico-hbq-i7-tws-_JM,3,2,2,2,2,#459017997,TWS,I7S,NA,NA,NA
8, Auricular Inalambrico Bluetooth Manos Libres Tipo Airpod ,3.790,NA,"
			
				Nuevo
			
			
				
					 - 
				
				174
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 316
			
		
		 sin interés
		
	

	
		","
				$ 316
			",NA,Envío a todo el país,NA,NA,3.0,2,https://perfil.mercadolibre.cl/LAOCASIONSTORE,https://articulo.mercadolibre.cl/MLC-460325127-auricular-inalambrico-bluetooth-manos-libres-tipo-airpod-_JM,NA,NA,NA,NA,NA,#460325127,i7,I7,Headset,Bluetooth,NA
9, Audifonos Bluetooth P47 Stereo Radio Mp3 Inalambricos /04126 ,6.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				981
				vendidos
			
		",(210 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.165
			
		
		 sin interés
		
	

	
		","
				$ 1.165
			",NA,Envío a todo el país,NA,NA,4.4,16,https://perfil.mercadolibre.cl/CUPOCLICKCHILE,https://articulo.mercadolibre.cl/MLC-473637938-audifonos-bluetooth-p47-stereo-radio-mp3-inalambricos-04126-_JM,11,3,1,0,1,#473637938,047,WIRELESS 4.2+EDR,Headset,NA,NA
10, Audífonos Bluetooth Auriculares Inalámbrico Caildad!!! ,9.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				480
				vendidos
			
		",(245 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.665
			
		
		 sin interés
		
	

	
		","
				$ 1.665
			",NA,Envío a todo el país,NA,NA,4.7,39,https://perfil.mercadolibre.cl/MUNDOMAGIA%C3%91U%C3%91OA,https://articulo.mercadolibre.cl/MLC-447161588-audifonos-bluetooth-auriculares-inalambrico-caildad-_JM,33,3,2,0,1,#447161588,NA,NA,NA,NA,NA
11, Audífonos Xiaomi Redmi Airdots +cable Cargador/ Matpro Store ,28.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				77
				vendidos
			
		",(13 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.832
			
		
		 sin interés
		
	

	
		","
				$ 4.832
			",NA,Envío gratis a todo el país,NA,NA,4.6,26,https://perfil.mercadolibre.cl/MATPRO+STORE,https://articulo.mercadolibre.cl/MLC-491229415-audifonos-xiaomi-redmi-airdots-cable-cargador-matpro-store-_JM,20,4,1,0,1,#491229415,Xiaomi,AirDots,box,Redmi,NA
12, Audifono Extra Bass Sony Oem Bluetooth Fm Manos Libres ,19.990,21.990,"
			
				Nuevo
			
			
				
					 - 
				
				288
				vendidos
			
		",(17 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.332
			
		
		 sin interés
		
	

	
		","
				$ 3.332
			",NA,Envío gratis a todo el país,NA,NA,4.0,27,https://perfil.mercadolibre.cl/VENTASMACUL2014,https://articulo.mercadolibre.cl/MLC-453174599-audifono-extra-bass-sony-oem-bluetooth-fm-manos-libres-_JM,12,7,5,1,2,#453174599,Sony,NA,NA,EXTRA BASS,NA
13, Audífono Monster Bluetooth Profesional 40 Hrs De Musica ,24.890,NA,"
			
				Nuevo
			
			
				
					 - 
				
				122
				vendidos
			
		",(78 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.148
			
		
		 sin interés
		
	

	
		","
				$ 4.148
			",NA,Envío gratis a todo el país,NA,NA,4.9,8,https://perfil.mercadolibre.cl/OUTLETNET-LTDA,https://articulo.mercadolibre.cl/MLC-460166710-audifono-monster-bluetooth-profesional-40-hrs-de-musica-_JM,7,1,0,0,0,#460166710,Monster,NA,NA,NA,NA
14, Audifonos Pioneer Bluetooth Aptx Hi-res Se-ms7bt ,69.990,119.990,"
			
			
				
				103
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 5.832
			
		
		 sin interés
		
	

	
		","
				$ 5.832
			",NA,Envío gratis a todo el país,NA,NA,4.8,12,https://perfil.mercadolibre.cl/MUSICWORLDCHILE?brandId=183,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=Yo7ysVlXiWsJID6IpnOysutReRnBifc01kZPGFd8GeN7BwLveHnI0hPFkAW3onfYp7KxHDgs7Mp2J4BT6V0ttCb%2FkoHX7D8URi9pqepwJ2SiMQs8Ng2iiO89jNd2zEidXLT1n2KrPRG5oFSmJ%2Bwdf0uMQXKDY%2FOxezbwo7QOGzODH4EVmr4Grxs1QBbi6XykQAtlDT0JNJ%2FsJYiREQ3Ftn0RpntnIql4CKY6HBHQNruVkc%2FkNyp90b%2F%2FPfB6nGBFnf7s3NFpS0jfdTY%2B1LvrEZaOm%2FqnGGVzsI5XDdBi4AzvQrdK6QpbqG2YySzjI60Q5o4aO%2B0D7h5c0QSPmh83tiYUR2jpTG8jI2Ysk%2Fk6mIxQ7FpNgF6HoYz0dJrKDUgHIhIEr7NcaU6kHVbkSPBkgIt6qP7CyKykR%2FaNuET0xaXKBPmw0mElVxBlxi7Je3D%2BmSB58VI1L0Gtw4adGlYKbQlcDfnPhVD%2Bpzemk9X6VFp4CvvcbXXMIEmzDmaW55fCdAaBg5VQpPMAoC6ZVXBgvymxyJf3nEK%2Fe9bE5BjdLz%2FRy5hBKzUgZs9%2FvkcSHpIJm1byd3%2F8EBmfdiBvWBEFJGZSjWuntpYKvn7uUqIuHMkSqb6fYgYz8yQHHxYSMwOKPsRv2UY%2B1wtDmIZM%2FDznAgYXXjie%2FzlpQKIYBxDBC4pbSRttI3nLAbWiO7SH3hKrrf%2BuAwjNNzR8M%2F79szVfWNo4tdPXW9i6PwKtlbdMgY%2FANr2icdGHJpP0vA5MoZwDnqyoeU7l%2FZmXyB8%2FWl%2FlBdYyb3oxHONs6UeyBY93forHEmVhF6%2FvxFyMdZU1cWeQOJIUJScYeNe6i08u5OnzbptASGwiGfa1CuiZL741aWjKBbJbT7x3vrmO4mP6Gy9I1K6M6fOQJqA%2BtpdYhJ2RMfu%2BB1yLdbmqNdoDZfw83AloDrIVk7VtgrT0NbnmecnBThBAVmcCwNOtij7e1jXYrMYzjFIPrpPaHB5udBiFuYsfKYQBaj3j%2FXFVNLbq6yl6SK5qO3BZW%2Bdum82Qxd9XQEV6VPe3cY7n5%2BwnjDRbbybJSOCH%2Bf7Moma4A8Y0dQAN27CICcb0Tvk6%2BwjET%2F3Vvi9LPBluehyb1a7ftwOHVN2GJr5iUnI4d5YwdKO%2FNympuA4GTUPl4M2KiRQzIlJNPJ48KTxwbqDVRjvxeaN8ZYYrWSMhkUsNK9J%2FKV7HA0oDLQ%2BjBwz%2Fp27T7G1GpNGNKO1YBAYVbSf%2F0PmQZb%2BG9gMdTRmsTWB1CW2ybSuFeKwUPjD2gGVbIfa1mh8TZbMD7cLpb1OUAm60d%2BvJKe1isqgNVerlhfYZDl6Q3SwP%2Foes5jBXez6e0pKfChNEnvZ8RSDLldur7qwf7ykhto74juIBuda9Z65wN6oyk3dda282PlF1MamV60NjwP81xYrGjRO%2BvifkxKlbG7aGRnGotMRNevUfQ2CWcXQAgi7CjjBI41RMsj6fH1S%2F8wD6A83sIZBxBl9WjqelD6BOlTKHyWsRxTuvzVHEOXEHATrWaPWhrs4qMTKc7hmkBddnAQhusncoaolWgfvfIpQ%3D,10,2,0,0,0,#445968498,Pioneer,SE-MS7BT,NA,NA,NA
15, Audífono Bluetooth V4.2 M5 Deportivos Magnéticos ,4.999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				78
				vendidos
			
		",(21 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 417
			
		
		 sin interés
		
	

	
		","
				$ 417
			",NA,Envío a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/OFERTABKNCL,https://articulo.mercadolibre.cl/MLC-473455109-audifono-bluetooth-v42-m5-deportivos-magneticos-_JM,NA,NA,NA,NA,NA,#473455109,NA,NA,NA,NA,Roja
