search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Formato
1, V5 Audifonos Inalámbricos Bluetooth 5.0 Calidad Y Estilo ,120,NA,"
			
				Nuevo
			
			
				
					 - 
				
				72
				vendidos
			
		",(8 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.7,6,http://perfil.mercadolibre.com.pe/CLOUD+BUSINESS,https://articulo.mercadolibre.com.pe/MPE-434419720-v5-audifonos-inalambricos-bluetooth-50-calidad-y-estilo-_JM,4,2,0,0,0,#434419720,NA,NA,NA,NA
2, Stock Audifonos Original Xiaomi Redmi Airdots Envió Inmediat ,80,NA,"
			
				Nuevo
			
			
				
					 - 
				
				526
				vendidos
			
		",(732 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,97,http://perfil.mercadolibre.com.pe/ZEALOTT+IMPORTACIONES,https://articulo.mercadolibre.com.pe/MPE-436293760-stock-audifonos-original-xiaomi-redmi-airdots-envio-inmediat-_JM,68,24,5,0,0,#436293760,Xiaomi,Audifonos Bluetooth,Redmi AirDots,Headset
3, Audifonos Jbl Bluetooth Pure Bass Sound T110 Wireles Colores ,129,NA,"
			
				Nuevo
			
			
				
					 - 
				
				41
				vendidos
			
		",(33 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,6,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-435128963-audifonos-jbl-bluetooth-pure-bass-sound-t110-wireles-colores-_JM,5,1,0,0,0,#435128963,JBL,NA,T110,NA
4, Audifonos Original Xiaomi Redmi Airdots En Stock + Tienda !! ,84,119,"
			
				Nuevo
			
			
				
					 - 
				
				168
				vendidos
			
		",(432 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,97,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,https://articulo.mercadolibre.com.pe/MPE-433005812-audifonos-original-xiaomi-redmi-airdots-en-stock-tienda--_JM,68,24,5,0,0,#433005812,Xiaomi,Mi,AirDots,In-ear
5, Audifonos Inalambrios Bluetooth Imantados Deportivos 2018 ,30,NA,"
			
				Nuevo
			
			
				
					 - 
				
				420
				vendidos
			
		",(24 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.3,30,http://perfil.mercadolibre.com.pe/FROG_PEOPLE+_IMPORT,https://articulo.mercadolibre.com.pe/MPE-420579803-audifonos-inalambrios-bluetooth-imantados-deportivos-2018-_JM,16,11,1,0,2,#420579803,NA,NA,NA,NA
6, Stock Audifonos Original Xiaomi Redmi Airdots Entrega Rapida ,78,NA,"
			
				Nuevo
			
			
				
					 - 
				
				163
				vendidos
			
		",(100 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,97,http://perfil.mercadolibre.com.pe/MAJU4927724,https://articulo.mercadolibre.com.pe/MPE-436361713-stock-audifonos-original-xiaomi-redmi-airdots-entrega-rapida-_JM,68,24,5,0,0,#436361713,Xiaomi,Wearables Bluetooh,Redmi Airdots,Headset
7, Audifonos Hands Free Bluetooth V4.1 Micro Magneticos ,17,NA,"
			
				Nuevo
			
			
				
					 - 
				
				33
				vendidos
			
		","
		
			¡Último disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/VENTAS+O.,https://articulo.mercadolibre.com.pe/MPE-436216694-audifonos-hands-free-bluetooth-v41-micro-magneticos-_JM,NA,NA,NA,NA,NA,#436216694,NA,NA,NA,NA
8, Samsung Galaxy Buds 2019 Audifonos Inalambricos En Stock!! ,539,NA,"
			
				Nuevo
			
			
				
					 - 
				
				69
				vendidos
			
		",(30 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,5,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-436048863-samsung-galaxy-buds-2019-audifonos-inalambricos-en-stock-_JM,5,0,0,0,0,#436048863,Samsung,Galaxy,Buds,In-ear
9, Skullcandy Audifonos Bluetooth Method Sport Supreme Sound ,199,NA,"
			
				Nuevo
			
			
				
					 - 
				
				34
				vendidos
			
		",(28 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,4,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434305464-skullcandy-audifonos-bluetooth-method-sport-supreme-sound-_JM,3,1,0,0,0,#434305464,Skullcandy,NA,Method,NA
10, Mini AirPods I9s Tws Audifonos Bluetooth 5.0 Ultima Version ,75,NA,"
			
				Nuevo
			
			
				
					 - 
				
				28
				vendidos
			
		",(18 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/MAJU4927724,https://articulo.mercadolibre.com.pe/MPE-435244365-mini-airpods-i9s-tws-audifonos-bluetooth-50-ultima-version-_JM,NA,NA,NA,NA,NA,#435244365,NA,NA,NA,NA
11, Motorola Audifonos Bluetooth Pulse Escape Super Combo Pack ,149,NA,"
			
				Nuevo
			
			
				
					 - 
				
				124
				vendidos
			
		",(28 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,18,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-433512029-motorola-audifonos-bluetooth-pulse-escape-super-combo-pack-_JM,15,3,0,0,0,#433512029,Motorola,NA,Pulse Escape,Over-ear
12, Audifonos I7s Plus Bluetooth 5.0 Inalambricos Apple Android ,44,NA,"
			
				Nuevo
			
			
				
					 - 
				
				314
				vendidos
			
		",(286 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3.5,2,http://perfil.mercadolibre.com.pe/HUMA7820320,https://articulo.mercadolibre.com.pe/MPE-433034458-audifonos-i7s-plus-bluetooth-50-inalambricos-apple-android-_JM,NA,NA,NA,NA,NA,#433034458,i7s Plus,NA,NA,NA
13," Audifono Redmi Xiaomi Airdots Originales! En Stock,tienda ",83,NA,"
			
				Nuevo
			
			
				
					 - 
				
				60
				vendidos
			
		",(91 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,97,http://perfil.mercadolibre.com.pe/TITECHNOLOGYIMPORT,https://articulo.mercadolibre.com.pe/MPE-436723758-audifono-redmi-xiaomi-airdots-originales-en-stocktienda-_JM,68,24,5,0,0,#436723758,Xiaomi,NA,AIRDOTS REDMI,NA
14, Audifonos Deportivos Bluetooth 4.2 Inalámbricos Radio Sd ,49,NA,"
			
				Nuevo
			
			
				
					 - 
				
				622
				vendidos
			
		",(378 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.4,9,http://perfil.mercadolibre.com.pe/GRUPONATIC.PE,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=nOUCoDUC8DgyhnpJsMg%2FHy7ylT%2FbjZDlngITQ2fBghcBDM9zzSJ4G471Gqjgw8%2FZ69Mcrqu6n92VVxkF4xB6rfKV%2BMWCYOUfiyW5MQo22nfP37N%2F0XB2zdFH%2BUVfaYWFT5B7QX104xcGBaOt8Ad6Xotq4PmK2aOBPoEAlQ8601fiWXgsBF5O2YvCXSWiSsw0BNYlJV7HEKLikkP8pOtb230q3I%2BYdjhziSSmt7CyLHEzgDWd4qFyjw3gvtYIS0wOqXXtXNNvK%2FExXbHvOkex7LyTNlqqEfO6zYLn%2BAiyqt28E0LH0GkA0Q8i5CqXXONemyouHCSoxUHmINtv3D1Fvv5Bric8oZqiNqD5uSkkHB2Gx5bcm4xREZZBjbML7GlBp33dlM1mHsjR7IFIQhGQIGqBsxwK5dCcz8PCdwTwXvFtesSb5AO68FXh%2FQu%2Fx2lWneppQTaSj4HUR4MDwOcAz26dVQi89JaJewSF%2BGteWdwWyoo7a6SOqmcTaW3IHHOoYSNV2s0z9Kx4yvuj5tymhIJoVFbILBgZKKt3mNz7kGdZDjiQpAp8GLzdV8xy4DUrajzs%2BDARlRq%2F5Sm0uM129LQxSp1INxFzbTQWx0wj9UfXyvIdOUdTA6H2uAEVSBLQ5pwZAg%2BNkMXs2wA0d%2FVHdjQM7XG1azEd8RTpr3BX5UHVCdBJVWH1st4NzreYOrCgBsZGpkb5m0CEQNvmv86Yw3ctksz1k7yXfgthRCF2ZPFM22U1k2WJMFbprNGOldJpJLpt7GP4eFwG8GRlvxMoXSMAhqDKDtdXFCFI698VK4TtAj2MZ4WyXdgsEF%2Bdb6E8QeeMdu7t7NlyBQcui0IUXuNjKuxJ2Q2mM2G3Ct9c7I98VtU141lfHzt9JYO%2Bysxz%2F0aPyrZsRzrgerFiU%2F6bikUmsQe8b1ZT5EYypI5scd1PY3rdwQrAPic7qCIlbkDNXgq%2BBRaBo3IuyCW5Jh0mb%2BJfaCsP%2F85CTG96gZ7RJD7fUkz04gbTZqEX7Jw%2FzUbIvh6Y2mVkpiX5N4PR8A4UKr%2FuNlKbaqskZN%2FTtrbc%2Bl0tJy3bgXmDmDmbKor2H7zmmglYGuifAQ6m3vBhE7efIjZ1AbCwElXlO4EV0OU5CYKmNUo56y%2F1yVWAMjGlme%2BzxIYzvSWg3aI9seInEuMLTBFewTbqr1ApihesBBES1l3hLp2g%2FaHsfd7QBCa%2BDJVERjssvXZaVd%2FYYPK15dUHfKgYXQTpZWosiv9ckp%2F6UDRm7%2B9AzRMe8dnCtyu%2FxBK9yt3qv3nuK25MxxsdsE6qgHtbTbxnzGf2M8zvepKwNGMv6Ehg8nzq6Ly2YK2EoZqnm3VrT6vgJrz0CKbpjGyM%2FkxPs8Ndhnwjeb%2FzmwjA61gjMA6414OW%2BSTaJsF3X%2BLDcgIN8eMhW6I2GsFut1PFsa7BilLBFRABWjfz41RL7ptCgs71OMmvgTx7etWS1mee7VCvsXVxmoDczNUOEFjs9eOjUD%2FyRyeEP3JQ2oF0wkxuBwPNJOaPXys15JJ4VDZlDAqs0qYkrzZHddwlF0wp4c9%2B9ksu6R5sRr7V4mEiQXcGMEEN%2BWKwU8xAiHCrQbkh,5,3,1,0,0,#418636835,st3,NA,NA,NA
15, Audifonos Deportivos Bluetooth 4.2 Inalámbricos Radio Sd ,49,NA,"
			
				Nuevo
			
			
				
					 - 
				
				622
				vendidos
			
		",(378 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.4,9,http://perfil.mercadolibre.com.pe/GRUPONATIC.PE,https://articulo.mercadolibre.com.pe/MPE-418636835-audifonos-deportivos-bluetooth-42-inalambricos-radio-sd-_JM,5,3,1,0,0,#418636835,st3,NA,NA,NA
16, Audifonos Xiaomi Mi Sports Youth Edition 2019 ,79,NA,"
			
				Nuevo
			
			
				
					 - 
				
				43
				vendidos
			
		",(17 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.5,2,http://perfil.mercadolibre.com.pe/MAJU4927724,https://articulo.mercadolibre.com.pe/MPE-436221893-audifonos-xiaomi-mi-sports-youth-edition-2019-_JM,NA,NA,NA,NA,NA,#436221893,Xiaomi,Mi,NA,NA
17, Audífonos I7s Tws Bluetooth Tipo AirPods Blanco Y Negro ,34,NA,"
			
				Nuevo
			
			
				
					 - 
				
				45
				vendidos
			
		",(8 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.0,2,http://perfil.mercadolibre.com.pe/LIZANDROAN,https://articulo.mercadolibre.com.pe/MPE-432449528-audifonos-i7s-tws-bluetooth-tipo-airpods-blanco-y-negro-_JM,NA,NA,NA,NA,NA,#432449528,NA,NA,NA,NA
