search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Formato,Color
2091, Auricular Inalámbrico Con Efecto De Sonido Envolvente Blueto ,59.339,NA,"
			
				Nuevo
			
			
		",(50 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 4.945
			
		
		 sin interés
		
	

	
		",NA,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MEJORARTUVIDACO,https://articulo.mercadolibre.com.co/MCO-517330786-auricular-inalambrico-con-efecto-de-sonido-envolvente-blueto-_JM#position=24&type=item&tracking_id=3ed4e6b4-15f8-44f9-af5c-ba894a7248c6,NA,NA,NA,NA,NA,#517330786,Q1,NA,Q1,NA,NA
2092, Bose Soundsport Free Audífonos In Ear Bluetooth Negro ,799.000,999.000,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 66.583
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/PREMANU,https://articulo.mercadolibre.com.co/MCO-475146997-bose-soundsport-free-audifonos-in-ear-bluetooth-negro-_JM#position=25&type=item&tracking_id=3ed4e6b4-15f8-44f9-af5c-ba894a7248c6,NA,NA,NA,NA,NA,#475146997,Bose,SoundSport Free,Free,NA,NA
2093, Audífonos Manos Libres Bluetooth ,26.000,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			
		
		36 cuotas de
		
			
				$ 722
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/CRISTHO0120,https://articulo.mercadolibre.com.co/MCO-472435907-audifonos-manos-libres-bluetooth-_JM#position=26&type=item&tracking_id=3ed4e6b4-15f8-44f9-af5c-ba894a7248c6,NA,NA,NA,NA,NA,#472435907,NA,NA,NA,NA,NA
2094, Audifonos Diadema Contraruido Jbl Originales 3.5mm Azul T45 ,70.000,NA,"
			
				Nuevo
			
			
		",(10 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 5.833
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/ZERILANKA,https://articulo.mercadolibre.com.co/MCO-515986372-audifonos-diadema-contraruido-jbl-originales-35mm-azul-t45-_JM#position=27&type=item&tracking_id=3ed4e6b4-15f8-44f9-af5c-ba894a7248c6,NA,NA,NA,NA,NA,#515986372,JBL,NA,NA,Over-ear,NA
2095, Audífonos Bluetooth Xiaomi Redmi Airdots 100% Originales ,169.000,NA,"
			
				Nuevo
			
			
		",(10 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 14.083
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MELOCOMPREVIRTUAL,https://articulo.mercadolibre.com.co/MCO-528872985-audifonos-bluetooth-xiaomi-redmi-airdots-100-originales-_JM#position=28&type=item&tracking_id=3ed4e6b4-15f8-44f9-af5c-ba894a7248c6,NA,NA,NA,NA,NA,#528872985,NA,NA,NA,NA,NA
2096, 2 Piezas Mini Auriculares Bluetooth Inalámbricas ,38.986,NA,"
			
				Nuevo
			
			
		",(999 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 3.249
			
		
		 sin interés
		
	

	
		",NA,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SUNTEKSTORECO,https://articulo.mercadolibre.com.co/MCO-509995989-2-piezas-mini-auriculares-bluetooth-inalambricas-_JM#position=29&type=item&tracking_id=3ed4e6b4-15f8-44f9-af5c-ba894a7248c6,NA,NA,NA,NA,NA,#509995989,NA,NA,NA,Over-ear,NA
2097, Auriculares Botón De Auricular Earbuds Gel Eargels Olivas Pa ,6.632,NA,"
			
				Nuevo
			
			
		",(3 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 553
			
		
		 sin interés
		
	

	
		",NA,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SUNTEKSTORECO,https://articulo.mercadolibre.com.co/MCO-510144827-auriculares-boton-de-auricular-earbuds-gel-eargels-olivas-pa-_JM#position=30&type=item&tracking_id=3ed4e6b4-15f8-44f9-af5c-ba894a7248c6,NA,NA,NA,NA,NA,#510144827,NA,NA,NA,NA,NA
2098, Auriculares Inalambricos Anker Soundcore Liberty Lite Blueto ,334.990,NA,"
			
				Nuevo
			
			
		",(12 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 27.916
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TIENDA+MALU,https://articulo.mercadolibre.com.co/MCO-510974032-auriculares-inalambricos-anker-soundcore-liberty-lite-blueto-_JM#position=31&type=item&tracking_id=3ed4e6b4-15f8-44f9-af5c-ba894a7248c6,NA,NA,NA,NA,NA,#510974032,Anker,NA,NA,NA,Black
2099, Audifinos Bluetooth Inalambricos I9s ,89.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(21 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.497
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SHOPPING--WEB,https://articulo.mercadolibre.com.co/MCO-496887152-audifinos-bluetooth-inalambricos-i9s-_JM#position=32&type=item&tracking_id=3ed4e6b4-15f8-44f9-af5c-ba894a7248c6,NA,NA,NA,NA,NA,#496887152,NA,NA,NA,NA,NA
2100, Audifonos Manos Libres Bluetooth Ms-808 Deportivos Inalambri ,39.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(39 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.111
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/VITTORIA+ONE...SHOP,https://articulo.mercadolibre.com.co/MCO-451521008-audifonos-manos-libres-bluetooth-ms-808-deportivos-inalambri-_JM#position=33&type=item&tracking_id=3ed4e6b4-15f8-44f9-af5c-ba894a7248c6,NA,NA,NA,NA,NA,#451521008,NA,NA,NA,NA,NA
2101, Audífono Earpod Mini-i8x Bluetooth Inalámbrico Individual ,20.490,NA,"
			
				Nuevo
			
			
		",(10 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 569
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/ACFA439423,https://articulo.mercadolibre.com.co/MCO-530262038-audifono-earpod-mini-i8x-bluetooth-inalambrico-individual-_JM#position=34&type=item&tracking_id=3ed4e6b4-15f8-44f9-af5c-ba894a7248c6,NA,NA,NA,NA,NA,#530262038,NA,NA,NA,NA,NA
2102, Auriculares Altavoz Bluetooth K-pop Elaborado En Abs ,32.590,NA,"
			
				Nuevo
			
			
		",(151 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.716
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/WWW.COMPRANET.COM.CO,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=kBZrFUO3QP%2FawlPB82F1ItNmNDKmVKmclER0hwxKT4v%2BaOy9QAgxNEBdgGfHFVKTBJo8l%2B9bYZcGJTSiixdNWG9xFEHzKyn2TW5CGuu3r3Xa1GfjeynSpjw4HqkJJE%2BVpfuYaO3470WwLsWcucu71eB9AHADqvUKydUO6%2BsLVzDxDnZGEw2mMXOWzousBG1c9Tb15lz71gnWdL38q8fkCMAmS79TYJNLx06n9M2XIUbu7lMYy3r2uySsbf658H3vzoIoPmpbPTxDgFS5hp106ppQ%2B%2FRjeD4fvnBiblzOxcDbXYk1XAlBcrV0B%2BOmxJBFJGp6fu8y%2BsioHp1QUYwKah2teYF697WYVjhJEGoOQwX%2FD4Z1qiyNsQaORYJkaA6PuCt1vQYeJ8sEMEkhbOE%2F5lUCLGUerWh7vuIEkX4Lq62cNXsYOaf6wX99lZ6QoY73LHHY0GKvzCmfqTHZSeTpyw2dP90GXkPUiwgHtGi08oG%2BSxEYsBa9uLpAfmMcaCEQS5QFggVfOMNpn2o3xV5PFG8akWn9t7P6c%2FZgPeM%2FKUFVh8cktRS2FFWDMUvZbnbfJBhVHB6M1wwdeRwF2CXP5Q8P%2FoLts1p4hT2GcEWympGw%2F7c%2Fh4153xEf9ahdOhaYA88f5dGl52T5pXLAJ2DyPmxAY5GbZ6mn2oOFdam0pJ9uq1o%2BKr2wHf8CusCAAobjX71dQOvckzerWUPBTLDhLxyhmbuYuxEnfxsm1jTlBSa%2B0hOCN6b8oykilsSxdg6pMDjKdNoU09txWUnhtsFpLiv7gWOchNk5IFh4Y2dAtpZH0x1WN%2FL8j1ECJZpXsJapmv93D8yuRmigBf1RXLbRpLQGm1wh%2FGwja%2FWS58aT7WDDJfCaor6hG%2FJbIuBfY6SdxRdMSn9uUvmrL2zaYOWGbhlKHzeuHlFNlPjr1DeRH7Ih4%2BhO2zY0vzlBIGft%2F3mkkA541ckMzf0%2FFvpOALTCNx7KsQWrPuXMRmRdlKIt70p8f%2FjFdil%2Fj6zWE0kNxPYN5yWWv1KPK3eV8jNkEsYYI1RLciHVDYRNZjPTpekqP6vpoK63DoPOzvFXhAx0qstm99LlJZFNL9rVUQIu7AcOOuJtvK2rcOQJc23Zgpi799LT6oVdDcyGf1Gjt2KKue0evXZfznBa8QX%2FAyLekdMYVY9sxheN6wamrW9or%2BNQBFqZCqNek0jTENvjOOi8FnvKKlB8LKPvKYBPkkSnonk120rquh9QPOpx%2FpRUPDMBJ2JY19uNZD%2BdEaCqgRFVidQNWR0EmfjS%2FKuYic7292ZaHDddG5EFVbJm%2BWdJon1mikGq0FpR4kyzbVEp%2B0mYvOxg2d%2BD4CX2KKZ0YimP9A%2BlIBO%2FcsO49VD4%2BGURoTywMQ7%2Bu9%2Bzt%2BPMAP9SnDODI0j32eF39aLsvD7mzB1fi8cg3lVVS2rInvnOluU3Hs0tnvY7fqc%2Fe%2B62D3%2BkX2o1gZn3QXWSSczg3hZAVRQ3KmxiH9HvZNZcyCh7%2B4vs0IBZZwuMNPtNWFmi8JDae%2BUt3EQxQ9RFgPlLYulvOHxdgM7FfEZRwvzKt6Vwapgl%2FbvHU676umozYKgLRRNVN6diz93z5MDqhXxqMw%2FIaRs8nKayK9lxbjWZYShYHbUAJyNrDmwP7WPDOeLxG1Jkno5ybXmW5qEgM2JQKOXvuKVFJk%2FACy7S5uZiiWuM%2F%2FEDw5BYxTqZhlFioE3u7j%2BmRqtEjCXvwvCh6TefjURjTI9LWMGv7F8o%2FajX3w%3D%3D,NA,NA,NA,NA,NA,#509420422,CPN-08007,NA,CPN-08007-03,NA,NA
2103, Audifonos Bluetooth Sports Inalambricos Recargable 8156 ,32.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(97 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 914
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/NUMO472310,https://articulo.mercadolibre.com.co/MCO-493906452-audifonos-bluetooth-sports-inalambricos-recargable-8156-_JM#position=36&type=item&tracking_id=3ed4e6b4-15f8-44f9-af5c-ba894a7248c6,NA,NA,NA,NA,NA,#493906452,NA,NA,NA,NA,NA
2104, Auriculares Inteligentes Estéreo Bluetooth Para Motorola Sh0 ,355.990,NA,"
			
				Nuevo
			
			
		",(12 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 9.889
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TIENDAWINGERCO,https://articulo.mercadolibre.com.co/MCO-483668283-auriculares-inteligentes-estereo-bluetooth-para-motorola-sh0-_JM#position=37&type=item&tracking_id=3ed4e6b4-15f8-44f9-af5c-ba894a7248c6,NA,NA,NA,NA,NA,#483668283,Motorola Mobile Accessories,NA,SH010,NA,NA
2105, Auriculares Bluetooth Plantronics Voyager Legend Dispositivo ,623.900,NA,"
			
				Nuevo
			
			
		",(12 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 51.992
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.3,3,https://perfil.mercadolibre.com.co/LATINPORT,https://articulo.mercadolibre.com.co/MCO-458961471-auriculares-bluetooth-plantronics-voyager-legend-dispositivo-_JM#position=38&type=item&tracking_id=3ed4e6b4-15f8-44f9-af5c-ba894a7248c6,1,2,0,0,0,#458961471,Plantronics,Voyager Serie,89880-01,Headset,NA
