search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Marca del celular,Tipo de funda
1, Mophie Funda Bateria Juice Pack Para iPhone 8/7 Plus Negro ,47.990,69.990,"
			
			
				
				1
				vendido
			
		",(2 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 7.998
			
		
		 sin interés
		
	

	
		","
				$ 7.998
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-475910245-mophie-funda-bateria-juice-pack-para-iphone-87-plus-negro-_JM,NA,NA,NA,NA,NA,#475910245,Mophie,NA,NA
2, Tech 21 Funda Dura iPhone 8/7 Plus Evoke Transparente/azul ,23.990,NA,"
			
			
				
				1
				vendido
			
		",(9 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.998
			
		
		 sin interés
		
	

	
		","
				$ 3.998
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-496719646-tech-21-funda-dura-iphone-87-plus-evoke-transparenteazul-_JM,NA,NA,NA,NA,NA,#496719646,Tech 21,Apple,Carcasa
3, iPhone 5 5s 6 6s 7 8 Plus Carcasa 360 Slim Gkk | Kyrios ,6.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				83
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.165
			
		
		 sin interés
		
	

	
		","
				$ 1.165
			",NA,Envío a todo el país,NA,NA,4.8,6,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-473097419-iphone-5-5s-6-6s-7-8-plus-carcasa-360-slim-gkk-kyrios-_JM?searchVariation=41301697056,5,1,0,0,0,#473097419,GKK,Apple,Carcasa
4, Carcasa Silicona iPhone 7 iPhone 8 Apple Colores | Maxtech ,8.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				78
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 749
			
		
		 sin interés
		
	

	
		","
				$ 749
			",NA,Envío a todo el país,NA,NA,5.0,3,https://perfil.mercadolibre.cl/MAXTECHCHILELTDA,https://articulo.mercadolibre.cl/MLC-441102468-carcasa-silicona-iphone-7-iphone-8-apple-colores-maxtech-_JM,3,0,0,0,0,#441102468,Apple,Apple,Carcasa
5, Apple iPhone 8 64gb Nuevo + Lamina Y Funda - Phone Store ,699.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				164
				vendidos
			
		",(736 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 116.665
			
		
		 sin interés
		
	

	
		","
				$ 116.665
			",NA,Envío gratis a todo el país,NA,NA,4.8,40,https://perfil.mercadolibre.cl/PHONESTORE-RETAILCHILE,https://articulo.mercadolibre.cl/MLC-450308147-apple-iphone-8-64gb-nuevo-lamina-y-funda-phone-store-_JM,34,5,0,0,1,#450308147,Apple,NA,NA
6, Carcasa Original Ipaky 360º iPhone 8 Plus + Vidrio Templado ,13.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3011
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.332
			
		
		 sin interés
		
	

	
		","
				$ 2.332
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MONKEYCOLOR,https://articulo.mercadolibre.cl/MLC-451130493-carcasa-original-ipaky-360-iphone-8-plus-vidrio-templado-_JM,NA,NA,NA,NA,NA,#451130493,Genérico,Apple,Carcasa
7, Carcasa Love Mei iPhone 7 8 X Y 7 8 Plus - Tecnostrike ,20.990,22.990,"
			
				Nuevo
			
			
				
					 - 
				
				332
				vendidos
			
		",(28 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.498
			
		
		 sin interés
		
	

	
		","
				$ 3.498
			",NA,Envío gratis a todo el país,NA,NA,4.1,13,https://perfil.mercadolibre.cl/TECNOSTRIKE,https://articulo.mercadolibre.cl/MLC-435358128-carcasa-love-mei-iphone-7-8-x-y-7-8-plus-tecnostrike-_JM,8,1,1,3,0,#435358128,LOVE MEI,Apple,Carcasa
8, Carcasa Original Ipaky 360º iPhone 8 + Vidrio Templado ,13.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3018
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.332
			
		
		 sin interés
		
	

	
		","
				$ 2.332
			",NA,Envío gratis a todo el país,NA,NA,3.0,1,https://perfil.mercadolibre.cl/MONKEYCOLOR,https://articulo.mercadolibre.cl/MLC-451127669-carcasa-original-ipaky-360-iphone-8-vidrio-templado-_JM,NA,NA,NA,NA,NA,#451127669,Apple,Apple,Carcasa
9, Carcasa Transparente Reforzada Para iPhone 8 Plus Miaustore ,1.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				26
				vendidos
			
		",(9 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 166
			
		
		 sin interés
		
	

	
		","
				$ 166
			",NA,Envío a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/MIAUSTORE.CL,https://articulo.mercadolibre.cl/MLC-453525745-carcasa-transparente-reforzada-para-iphone-8-plus-miaustore-_JM,NA,NA,NA,NA,NA,#453525745,NA,Apple,Carcasa
10," Tpu Silicona 360 Carcasas Para iPhone 8, 7 Y 6s ",7.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				21
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.332
			
		
		 sin interés
		
	

	
		","
				$ 1.332
			",NA,Envío a todo el país,NA,NA,3.0,1,https://perfil.mercadolibre.cl/VAPORISLANDCHILE,https://articulo.mercadolibre.cl/MLC-461042132-tpu-silicona-360-carcasas-para-iphone-8-7-y-6s-_JM?searchVariation=38943862593,NA,NA,NA,NA,NA,#461042132,NA,Apple,Carcasa
