search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del Celular,Modelo del Celular,Marca de la Funda,Modelo de la Funda,Material,Fabricante,Tipo de funda
1, Funda iPhone 5|6|7|8|plus|x|xs|xr|xs Max Airbag Transparente ,169,NA,5781,30,18 meses,9.39,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,255,https://perfil.mercadolibre.com.mx/BROXYMEXICO,https://articulo.mercadolibre.com.mx/MLM-582143415-funda-iphone-5678plusxxsxrxs-max-airbag-transparente-_JM?searchVariation=17472366030,220,26,3,2,4,#582143415,Apple,iPhone,BMX,iPhone XS MAX | XR | XS | X | PLUS | 8 | 7 | 6 | SE | 5,TPU,BMX,NA
2, Protector Funda Case Uso Rudo iPhone 5 6 7 8 X Xs Xr Xs Max ,250,NA,1805,277,18 meses,13.89,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,61,https://perfil.mercadolibre.com.mx/ROBERT+CG8,https://articulo.mercadolibre.com.mx/MLM-653278098-protector-funda-case-uso-rudo-iphone-5-6-7-8-x-xs-xr-xs-max-_JM?searchVariation=30591645308,47,10,3,1,0,#653278098,iPhone,iPhone 5 5s se 6 6s 7 8 PLUS X XR Xs MAX,OEM,Oem,Plástico,OEM,uso rudo
3, Protector Funda iPhone 7 8 7 Plus 8 Plus X Xs Nuevo Uso Rudo ,250,NA,1818,158,18 meses,13.89,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,51,https://perfil.mercadolibre.com.mx/ROBERT+CG8,https://articulo.mercadolibre.com.mx/MLM-637771698-protector-funda-iphone-7-8-7-plus-8-plus-x-xs-nuevo-uso-rudo-_JM?searchVariation=26411510022,39,9,2,1,0,#637771698,Apple,iPhone 5 5s se 6 6s 7 8 PLUS X XR Xs MAX,RAMEER,2018,Plástico,OEM,USO RUDO
4, Funda Ultra Slim Transparente iPhone 6 7 8 Plus X Max +mica ,239,NA,1201,29,18 meses,13.28,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.3,34,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-651098477-funda-ultra-slim-transparente-iphone-6-7-8-plus-x-max-mica-_JM?searchVariation=32254386866,23,6,1,0,4,#651098477,Apple,6 6s 7 8 Plus X Xs Max Xr,Gurio,Ultra Thin,TPU,Apple,Protector
5, Funda Tipo Piel Leather Case iPhone 6 7 8 Plus X Max Xr +mic ,269,NA,2378,13,18 meses,14.94,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,79,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-623748083-funda-tipo-piel-leather-case-iphone-6-7-8-plus-x-max-xr-mic-_JM?searchVariation=32254170142,69,9,1,0,0,#623748083,Apple,6 6s 6 plus 6s plus 7 7 plus 8 8 plus X Xs Xs max Xr,Mikki,Business Leather,TPU,NA,Protector
6, Funda Ultra Slim Silicon iPhone 6 7 8 | Plus X Xr Xs Max ,219,NA,1870,57,18 meses,12.17,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,62,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-618319522-funda-ultra-slim-silicon-iphone-6-7-8-plus-x-xr-xs-max-_JM?searchVariation=32254069859,45,11,4,0,2,#618319522,Apple,iPhone,Apple,Apple,Silicona,Apple,Protector
7, Funda Rigida Transparente iPhone 5|6|7|8|plus|x|xs|xr|xsmax ,79,NA,2626,375,18 meses,4.39,NA,Envío,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,14,https://perfil.mercadolibre.com.mx/BROXYMEXICO,https://articulo.mercadolibre.com.mx/MLM-621037271-funda-rigida-transparente-iphone-5678plusxxsxrxsmax-_JM?searchVariation=23558966100,11,2,0,1,0,#621037271,Apple,iPhone,BMX,iPhone XS MAX | XR | XS | X | PLUS | 8 | 7 | 6 | SE | 5,TPU/Policarbonato,BMX,NA
8, Funda Ultra Slim Transparente iPhone 6 7 8 Plus X Max +mica ,239,NA,1201,29,18 meses,13.28,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.3,34,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=ubDn48%2BLQE9%2B5XUruWAEPXNkSMG7pFujiOhwrQaV7%2FeDE6aMKLgTqhCi%2FO24BQiGRbGI3nwWNX9CCW%2BJKyNs7eOs%2FdPs%2F%2F0aHkvAvhHtGAA4N7tvjNWdzg0T1NsVmzCLchBI5U9xC3FihkOl%2FTouQocCb4HQdpNdI9csqX%2BbLOwLfUHw9FQ2mUlnlEICAYzXgxfBaGcpyboM7aZ5ISWjLLTl6%2FZGFKY77MKRb8PcDt7%2Fn2v8sBJAxm51V6pnFwSuc8mLoKPETu64Sit7uSnoL71MRvQ3Q3x2uF2fL37KGJDh%2BL8CQI9IN%2BEvN8tFagTQBiShezJCj5K2%2BmsZp7Pwf8oeD7AbegFe5vFmhrxjrfD0ce5%2B5LM%2BvxBEultH3a73f4HGWu69kI8gW80L%2BtAhiKDI%2F1RK3a3Tx1nx1mADWYMRpWVf5%2FShatMBfDd3vKcwM2uIBuIJlnkyiLyVmTQc%2BXGopKNHLOypKSnGcWjv4oDPaDsJgYtnaX0zRHZ8LbeR1tFAsxALpCkNNt3nA99nWBjgl9z%2FjXOfTKwo0D8KnKm6e7X2XliIbG1psfUI7iPIA1n6ynEBnnmlbsJ%2BXw66fmi1BqD86VfSKRwNhipDZa86q14XQ9dcgQanDENWoSr81yAlhGDZ%2FZWyPU18jlnrYL1OvLaJB0i0NuAl3oGkD%2FO5BGKJUj6VmwAvRVj9ezk6XCvTalhlWhZVMa95IP9OwyXlx8jjdnMxSBnhMOe7qBpjHV8pxxZ4995qurVuXjCFIniFXr86PjlukaPBEZfZBrLX%2Bp7E2%2BzAnUb00LR6zxAC0uXhBwC7eFwnc4b138KHrnqelHynbr7e03IHu7PjAEsp4Gk33ff5UOtOTsWAHOo2dCi8RIknvsPYxPerILtLqiLkqInJ3JRWQvx%2BVkS7LPndOcifuLWKsns1lSk%2Fyi74yyX6y76GE5IlGANN7xQsQ7cH%2BJnfzBsh7XsD4cUauVycnAlyWJrGYPiCPK2YP%2B38KrU7fLxrAcFWXkbOMVCleSKXWKLKNeMywlM2ezPSG8Elebl7ecBlNUAt05mE1p%2Fehz0xgGgnW9iXuXkH6Me16t71QUwrBEt2pK%2Fo6HYSOygaMjSb0yrEQiraWMxGIXjKVMw6l%2FyjQFxe4tYe2LS6HwAnLk4ijNsM9TJIYUH33A1b0FZJeEE97NmW%2F5EEnYLexsW4FHt2gQqGwtjBGnL2jGAILYgccpQFlkrRYFO8YVvIovInOKztprzSwbpziW4Hd%2BvehfbK6PA4YLn8PuBuhEE0ElF8I48lhFpkyAjK%2FA7YrJCCldZr0lJmgXmDHkfoNflVXif447GBPoNyQZC9Gxq7iInVs50eYe7Q0G8A9%2BulDxxgi9yIw2kiqPDNZqK6iGWtWf%2BXdnJ1BpmfY8Zub0%2BfLmOqJnoZRFpgp7%2BXTQTbhhVM3yt0JqGQYQbmI%2F9SB3p3noc7RXb2WRAkx6I4LoaA%2FYlZqhpwKl1nOLSzoKfBH3NmnCOA3bL0%2BHZ9h%2B9HJK3lrnCSGUHRh35cs%2Fb5TJmwLxsaTmPzC99AoLNtMFSVSSQxQMD6uTcHmmtr6V3coQGp58pCUhVBun4FIiFTjLcQppV1SjfkEqcYNQyucz1MAzcgieUz0SeeJF8HR8edD1jH3Ejwv2PNQRSXeUrtIaIxWRo7KzyNCJwiybUXk4HpORGuLbBRM4YGCb9J5josY0k5Fwz1xA4i1DwYJeRbeV6%2Bfov2wkx15nAxRN3cf%2BwUAXU4fG4W5HU0qX4%3D,23,6,1,0,4,#651098477,Apple,6 6s 7 8 Plus X Xs Max Xr,Gurio,Ultra Thin,TPU,Apple,Protector
9, Funda Magnética De Metal Con Vidrio 9h iPhone Y Samsung ,249,NA,1084,365,18 meses,13.83,NA,Envío,Devolución gratis,Tienes 30 días desde que lo recibes,4,21,https://perfil.mercadolibre.com.mx/IBUMPER+VERACRUZ,https://articulo.mercadolibre.com.mx/MLM-638119024-funda-magnetica-de-metal-con-vidrio-9h-iphone-y-samsung-_JM?searchVariation=29751866132,12,3,2,2,2,#638119024,Apple,6/6S/6Plus/6SPlus/7/7Plus/8/8Plus/X/XS/XSMAX/XR/ Samsung S7Edge/S8/S8+/S9/S9+/Note8/Note9,NOHON,Magnética Metálica 9H,Aluminio,NOHON,Bumper Metálico con Vidrio 9H
10, Silicon Case Protector iPhone Varios Colores Y Modelos ,203,NA,925,39,18 meses,11.32,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,27,https://perfil.mercadolibre.com.mx/CELLKING21,https://articulo.mercadolibre.com.mx/MLM-671538364-silicon-case-protector-iphone-varios-colores-y-modelos-_JM?searchVariation=34395449953,22,5,0,0,0,#671538364,Apple iPhone,iphone 6 / 6 plus / 6S/ 6S plus / 7 / 7 plus / 8 / 8 plus / X / XS / XR / XS MAX,Apple,Silicon Case,Silicone / microfibra interior,NA,Liquid silicone
