search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Color,Marca,Material
1, Case iPhone X Xr Xs Max 7 8 Plus Protector Delgado Mate ,69,NA,10,89,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4,1,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435989808-case-iphone-x-xr-xs-max-7-8-plus-protector-delgado-mate-_JM,0,1,0,0,0,#435989808,Apple,Negro,NA,NA
2, Funda iPhone 7/8/7 Plus/8 Plus/ X 3 En 1 Case Carcasa ,12,NA,17,57,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JAPIMPORTA,https://articulo.mercadolibre.com.pe/MPE-431223060-funda-iphone-787-plus8-plus-x-3-en-1-case-carcasa-_JM,NA,NA,NA,NA,NA,#431223060,Apple,NA,NA,NA
3, Case Galaxy S10 Plus S9 S8+ S8 Cover iPhone Xs Max X Note 9 ,169,NA,78,75,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,6,http://perfil.mercadolibre.com.pe/GLOBAL+CELS,https://articulo.mercadolibre.com.pe/MPE-424678527-case-galaxy-s10-plus-s9-s8-s8-cover-iphone-xs-max-x-note-9-_JM,5,1,0,0,0,#424678527,Samsung,NA,Z-Bold Armor USA,Policarbonato y tetrapoliuretano
4, Case iPhone X Xs Max Xr 7 8 10 Plus Xs Protector Supcase Usa ,129,159,16,83,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4,1,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435989656-case-iphone-x-xs-max-xr-7-8-10-plus-xs-protector-supcase-usa-_JM,0,1,0,0,0,#435989656,Apple,NA,NA,NA
5, Funda Case Transparente iPhone X 8 8 Plus 7 7 Plus 6s 6 ,39,NA,9,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CSHOP1,https://articulo.mercadolibre.com.pe/MPE-432367752-funda-case-transparente-iphone-x-8-8-plus-7-7-plus-6s-6-_JM,NA,NA,NA,NA,NA,#432367752,Apple,NA,NA,NA
6, Protector Funda Silicone Case iPhone X 7 8 Y Plus Sellado ,34,NA,394,34,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3.7,7,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,https://articulo.mercadolibre.com.pe/MPE-422401481-protector-funda-silicone-case-iphone-x-7-8-y-plus-sellado-_JM,3,2,0,1,1,#422401481,Apple,NA,NA,NA
7," Funda Para iPhone 6, 6 Plus,7 Plus ,8 Plus - Autofocus Case ",16,NA,6,70,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JAPIMPORTA,https://articulo.mercadolibre.com.pe/MPE-432242766-funda-para-iphone-6-6-plus7-plus-8-plus-autofocus-case-_JM,NA,NA,NA,NA,NA,#432242766,Apple,NA,NA,NA
8, Funda Case Protector iPhone 7/8/plus+ Protector Pantalla ,19,NA,18,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3.5,2,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-431577553-funda-case-protector-iphone-78plus-protector-pantalla-_JM,0,1,1,0,0,#431577553,Apple,NA,NA,NA
9, Apple® Leather Case Para iPhone 7 8 Plus Funda Cuero Tienda ,189,NA,3,96,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435990324-apple-leather-case-para-iphone-7-8-plus-funda-cuero-tienda-_JM,NA,NA,NA,NA,NA,#435990324,Apple,Negro,Apple,Cuero
10, Case Funda Protector Supcase iPhone 7 8 Y Plus Stock Colores ,39,NA,160,104,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,5,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,https://articulo.mercadolibre.com.pe/MPE-421205404-case-funda-protector-supcase-iphone-7-8-y-plus-stock-colores-_JM,4,1,0,0,0,#421205404,Apple,NA,NA,NA
11," Funda Case iPhone 6, 6s, 7, 7plus,8, 8plus,xr, X, Xs, Xs Max ",55,NA,3,10,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GHINEXS,https://articulo.mercadolibre.com.pe/MPE-435296638-funda-case-iphone-6-6s-7-7plus8-8plusxr-x-xs-xs-max-_JM,NA,NA,NA,NA,NA,#435296638,Apple,NA,NA,NA
12," Case Funda Anti Golpe Caída iPhone 6, 6+, 7/8, 7/8 Plus, X ",34,NA,4,46,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/RODRI+STORE01,https://articulo.mercadolibre.com.pe/MPE-432630035-case-funda-anti-golpe-caida-iphone-6-6-78-78-plus-x-_JM,NA,NA,NA,NA,NA,#432630035,Apple,NA,NA,TPU
13, Case iPhone 7/8 / 7/8 Plus X De Cuero Louis Vuitton Y Gucci ,65,NA,7,493,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/MALUPHONE,https://articulo.mercadolibre.com.pe/MPE-433215134-case-iphone-78-78-plus-x-de-cuero-louis-vuitton-y-gucci-_JM?searchVariation=40515285935,1,0,0,0,0,#433215134,Apple,NA,NA,Cuero
14, iPhone Case Fibra Carbono 8 7 Plus X Protector Funda Cover ,24,NA,5,15,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TIENDAEXPRESS.PE,https://articulo.mercadolibre.com.pe/MPE-433924614-iphone-case-fibra-carbono-8-7-plus-x-protector-funda-cover-_JM,NA,NA,NA,NA,NA,#433924614,Apple,NA,NA,NA
15, Funda Case Protector Antishock iPhone 7/8/plus Delgada ,15,NA,5,90,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-432695703-funda-case-protector-antishock-iphone-78plus-delgada-_JM,NA,NA,NA,NA,NA,#432695703,Apple,NA,NA,NA
16, Case Delgado Mate Para iPhone X Xr Xs Max 7 8 Plus Protector ,69,NA,5,94,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435989675-case-delgado-mate-para-iphone-x-xr-xs-max-7-8-plus-protector-_JM,NA,NA,NA,NA,NA,#435989675,Apple,Negro,NA,NA
17, Lunatik iPhone 5/6/6s 7/7plus 8/8plus Armadura De Aluminio ,125,NA,3,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ALBERTOPP75,https://articulo.mercadolibre.com.pe/MPE-428313439-lunatik-iphone-566s-77plus-88plus-armadura-de-aluminio-_JM,NA,NA,NA,NA,NA,#428313439,Apple,Negro,NA,Aluminio
18, Rock Case Funda Protector Moc Series iPhone 7 / 8plus ,50,NA,4,29,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ZONAMOVILPERU1,https://articulo.mercadolibre.com.pe/MPE-430286444-rock-case-funda-protector-moc-series-iphone-7-8plus-_JM,NA,NA,NA,NA,NA,#430286444,Apple,Roja,NA,NA
19, Protector Case Funda De Silicona iPhone 6/6s 7/8 Plus ,39,NA,3,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SERGIOAMARANTOPEREA,https://articulo.mercadolibre.com.pe/MPE-431846795-protector-case-funda-de-silicona-iphone-66s-78-plus-_JM,NA,NA,NA,NA,NA,#431846795,Apple,NA,NA,NA
20, Case Consola Retro Games iPhone 6s 7 8 Plus Xs Funda Juegos ,54,NA,3,27,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TIENDAEXPRESS.PE,https://articulo.mercadolibre.com.pe/MPE-431938397-case-consola-retro-games-iphone-6s-7-8-plus-xs-funda-juegos-_JM,NA,NA,NA,NA,NA,#431938397,Apple,NA,NA,NA
21, Funda Cases Protector 360 + Mica De Vidrio iPhone 8 & 8 Plus ,45,NA,1,99,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ASMOBILEACCESORIES,https://articulo.mercadolibre.com.pe/MPE-432015260-funda-cases-protector-360-mica-de-vidrio-iphone-8-8-plus-_JM,NA,NA,NA,NA,NA,#432015260,Apple,NA,NA,NA
22, Funda iPhone 5s/se/6/6plus/7/7plus/8/8plus Luxury Case ,45,NA,15,47,NA,NA,NA,Envío gratis a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.pe/MERKA.G,https://articulo.mercadolibre.com.pe/MPE-428375700-funda-iphone-5sse66plus77plus88plus-luxury-case-_JM,1,0,0,0,0,#428375700,Apple,Rosa dorado,NA,NA
23, Funda Case Bumper Aluminio Espejo iPhone 5 6 7 8 Plus ,35,NA,6,94,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DASTOREPUNTOPE,https://articulo.mercadolibre.com.pe/MPE-423672540-funda-case-bumper-aluminio-espejo-iphone-5-6-7-8-plus-_JM,NA,NA,NA,NA,NA,#423672540,Apple,NA,NA,NA
24, Funda iPhone Case 5s/se/6/6plus/7/7plus/8/8plus Multi Case ,40,NA,36,38,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MERKA.G,https://articulo.mercadolibre.com.pe/MPE-430509893-funda-iphone-case-5sse66plus77plus88plus-multi-case-_JM,NA,NA,NA,NA,NA,#430509893,Apple,Roja,NA,NA
25, Protector Case Funda Delgado iPhone 7/8/plus/x Aluminio ,99,NA,93,20,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,3,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-422979822-protector-case-funda-delgado-iphone-78plusx-aluminio-_JM,3,0,0,0,0,#422979822,Apple,NA,NA,NA
