search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Marca,Tipo de funda,Color
1, Carcasa Apple Silicona Original 6 / 7 Y 7 Plus / 8 Y 8 Plus ,7.800,NA,243,81,12,650,NA,Envío a todo el país,NA,NA,4.8,16,https://perfil.mercadolibre.cl/CELLBOX.CL,https://articulo.mercadolibre.cl/MLC-454645969-carcasa-apple-silicona-original-6-7-y-7-plus-8-y-8-plus-_JM?searchVariation=36229993361,15,0,0,0,1,#454645969,Apple,Apple,Carcasa,NA
2, Carcasa Rock Ultra Delgada iPhone 6/7/8/x/xs/plus ,8.990,NA,345,174,12,749,NA,Envío a todo el país,NA,NA,4.7,29,https://perfil.mercadolibre.cl/BANANATIENDA,https://articulo.mercadolibre.cl/MLC-452176797-carcasa-rock-ultra-delgada-iphone-678xxsplus-_JM,26,1,0,1,1,#452176797,Apple,Rock,Carcasa,NA
3, iPhone 5 5s 6 6s 7 8 Plus Carcasa 360 Slim Gkk | Kyrios ,7.990,NA,62,5,12,666,NA,Envío a todo el país,NA,NA,4.8,5,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-473097419-iphone-5-5s-6-6s-7-8-plus-carcasa-360-slim-gkk-kyrios-_JM,4,1,0,0,0,#473097419,Apple,GKK,Carcasa,NA
4, Apple iPhone Xr 64gb 4g Plus Banda28 Mica Funda -phone Store ,649.990,749.990,6,894,6,108.332,NA,Envío gratis a todo el país,NA,NA,4.8,12,https://perfil.mercadolibre.cl/PHONESTORE-RETAILCHILE,https://articulo.mercadolibre.cl/MLC-471445619-apple-iphone-xr-64gb-4g-plus-banda28-mica-funda-phone-store-_JM,10,2,0,0,0,#471445619,NA,Apple,NA,Live
5, Carcasa Magnética iPhone 6 6s 6 Plus 7 8 8 Plus X | Digitek ,9.990,NA,29,71,6,1.665,NA,Envío a todo el país,NA,NA,4,1,https://perfil.mercadolibre.cl/DIGITEK.CL,https://articulo.mercadolibre.cl/MLC-489124640-carcasa-magnetica-iphone-6-6s-6-plus-7-8-8-plus-x-digitek-_JM,0,1,0,0,0,#489124640,Apple,NA,Carcasa,NA
6, Carcasas Colores iPhone Silicona 6/7/8/x/xs/xr/plus ,6.990,NA,49,82,12,582,NA,Envío a todo el país,NA,NA,5,3,https://perfil.mercadolibre.cl/BANANATIENDA,https://articulo.mercadolibre.cl/MLC-492059051-carcasas-colores-iphone-silicona-678xxsxrplus-_JM?searchVariation=39967227028,3,0,0,0,0,#492059051,Apple,Silicone,Carcasa,NA
7, Carcasas Apple Cuero iPhone 6 / 6 Plus 7 7 Plus 8 Y 8 Plus ,8.990,NA,131,376,12,749,NA,Envío a todo el país,NA,NA,4.3,8,https://perfil.mercadolibre.cl/CELLBOX.CL,https://articulo.mercadolibre.cl/MLC-455131366-carcasas-apple-cuero-iphone-6-6-plus-7-7-plus-8-y-8-plus-_JM?searchVariation=36233406122,5,2,0,0,1,#455131366,Apple,Apple,Carcasa,NA
8, iPhone 6 7 8 Plus Carcasa Shockproof Ipaky | Kyrios ,10.990,NA,67,3,12,916,NA,Envío a todo el país,NA,NA,5,4,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-455542006-iphone-6-7-8-plus-carcasa-shockproof-ipaky-kyrios-_JM?searchVariation=38591914053,4,0,0,0,0,#455542006,Apple,IPAKY,Carcasa,NA
9, Power Case Bateria Externa Funda 5000mah iPhone 6 7 8 Plus ,14.990,NA,18,82,6,2.498,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TECNOPICADA,https://articulo.mercadolibre.cl/MLC-471415131-power-case-bateria-externa-funda-5000mah-iphone-6-7-8-plus-_JM,NA,NA,NA,NA,NA,#471415131,NA,NA,NA,NA
10, Apple iPhone 8 Plus 64gb + Lamina Y Funda - Phone Store ,774.990,NA,104,796,6,129.165,NA,Envío gratis a todo el país,NA,NA,4.9,55,https://perfil.mercadolibre.cl/PHONESTORE-RETAILCHILE,https://articulo.mercadolibre.cl/MLC-450308073-apple-iphone-8-plus-64gb-lamina-y-funda-phone-store-_JM,50,2,3,0,0,#450308073,NA,Apple,NA,NA
11, Carcasa + Soporte Dragon Ball iPhone X 6 7 8 Plus Xs Max ,7.990,NA,14,8,12,666,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COMERCIALIZADORA+REGALOCO,https://articulo.mercadolibre.cl/MLC-475108196-carcasa-soporte-dragon-ball-iphone-x-6-7-8-plus-xs-max-_JM,NA,NA,NA,NA,NA,#475108196,Apple,NA,Carcasa,NA
12, iPhone 7 / 8 / 7 Plus / 8 Plus Carcasa Magnética | Kyrios ,11.990,NA,34,2,12,999,NA,Envío a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-470386540-iphone-7-8-7-plus-8-plus-carcasa-magnetica-kyrios-_JM?searchVariation=37721968573,1,0,0,0,0,#470386540,Apple,LUPHIE,Carcasa,NA
