search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca de Celular,Modelo de Celular,Marca da Capa,Modelo da Capa,Tipo de capa,Material
1, Capa Anti Impacto + Película Gel P iPhone 5 6 7 8 10 X Xs Xr ,15,NA,748,16,3x,5.33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,25,https://perfil.mercadolivre.com.br/NOMOTEC,https://produto.mercadolivre.com.br/MLB-1047628140-capa-anti-impacto-pelicula-gel-p-iphone-5-6-7-8-10-x-xs-xr-_JM?searchVariation=36089029791,19,4,2,0,0,#1047628140,Apple,Iphone,HR,TPU,Capinha de silicone,Silicone
2, Capa Capinha Ultra Fina Fosca iPhone 6s Plus 7 8 Plus Novo ,22,NA,702,89,4x,5.72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.1,11,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,https://produto.mercadolivre.com.br/MLB-1026051169-capa-capinha-ultra-fina-fosca-iphone-6s-plus-7-8-plus-novo-_JM?searchVariation=25994987550,7,2,0,0,2,#1026051169,Apple,Iphone,Bumper,Silicone,Slim,Silicone
3, Capinha Ultra Fina Fosca iPhone 6 6s Plus 7 Plus 8 Luxo Capa ,22,NA,305,87,4x,5.72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,4,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,https://produto.mercadolivre.com.br/MLB-1026034649-capinha-ultra-fina-fosca-iphone-6-6s-plus-7-plus-8-luxo-capa-_JM?searchVariation=23630275578,3,0,1,0,0,#1026034649,NA,NA,NA,NA,NA,NA
4, Capa Capinha Ultra Fina Fosca iPhone 5 6 7 8 Plus Xs Xr Max ,35,NA,217,11000,6x,5.83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,4,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1197368219-capa-capinha-ultra-fina-fosca-iphone-5-6-7-8-plus-xs-xr-max-_JM?searchVariation=34356084379,4,0,0,0,0,#1197368219,iPhone,iphone,jk capas,ultra fina fosca,capa protetor,TPU/Policarbonato
5, Capa Case Capinha iPhone 6s 6 Plus Glitter Rosa Luxo Premiun ,23,NA,319,67,4x,5.98,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,6,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,https://produto.mercadolivre.com.br/MLB-1012470928-capa-case-capinha-iphone-6s-6-plus-glitter-rosa-luxo-premiun-_JM?searchVariation=22925254341,4,1,1,0,0,#1012470928,Apple,Iphone,TPU,Transparente,Glitter,Silicone
6, Capinha Capa Case Silicone iPhone 6/6s 7 8 Plus C/logo Apple ,33,NA,285,3495,6x,5.65,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,647,https://perfil.mercadolivre.com.br/MALE2382936,https://produto.mercadolivre.com.br/MLB-1248683581-capinha-capa-case-silicone-iphone-66s-7-8-plus-clogo-apple-_JM?searchVariation=38604797226,468,100,43,20,16,#1248683581,Apple,7 8 Plus,Silicone,Protetora,Apple Case,Silicone e microfibra(camurça)
7, Capinha Silicone Aveludado iPhone 8 Plus Verde Agua ,29,NA,162,338,5x,5.80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,6,https://perfil.mercadolivre.com.br/REI_CELULAR,https://produto.mercadolivre.com.br/MLB-1165539317-capinha-silicone-aveludado-iphone-8-plus-verde-agua-_JM,5,1,0,0,0,#1165539317,Apple,Iphone 8 Plus,Apple,iPhone 8 Plus,Silicone,Silicone
8, Capa Capinha iPhone 8/8 Plus/7/7 Plus Caseology Parallax ,142,149,33,97,12x,11.87,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,2,https://perfil.mercadolivre.com.br/STORECASE-BR,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=dNhgijh%2BRwDas6u83Qsie5eedEm89uAr0lq8d%2F1YJ1zWNdbPQQFuHys09kFB4CNL8P2GCvFWLErOjvxo0W6d2YSMpeq6ilEGP6Rd3Ie4ZS5hT0p5tdfi6609CpMLFXJ4L6F24dQOUZ1UnpE4GPBECNLL%2BkQMd%2FamidxPH%2FGlQvDJJTTFOYbeRV1OBGVCRZeamtrhWgo1UVjzyg%2BGk1E17orj%2FMuwcin0s6Umb9SxrGY0Kdp9gbk8oYaSrXb8lV0PYM6%2FsfTp2lYonv8u99XQtWV9fi8WWNHVCNRp3UNqO9vHL5430ZhFKoZk41GnQOq9XguDwDYzRrSnMPYvDA09rFLiNoG%2FD7zxr8K0xG2Fo%2FyaF6opQ0KmnmbF4P6KffFNL24MZ2Hxs1e9cRSXqflFqwO6Pif3Y4ZhYzwdv2JOqXdBsX6Lb%2FWnK7VQ1LP1zOCmMxF4EGPXBl240Jiy0oAPS4tLe%2B0bVFLkPBDSUrlh5xMfQleZJ87RDG%2BSNZGpaSzlU3sKBXt%2FnXQl0Uo4BiMF7cZzCjAzQnqQ5oxWCHailmrKzR4O85qdYv0xcYHdn7fatyVwmzJ0wAMA2YuFv2NZHwqd8eanDcznM4p37beiYdhli0tLW5ZmZoNA4aiIMOO3dwyq39NewH1sblxU59M9vrDPKwRTyjp94H7aEmj%2B1OJYCzzgBPJzR6h7oa1FqQ9q37XNkIrZWQIDPhqqHfXHdD0dY2OarjQ03h8iAaWYmCVdbbun12%2FyG%2BYy51q01jeh0Vx%2By39%2BX1RjU9zazBxZVjDpASD1LckQayHbhRGhGXsUdYyQQHW6RHan6QkZK5pN71vq3la7qIeF%2BJU8L2E3wZ1Kw9xLOdLZn8BulRGxAeXVphLGd0CAEJYaeFNdBYWnup6PQNO72Og6pUygT%2BD7hrszyD8MB1ZGwh5wFRsvpFOWwV9tTgzTV%2F00XSR8zSaGNRGa4CTQUQf415LH%2FlmyvmACoiyUSXKy3n%2FxatQTbxX9rGOkSfor6gOaO2Yuc4FAf%2FW9RuKopj%2B7OVRnnR9QmOBiyzmjTNzYDQIvIjJHyAEu2nqQiDi6VYO0VmcfqgGSsGY%2FWDBx88xLDxlz1AScCF5v%2BErqMeMVcqtEavHt6Q6pRXhz4Me8MTLtre7byEkS1M6t9xMdqEw7tyzHUahv5acZggtEoUH63jE6qXxcueFfh3TCdf7%2FQvDXBk5KWDSF74Vq%2BB59du2nSPvettmMD7cvfJZVKDY8D%2F1%2BubrLTCBkMK8QRUm5Wnu9kwO3qrPzY1B6bOHjv08WCFggXCL6O5IrkYyx6nO2%2FXxTpAEkKeC9nZDvqAv%2FDen5HIjvACyUIH4YynmfeAHlu%2BOhOkGrBfAx0vxao6pHahafj786wNjS5lxh6W8H%2FAF%2FtkQAzE1%2FfrB0%2B%2BL5CEaalaMzFMqVUiXFDuGg%2B5tAeBmLFO%2BRm%2FuMiXJzBz%2F1zxqudCFKOLSwvf3hyf3PqDixTQ%3D%3D,2,0,0,0,0,#795848904,Apple,Iphone 8 Plus / 7 Plus 8 / 7,Caseology,Parallax,protetora,TPU/Policarbonato
9, Capa Capinha Case A Prova De Agua Areia iPhone 6 7 8 X 10 ,65,NA,420,86,12x,5.50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,10,https://perfil.mercadolivre.com.br/EXTREME.DEAL,https://produto.mercadolivre.com.br/MLB-684436481-capa-capinha-case-a-prova-de-agua-areia-iphone-6-7-8-x-10-_JM?searchVariation=23382066519,7,1,0,1,1,#684436481,Apple,Iphone 6 6s 7 7 Plus,Extreme.Deal,A prova de Agua,A prova de Agua,Silicone
10, Capa Capinha iPhone Xs X Xr 6 6s 7 8 Plus Max Anti Impacto ,17,NA,2166,3711,3x,6.00,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,97,https://perfil.mercadolivre.com.br/MARKETMIX1,https://produto.mercadolivre.com.br/MLB-686071680-capa-capinha-iphone-xs-x-xr-6-6s-7-8-plus-max-anti-impacto-_JM?searchVariation=20023563955,76,10,6,1,4,#686071680,Apple,Iphone 5s/se/6/6s/7/Plus/X,Marketmix1,Anti Impacto,Anti Impacto,Silicone
