search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del Celular,Modelo del Celular,Marca de la Funda,Modelo de la Funda,Material,Fabricante,Tipo de funda
1, Funda iPhone 5|6|7|8|plus|x|xs|xr|xs Max Airbag Transparente ,169,NA,5516,46,18 meses,9.39,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,250,https://perfil.mercadolibre.com.mx/BROXYMEXICO,https://articulo.mercadolibre.com.mx/MLM-582143415-funda-iphone-5678plusxxsxrxs-max-airbag-transparente-_JM?searchVariation=17472366030,215,26,3,2,4,#582143415,Apple,iPhone,BMX,iPhone XS MAX | XR | XS | X | PLUS | 8 | 7 | 6 | SE | 5,TPU,BMX,NA
2, Funda Silicon iPhone 5 6 6s 7 8 Plus X Xs Max Xr 24 Colores ,167,NA,5470,8,18 meses,9.30,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,134,https://perfil.mercadolibre.com.mx/TEKKNOSHOP,https://articulo.mercadolibre.com.mx/MLM-633555603-funda-silicon-iphone-5-6-6s-7-8-plus-x-xs-max-xr-24-colores-_JM?searchVariation=28822147970,113,11,5,1,4,#633555603,Apple,"iPhone 5, 6, 7, 8, X, 6+, 6S+ XS",Apple,Silicon Case,Silicona,Apple,Silicon
3, Protector Funda Case Uso Rudo iPhone 5 6 7 8 X Xs Xr Xs Max ,250,NA,1640,197,18 meses,13.89,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,45,https://perfil.mercadolibre.com.mx/ROBERT+CG8,https://articulo.mercadolibre.com.mx/MLM-653278098-protector-funda-case-uso-rudo-iphone-5-6-7-8-x-xs-xr-xs-max-_JM?searchVariation=30591645308,36,7,2,0,0,#653278098,iPhone,Todos los iphone,OEM,Oem,Plástico,OEM,uso rudo
4, Funda Tipo Piel Leather Case iPhone 6 7 8 Plus X Max Xr +mic ,269,NA,2170,59,18 meses,14.94,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,71,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-623748083-funda-tipo-piel-leather-case-iphone-6-7-8-plus-x-max-xr-mic-_JM?searchVariation=32254170130,64,6,1,0,0,#623748083,Apple,6 6s 6 plus 6s plus 7 7 plus 8 8 plus X Xs Xs max Xr,Mikki,Business Leather,TPU,NA,Protector
5, Funda Ultra Slim Transparente iPhone 6 7 8 Plus X Max +mica ,239,NA,989,79,18 meses,13.28,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.2,22,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-651098477-funda-ultra-slim-transparente-iphone-6-7-8-plus-x-max-mica-_JM?searchVariation=32254386866,15,3,0,1,3,#651098477,Apple,6 6s 7 8 Plus X Xs Max Xr,Gurio,Ultra Thin,TPU,Apple,Protector
6, Funda Tipo Piel Leather Case iPhone 6 7 8 Plus X Max Xr +mic ,250,NA,1656,37,18 meses,13.89,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,41,https://perfil.mercadolibre.com.mx/ROBERT+CG8,https://articulo.mercadolibre.com.mx/MLM-637771698-protector-funda-iphone-7-8-7-plus-8-plus-x-xs-nuevo-uso-rudo-_JM?searchVariation=26411510022,31,8,1,1,0,#637771698,Apple,iPhone,RAMEER,2018,Plástico,OEM,Bumper
7, Protector Funda iPhone 7 8 7 Plus 8 Plus X Xs Nuevo Uso Rudo ,219,NA,1729,85,18 meses,12.17,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,56,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-618319522-funda-ultra-slim-silicon-iphone-6-7-8-plus-x-xr-xs-max-_JM?searchVariation=32254069859,41,10,3,0,2,#618319522,Apple,iPhone,Apple,Apple,Silicona,Apple,Protector
8, Funda Ultra Slim Silicon iPhone 6 7 8 | Plus X Xr Xs Max ,179,NA,623,58,18 meses,9.94,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,14,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-670962507-funda-protector-slim-lujo-iphone-6-6s-7-8-plus-x-xs-_JM?searchVariation=34293895112,12,2,0,0,0,#670962507,Apple,iPhone,Auto Focus,Auto Focus,Acrílico,NA,Protector
9, Funda Protector Slim Lujo iPhone 6 6s 7 8 Plus X Xs ,249,NA,990,337,18 meses,13.83,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.1,18,https://perfil.mercadolibre.com.mx/IBUMPER+VERACRUZ,https://articulo.mercadolibre.com.mx/MLM-638119024-funda-magnetica-de-metal-con-vidrio-9h-iphone-y-samsung-_JM?searchVariation=29751866132,10,3,2,2,1,#638119024,Apple,6/6S/6Plus/6SPlus/7/7Plus/8/8Plus/X/XS/XSMAX/XR/ Samsung S7Edge/S8/S8+/S9/S9+/Note8/Note9,NOHON,Magnética Metálica 9H,Aluminio,NOHON,Bumper Metálico con Vidrio 9H
10, Funda Magnética De Metal Con Vidrio 9h iPhone Y Samsung ,599,NA,1813,96,18 meses,33.28,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,114,https://perfil.mercadolibre.com.mx/SHOP_ORIGINALS,https://articulo.mercadolibre.com.mx/MLM-610263453-case-funda-armor-iphone-6-6s-7-8-plus-survivor-uso-rudo-_JM?searchVariation=19674345908,89,18,4,0,3,#610263453,Apple,iPhone,Armor,Heavy Duty,Aluminio,Armor,Heavy Duty
