search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Marca,Material,Color
1, Funda iPhone 7/8/7 Plus/8 Plus/ X 3 En 1 Case Carcasa ,12,NA,15,59,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JAPIMPORTA,https://articulo.mercadolibre.com.pe/MPE-431223060-funda-iphone-787-plus8-plus-x-3-en-1-case-carcasa-_JM,NA,NA,NA,NA,NA,#431223060,Apple,NA,NA,NA
2," Case Silicone iPhone 5s, Se, 6, 6s, 6 Plus, 7, 7 Plus, 8, X ",30,NA,66,110,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,4,http://perfil.mercadolibre.com.pe/APPLEMALLCENTER,https://articulo.mercadolibre.com.pe/MPE-427265378-case-silicone-iphone-5s-se-6-6s-6-plus-7-7-plus-8-x-_JM,4,0,0,0,0,#427265378,Apple,Silicone,Silicona,NA
3, Case iPhone X Xr Xs Max 7 8 Plus Protector Delgado Mate ,69,NA,7,92,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4,1,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435989808-case-iphone-x-xr-xs-max-7-8-plus-protector-delgado-mate-_JM,0,1,0,0,0,#435989808,Apple,NA,NA,Negro
4, Funda Case Transparente iPhone X 8 8 Plus 7 7 Plus 6s 6 ,39,NA,9,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CSHOP1,https://articulo.mercadolibre.com.pe/MPE-432367752-funda-case-transparente-iphone-x-8-8-plus-7-7-plus-6s-6-_JM,NA,NA,NA,NA,NA,#432367752,Apple,NA,NA,NA
5," Funda Para iPhone 6, 6 Plus,7 Plus ,8 Plus - Autofocus Case ",16,NA,6,70,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JAPIMPORTA,https://articulo.mercadolibre.com.pe/MPE-432242766-funda-para-iphone-6-6-plus7-plus-8-plus-autofocus-case-_JM,NA,NA,NA,NA,NA,#432242766,Apple,NA,NA,NA
6, Protector Funda Silicone Case iPhone X 7 8 Y Plus Sellado ,34,NA,394,34,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3.7,7,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,https://articulo.mercadolibre.com.pe/MPE-422401481-protector-funda-silicone-case-iphone-x-7-8-y-plus-sellado-_JM,3,2,0,1,1,#422401481,Apple,NA,NA,NA
7, Funda Case Protector iPhone 7/8/plus+ Protector Pantalla ,19,NA,18,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3.5,2,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-431577553-funda-case-protector-iphone-78plus-protector-pantalla-_JM,0,1,1,0,0,#431577553,Apple,NA,NA,NA
8, Case Funda Protector Supcase iPhone 7 8 Y Plus Stock Colores ,39,NA,160,104,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,5,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,https://articulo.mercadolibre.com.pe/MPE-421205404-case-funda-protector-supcase-iphone-7-8-y-plus-stock-colores-_JM,4,1,0,0,0,#421205404,Apple,NA,NA,NA
9, Case Cover Galaxy S10 S9 S8+ Plus S8 iPhone Xs Max X Note 9 ,169,NA,78,75,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,6,http://perfil.mercadolibre.com.pe/GLOBAL+CELS,https://articulo.mercadolibre.com.pe/MPE-424678527-case-cover-galaxy-s10-s9-s8-plus-s8-iphone-xs-max-x-note-9-_JM,5,1,0,0,0,#424678527,Samsung,NA,TPU/Policarbonato,NA
10, iPhone Case Fibra Carbono 8 7 Plus X Protector Funda Cover ,24,NA,5,15,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TIENDAEXPRESS.PE,https://articulo.mercadolibre.com.pe/MPE-433924614-iphone-case-fibra-carbono-8-7-plus-x-protector-funda-cover-_JM,NA,NA,NA,NA,NA,#433924614,Apple,NA,NA,NA
