search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del Celular,Modelo del Celular,Marca de la Funda,Modelo de la Funda,Tipo de funda,Material,Fabricante
1, Apple iPhone 6 16 GB Gris espacial ,NA,NA,NA,NA,NA,NA.NA,NA,NA,NA,NA,NA,NA,NA,https://www.mercadolibre.com.mx/p/MLM6055015?searchVariation=MLM6055015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2, Apple iPhone 8 64 GB Gris espacial ,NA,NA,NA,NA,NA,NA.NA,NA,NA,NA,NA,NA,NA,NA,https://www.mercadolibre.com.mx/p/MLM8752432?searchVariation=MLM8752432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3, Apple iPhone 6 64 GB Gris espacial ,NA,NA,NA,NA,NA,NA.NA,NA,NA,NA,NA,NA,NA,NA,https://www.mercadolibre.com.mx/p/MLM6055018?searchVariation=MLM6055018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4, Funda Tipo Piel Leather Case iPhone 6 7 8 Plus X Max Xr +mic ,269,NA,2349,19,18 meses,14.94,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,79,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-623748083-funda-tipo-piel-leather-case-iphone-6-7-8-plus-x-max-xr-mic-_JM?searchVariation=32254170260,69,9,1,0,0,#623748083,Apple,6 6s 6 plus 6s plus 7 7 plus 8 8 plus X Xs Xs max Xr,Mikki,Business Leather,Protector,TPU,NA
5, Celular Apple iPhone 8 64gb Liberado + Audifonos + Funda ,"9,999",NA,153,14,18 meses,555.50,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,103,https://perfil.mercadolibre.com.mx/TEKKNOSHOP,https://articulo.mercadolibre.com.mx/MLM-644856769-celular-apple-iphone-8-64gb-liberado-audifonos-funda-_JM?searchVariation=30987052344,84,13,3,0,3,#644856769,NA,NA,NA,NA,NA,NA,NA
6, Funda Tipo Piel Leather Case iPhone 6 7 8 Plus X Max Xr +mic ,189,NA,5116,97,18 meses,10.50,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,319,https://perfil.mercadolibre.com.mx/VIGU+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-588207953-funda-360-iphone-6-6-plus-7-7-plus-8-8-plus-x-cristal-_JM?searchVariation=32729163913,231,55,16,8,9,#588207953,Apple,iPhone,360,360°,360,Plástico,VIGU
7," Funda 360 iPhone 6, 6 Plus, 7, 7 Plus, 8, 8 Plus X + Cristal ",199,NA,3611,3067,18 meses,11.06,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,262,https://perfil.mercadolibre.com.mx/BENNY2711,https://articulo.mercadolibre.com.mx/MLM-558302579-funda-iphone-55sse-6-6s-7-8-x-y-plus-xs-max-xr-regalo-_JM?searchVariation=34126119426,215,37,8,1,1,#558302579,Apple,iPhone 5 iPhone 5s iPhone SE iPhone 6 iPhone 6s iPhone 6s Plus iPhone 7 iPhone 7 Plus iPhone 8 iPhone 8 Plus iPhone X iPhone XS iPhone XS Max iPhone XR,Ultimate experience,Rugged Armor,TPU Silicona,Silicona,Apple
8, Funda iPhone 5/5s/se 6 6s 7 8 X Y Plus Xs Max Xr + Regalo ,269,NA,2349,19,18 meses,14.94,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,79,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=frt4YZHrKFvvNMpOpiVqA9iS0Ju88IQIyVibnW8OKkmRTQ%2BsImy%2BlqZ0x43XoIHgIFIv5b3y9EK8HwOqsK3FFX7Z1LKe%2FRJt2JMzYH1owV41SczAj0HcaK5FN3rCrSGOXTHPfHxNVMfdIuc1tKJxDt%2BSvVzJ9pj4HE4fPu2GFGp%2BkoZ%2BMV9brbOQPnXmtZxX6%2BMy%2By2XcXTw2fH%2F9GHg%2BnFkR2WIuGkBQ0%2F9TTORIqB5ykZUOC%2F795pnF3CdBfWZPMwWdWVh2Ce%2BIRAaxq3z%2BOQ5ZvHuSJ7tmsQUUWmwr7Kwxita%2FsboJ4OMQ0TYl2CJ1catuIIyBSoT6NZ7ECd5w5Y%2FtGDZ7JRwn0JFlgRnlOZjZX1Li1uxt%2B5ZT54qjGzIf1PBGML49C1stwK7Q6kSaNW3Rppebkg1s%2Fkw%2FqfXCVZJFvKfuEfFOrIO9H1NIFdlutICc2lc6XwCi92yNA1q2fWsTTDxCTJpMoaJ3JtFMmsbbZ5mHTvhWdsVz%2F3R%2FByiSeKafTrUdyFT44F1ThbQoT0fSFx29imbvERLMhuvLhf8mr12%2Fz9LjdcZd3FQwS3b94RCLFNyrnVVztIrBHyqWuzCRlvoJkYeGojgYv23fNGkKusPxT6rMgxtuBMBFGDRPhM3e5xUIyamV%2BtDTuRiE8YSYu7BVXFWUYcOb7tIstalUC49w%2BE%2BLfDqbHfP2MBJPom83Doo1vGNifEnzraDRbS7nL0REJFHlqqOVNiQi5Dww0mAsbOx0xBB8GA6uDbCtLvzo9T6TUHh8nesTjxz4uzJPy2hpKLy1kMrEih1ilio0FYoPM9KHGPezEOnYWYVGuhXQgESGwAsHWo2hqRPohoaor4tN6TEEhO%2By8xnRiA3eFSWPJAGrxBKKmf7xTSrEPTyHdymp1lNS1wGnqi%2BnG%2BI1l4OeeXZqHOhGp%2BhIUZHIRaJil1C9a2rJb6%2FVBtQPAugq%2BMkSfJo6OE%2B%2B4dMIoVRrxL%2FRLHu97x15ZMW2hcI0eLMtDJmeQcjWSmKZp3yRnkg18kfhKE%2Fz0JuVUQtIeJG8ROYGsul4iumUyFlr4e4t2AI0zYaqIxbFkKKyMwToxYHrbhmNVPTNUwcej%2BNBVR6aKLxvcsolfifrCtycNgI%2B0BlNt3%2F4n7jYG8A3vguhaQ92KKHCmwAKN5t97W2NhBOJizIqnlO7xZ31TWynMD4%2BZS5PvRaBYYVcF8M9zyhOCmtcQSIU2iGeC23ZPsSYvZYy4NIWJcqkF2ExB6cd%2B4Bf486fJnROuRCA0VWeeiMLKo6yaDspCY%2BPurL66kH%2FH5XvWR3tdsi6tM2MMojrHeH%2FI3Z5EHER8N3UMt%2BnTZpBw9ghgo%2FcXgXL29PSpW38wp0U8gVTlWThWkBQclb7zCCDlV7IzOm%2BasMmF70%2FEZeByyK%2BtMH9assuVWCuzLsvgadzNfD%2FcDHH6obMXzwru7rGCkoPYAXuZ0NwJ5PbPz%2BVlORdxgOeGK4AyYDhu%2Fspeq8qlUUc%2BR4QuqicgWMMwW%2FxQymEj2LVquJgoThUs93oUqPcdkNekI5YlxtRYmTx%2FMs%2BS8%2BcudrIZNGEN44ND9uJOYO%2FGtODEOPrthkjgM86bba4KK%2BItkYC%2BnETiZ2ohMGeJsTm5DNX%2FBAN7RMLa4txTFt6xO0M1VCen1QgFYbxSNuO3dX0f92TgLwp2y7quTfzey3K2S5dizayFP2fvgFUw%3D%3D,69,9,1,0,0,#623748083,Apple,6 6s 6 plus 6s plus 7 7 plus 8 8 plus X Xs Xs max Xr,Mikki,Business Leather,Protector,TPU,NA
9, Funda Vrs Duo Guard Hard Case iPhone 7 | 8 Alto Impacto ,349,NA,10,3,18 meses,19.39,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/TODO+FUNDA,https://articulo.mercadolibre.com.mx/MLM-633787458-funda-vrs-duo-guard-hard-case-iphone-7-8-alto-impacto-_JM,NA,NA,NA,NA,NA,#633787458,Apple,iPhone 7 | iPhone 8,VRS Design (Verus),Duo Guard,Rugerizada,TPU/Policarbonato,VRS
10, Funda Lujo Cromo 3 En 1 iPhone X 8 7 6 Plus 6s 5 Se ,169,NA,6344,20,18 meses,9.39,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.4,344,https://perfil.mercadolibre.com.mx/ONE-CLICK,https://articulo.mercadolibre.com.mx/MLM-577013572-funda-lujo-cromo-3-en-1-iphone-x-8-7-6-plus-6s-5-se-_JM,231,61,31,11,10,#577013572,Apple,iPhone 5 / 5s / SE / 6 / 6s / 6 Plus / 6s Plus / 7 / 7 Plus / 8 / 8 Plus / X / Xs / XR / XS Max,3 EN 1,Funda 3 en 1 Lujosa,Funda Protectora de Lujo,Plástico,Apple
