search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Marca,Tipo de funda
1, Tech 21 Funda Dura iPhone 8/7 Plus Evoke Transparente/azul ,23.99,NA,1,9,6,3.998,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-496719646-tech-21-funda-dura-iphone-87-plus-evoke-transparenteazul-_JM,NA,NA,NA,NA,NA,#496719646,Apple,Tech 21,Carcasa
2, Carcasa Apple Silicona Original 6 / 7 Y 7 Plus / 8 Y 8 Plus ,7.8,NA,253,78,12,650,NA,Envío a todo el país,NA,NA,4.8,17,https://perfil.mercadolibre.cl/CELLBOX.CL,https://articulo.mercadolibre.cl/MLC-454645969-carcasa-apple-silicona-original-6-7-y-7-plus-8-y-8-plus-_JM?searchVariation=36229993361,16,0,0,0,1,#454645969,Apple,Apple,Carcasa
3, Carcasa Rock Ultra Delgada iPhone 6/7/8/x/xs/plus ,8.99,NA,353,166,12,749,NA,Envío a todo el país,NA,NA,4.7,30,https://perfil.mercadolibre.cl/BANANATIENDA,https://articulo.mercadolibre.cl/MLC-452176797-carcasa-rock-ultra-delgada-iphone-678xxsplus-_JM,27,1,0,1,1,#452176797,Apple,Rock,Carcasa
4, iPhone 5 5s 6 6s 7 8 Plus Carcasa 360 Slim Gkk | Kyrios ,7.99,NA,70,3,12,666,NA,Envío a todo el país,NA,NA,4.8,5,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-473097419-iphone-5-5s-6-6s-7-8-plus-carcasa-360-slim-gkk-kyrios-_JM,4,1,0,0,0,#473097419,Apple,GKK,Carcasa
5, Apple iPhone Xr 64gb 4g Plus Banda28 Mica Funda -phone Store ,639.99,749.990,7,893,6,106.665,NA,Envío gratis a todo el país,NA,NA,4.9,16,https://perfil.mercadolibre.cl/PHONESTORE-RETAILCHILE,https://articulo.mercadolibre.cl/MLC-471445619-apple-iphone-xr-64gb-4g-plus-banda28-mica-funda-phone-store-_JM,14,2,0,0,0,#471445619,NA,Apple,NA
6, Carcasas Colores iPhone Silicona 6/7/8/x/xs/xr/plus ,6.99,NA,61,66,12,582,NA,Envío a todo el país,NA,NA,5,4,https://perfil.mercadolibre.cl/BANANATIENDA,https://articulo.mercadolibre.cl/MLC-492059051-carcasas-colores-iphone-silicona-678xxsxrplus-_JM?searchVariation=39967227028,4,0,0,0,0,#492059051,Apple,Silicone,Carcasa
7, Carcasas Apple Cuero iPhone 6 / 6 Plus 7 7 Plus 8 Y 8 Plus ,8.99,NA,132,375,12,749,NA,Envío a todo el país,NA,NA,4.3,8,https://perfil.mercadolibre.cl/CELLBOX.CL,https://articulo.mercadolibre.cl/MLC-455131366-carcasas-apple-cuero-iphone-6-6-plus-7-7-plus-8-y-8-plus-_JM?searchVariation=36233406122,5,2,0,0,1,#455131366,Apple,Apple,Carcasa
8, Carcasa Magnética iPhone 6 6s 6 Plus 7 8 8 Plus X | Digitek ,9.99,NA,29,71,6,1.665,NA,Envío a todo el país,NA,NA,4,1,https://perfil.mercadolibre.cl/DIGITEK.CL,https://articulo.mercadolibre.cl/MLC-489124640-carcasa-magnetica-iphone-6-6s-6-plus-7-8-8-plus-x-digitek-_JM,0,1,0,0,0,#489124640,Apple,NA,Carcasa
9, iPhone 6 / 7 / 8 / Plus Carcasa Shockproof Ipaky | Kyrios ,10.99,NA,70,2,12,916,NA,Envío a todo el país,NA,NA,5,4,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-455542006-iphone-6-7-8-plus-carcasa-shockproof-ipaky-kyrios-_JM?searchVariation=38591914057,4,0,0,0,0,#455542006,Apple,IPAKY,Carcasa
10, Power Case Bateria Externa Funda 5000mah iPhone 6 7 8 Plus ,14.99,NA,20,80,6,2.498,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TECNOPICADA,https://articulo.mercadolibre.cl/MLC-471415131-power-case-bateria-externa-funda-5000mah-iphone-6-7-8-plus-_JM,NA,NA,NA,NA,NA,#471415131,NA,NA,NA
