search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato,Modelo alfanumérico,Línea
1, Auricular Bluetooth Gadnic Inalambrico 3.0 Musica Celular ,1399,2100,"
			
			
				
				1585
				vendidos
			
		",(8285 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,305,https://perfil.mercadolibre.com.ar/SALES+COM?brandId=945,https://articulo.mercadolibre.com.ar/MLA-647289957-auricular-bluetooth-gadnic-inalambrico-30-musica-celular-_JM,220,46,25,6,8,#647289957,Gadnic,T11,Over-ear,NA,NA
2, Auricular Vincha Deportiva Gadnic Bluetooth Running Celular ,1999,3100,"
			
			
				
				1615
				vendidos
			
		",(7435 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,395,https://perfil.mercadolibre.com.ar/SALES+COM?brandId=945,https://articulo.mercadolibre.com.ar/MLA-647289481-auricular-vincha-deportiva-gadnic-bluetooth-running-celular-_JM,311,53,19,6,6,#647289481,Gadnic,BT6,Over-ear,NA,NA
3, Auriculares Bluetooth Inalambrico I7s iPhone Android AirPods ,649,NA,"
			
				Nuevo
			
			
				
					 - 
				
				528
				vendidos
			
		",(17 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.2,160,https://perfil.mercadolibre.com.ar/READYGOWEB,https://articulo.mercadolibre.com.ar/MLA-736879465-auriculares-bluetooth-inalambrico-i7s-iphone-android-airpods-_JM,89,37,15,8,11,#736879465,Apple,EarPods,In-ear,MMEF2,NA
4, Auricular Bluetooth Xiaomi Redmi Airdots Wireless ,1362,1570,"
			
				Nuevo
			
			
				
					 - 
				
				537
				vendidos
			
		",(5 disponibles),6 cuotas sin interés,NA,NA,NA,NA,NA,4.6,165,https://perfil.mercadolibre.com.ar/FACILIDADAR,https://articulo.mercadolibre.com.ar/MLA-787855253-auricular-bluetooth-xiaomi-redmi-airdots-wireless-_JM,114,39,6,3,3,#787855253,Xiaomi,AirDots,In-ear,NA,Mi
5, Auriculares Bluetooth In Ear Inalambrico Con Base Recargable ,589,NA,"
			
				Nuevo
			
			
				
					 - 
				
				629
				vendidos
			
		",(271 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,3,https://perfil.mercadolibre.com.ar/JBD-HITECH,https://articulo.mercadolibre.com.ar/MLA-803080043-auriculares-bluetooth-in-ear-inalambrico-con-base-recargable-_JM,2,1,0,0,0,#803080043,TWS,I7s,In-ear,3,Earpod
6, Auriculares In Ear Bluetooth I7s Tws Recargable Inalambricos ,700,778,"
			
				Nuevo
			
			
				
					 - 
				
				806
				vendidos
			
		",(356 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.1,17,https://perfil.mercadolibre.com.ar/DELTAEXPORT,https://articulo.mercadolibre.com.ar/MLA-790356968-auriculares-in-ear-bluetooth-i7s-tws-recargable-inalambricos-_JM,9,4,1,2,1,#790356968,TWS,I7s,In-ear,3,Earpod
7, Auriculares Bluetooth Deportivo Inalambrico Samsung iPhone ,349,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2052
				vendidos
			
		",(335 disponibles),6 cuotas sin interés,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.1,54,https://perfil.mercadolibre.com.ar/QUIEROESO+YA,https://articulo.mercadolibre.com.ar/MLA-705185832-auriculares-bluetooth-deportivo-inalambrico-samsung-iphone-_JM,28,12,5,7,2,#705185832,Quiero eso ya,QUIERO ESO YA,Ear-Buds,NA,Bluetooth
8, Auricular Bluetooth Mini Manos Libres iPhone Android Running ,700,778,"
			
				Nuevo
			
			
				
					 - 
				
				806
				vendidos
			
		",(356 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.1,17,https://perfil.mercadolibre.com.ar/DELTAEXPORT,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=DmKJDB3GzzlJqVMY3Gfrun9x%2B95929KKeRHJwuicIhk7c8DClAJi9Eth4PxOhC38jg3LDXAzy0VNhOA5%2FcPhkFtiL%2B9BNp2yvmoGPsNqiz35MXFA2XQT6hPBPbBSFaFFKGrNJgFenF14DdlPgDfcQENOl81sgX1Fdd72Kp2hqj2hUib6%2BHu49Iz0jbcXBQilG3MEJXD6EJE88qjQg1JxNsZ%2FXiOvLxFeJrCkfN2NHLrLKy5WZBekEB%2F1%2FTBvMXMkWdDbl%2BufmpM4CoLH4hTIvjQTGEI1AQUpdPHsk%2FOFbPRSuhMpccz6Mcc%2B27BusxV%2B4M5fopeauuolc1PKXod%2BPBX544YPK5qimAv0sbsRqu5%2BwQnBu67DPgd8n3nRLGyfJrS0dUUormVWS2WV1%2FvIGFKR4UsvhyeOVB3pANy%2BDavJ%2FARWwhjJqs26RIT75HLl6mbJXgckQLw1bcqIeGVjwPNQpYJ%2BIwVQ4gbi6B%2F91PyTu6ktbvjjwRElc69OqpAlKoL%2FEDnBXbpGxqLCYR8d3a0Maw%2Bb8qxFAWI7tNcukeOBqOWdfZ6xzYLXElLIsbQhMdY%2BLXzslAnu%2FwTNRbfbt0sWzRmKxv%2FNd0UuC1iae1v%2B%2FR3mp4oZ0sSaHCUo4mG5W7xa407Nx6Q6NsGhpliFUnJo4MdGWq8tNjXAO%2BwlqHGbjBv9GTGNwHU%2FfUiljfOa3Ox04hwo1gbOdU%2BUN%2Fd7jfJbmW%2BnvsVzFu9PLofuX3sQeHt3etQZdi2Bm%2FuuCfSAZN9FtZ8Dq25iyEeuuJ3EmDuF7pyO2OQecoPMcJ6ytGlY24UnNqnK0%2BRbYyuXOtB%2BxDAHyi4QOTAEmkLJ0FkZY25k4axLuMvsThoQscbAR65GmgGQOSs%2FyLflFUXX9uMMMAXdwm6vUCKtNv1gQALzFx5K6%2ByC5Atn5VSEhXvpcs9uP%2BRSTaJJRtI9lueUDHkex63JI1sooGMbKYYzcumzn1JG0AYdxiaa2YFnO%2FuthF%2FWtezLXwWACFidSwYbtjuwAdOkUzaTM4Nb49lj7otrRRqeEVrzeYSbBFoh5SkY4nmtRaHoWlZOF%2FnmeprhGgjKuoM6mUOaAfu00LeA6kla0nRu%2FMbSg8HaJz8lqn28qpgvAhptdXMPPvePH6VBY5%2F3eJkifHzt%2BndVdcbNo5KAI4ZaJE5qCxWqnUFVoah9A8reYnJYgPya%2FJkda6n3BVEMpGmFXpnEVLR9cPpGj7FWlvT5AHajq%2Bo3dpb%2BxIAY12KZIw2YY1o3qd7u6ZE6Pyz1vLWYUDfXtzhnKdBFlqTa88BA4fSHItTAEDPifIVB1J2O8jYfUJ3gX48lJalOlL4qThFkkJndSfuMdts46qrkLJQbyrpkky4Wp0nBGgx%2FxvZV%2Fcorsprx1439Jepc%2F44sjfyrVpdkc3UZxLyaldvSvUf8dNIjX1HD3JjN%2FPGP4kVCd9zIsyEMUcCahH1tI1Qp0KFFJXeC5QxyRg3WMEdrag%2BI1rYeAhuH3LTXE9tcG93peIzfDLeLMIpUwgV49iNnbkNxvsNK2Vms1tY1%2Filj6PDJXF4wdbapO7LZkxjIT2uqLFW%2By7XnXu%2FLHOGxDnH3b4jHGcLcFtpkKwE0hmhPKSL15ml%2BgYgP6Z5acTJU,9,4,1,2,1,#790356968,TWS,I7s,In-ear,3,Earpod
9, Auriculares Bluetooth Noga Bt469 Manos Libres Oficial Full ,299,NA,"
			
				Nuevo
			
			
				
					 - 
				
				613
				vendidos
			
		",(549 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,3.5,16,https://perfil.mercadolibre.com.ar/UNIVERSALSHOPS,https://articulo.mercadolibre.com.ar/MLA-749501381-auricular-bluetooth-mini-manos-libres-iphone-android-running-_JM,7,1,3,3,2,#749501381,Universal,S530,Mini  bluetooth,S530,In Ear
10, Auriculares Bluetooth A7 - Alta Gama - 4hs De Musica Sup I7s ,549,NA,"
			
				Nuevo
			
			
				
					 - 
				
				307
				vendidos
			
		",(6 disponibles),12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,156,https://perfil.mercadolibre.com.ar/DALECL%C3%8DCK,https://articulo.mercadolibre.com.ar/MLA-782265804-auriculares-bluetooth-noga-bt469-manos-libres-oficial-full-_JM,85,46,16,5,4,#782265804,Noganet,NG-BT469,Over-ear,NG-BT469,Aris
