search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Conectores de entrada,Peso,Color
1, Parlante Portátil Sony Extra Bass Con Bluetooth -srs-xb21 ,239.9,329.9,244,24,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,29,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,https://articulo.mercadolibre.com.co/MCO-474791732-parlante-portatil-sony-extra-bass-con-bluetooth-srs-xb21-_JM,25,3,1,0,0,#474791732,Sony,EXTRA BASS,SRS-XB21,8 W,Activo,USB,530 g,NA
2, Parlante Portátil Sony Extra Bass Con Bluetooth - Srs-xb31 ,335.93,479.9,193,14,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,38,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,https://articulo.mercadolibre.com.co/MCO-474791740-parlante-portatil-sony-extra-bass-con-bluetooth-srs-xb31-_JM,31,4,2,1,0,#474791740,Sony,EXTRA BASS,SRS-XB31,NA,Activo,USB,890 g,NA
3, Parlante Portable Jbl Go 2 Bluetooth A Prueba De Agua Go2 ,110.9,147.9,605,43,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,112,https://perfil.mercadolibre.com.co/DELLTHUS,https://articulo.mercadolibre.com.co/MCO-461389037-parlante-portable-jbl-go-2-bluetooth-a-prueba-de-agua-go2-_JM,105,5,0,2,0,#461389037,JBL,NA,JBL Go2,3 W,Activo,NA,184 g,NA
4, Parlante Bluetooth Resistente Al Agua Manos Libres Para Baño ,14.9,19.9,1139,5,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4.3,55,https://perfil.mercadolibre.com.co/ARTICULOSALTAGAMA,https://articulo.mercadolibre.com.co/MCO-449583744-parlante-bluetooth-resistente-al-agua-manos-libres-para-bano-_JM,33,11,6,2,3,#449583744,NA,NA,NA,NA,NA,NA,108 g,Azul/Verde
5, Micrófono Karaoke Q7 - Bluetooth Parlante Portatil + Estuch ,41.9,59.9,627,12,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4.5,39,https://perfil.mercadolibre.com.co/ARTICULOSALTAGAMA,https://articulo.mercadolibre.com.co/MCO-455787971-microfono-karaoke-q7-bluetooth-parlante-portatil-estuch-_JM,27,8,2,0,2,#455787971,NA,NA,NA,NA,NA,NA,NA,NA
6, Parlante Jbl Charge 4 Bluetooth Sumergible 100% Original ,478.7,NA,278,100,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,81,https://perfil.mercadolibre.com.co/AEY+DISTRIBUCIONES,https://articulo.mercadolibre.com.co/MCO-459158831-parlante-jbl-charge-4-bluetooth-sumergible-100-original-_JM,72,6,2,0,0,#459158831,JBL,NA,Charge 4,30 W,Activo,NA,NA,NA
7, Parlante Sony Extrabass Bluetooth Resistente Al Agua- Xb01 ,99.9,124.9,197,3,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,17,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,https://articulo.mercadolibre.com.co/MCO-491523025-parlante-sony-extrabass-bluetooth-resistente-al-agua-xb01-_JM,14,3,0,0,0,#491523025,Sony,EXTRA BASS,NA,3 W,NA,NA,160 g,NA
8, Parlante Altavoz Bluetooth Radio Portatil Ms ,39.9,48.9,219,681,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.5,13,https://perfil.mercadolibre.com.co/BETHMARC,https://articulo.mercadolibre.com.co/MCO-455564403-parlante-altavoz-bluetooth-radio-portatil-ms-_JM,9,3,0,1,0,#455564403,NA,NA,NA,NA,NA,NA,NA,NA
9, Parlante Altavoz Portatil Charge 3+/10w Fm Bluetooth Sd Usb ,69.99,NA,149,3,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,14,https://perfil.mercadolibre.com.co/TITAN+ELECTRONIC,https://articulo.mercadolibre.com.co/MCO-464734363-parlante-altavoz-portatil-charge-310w-fm-bluetooth-sd-usb-_JM,12,0,2,0,0,#464734363,NA,NA,NA,10 W,Activo,NA,NA,NA
10, Cabina De Sonido Recargable Connor Bluetooth Parlante Audio ,79.9,NA,97,1997,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,2,https://perfil.mercadolibre.com.co/QUILLASHOPCOLOMBIA+SAS,https://articulo.mercadolibre.com.co/MCO-523511842-cabina-de-sonido-recargable-connor-bluetooth-parlante-audio-_JM,2,0,0,0,0,#523511842,Connor,NA,CN500,15 W,NA,USB,NA,NA
11, Parlante Bluetooth Cabina De Sonido Activa Recargable ,158,NA,160,22,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,5,https://perfil.mercadolibre.com.co/MUNDONOVEDAD.CO,https://articulo.mercadolibre.com.co/MCO-452765139-parlante-bluetooth-cabina-de-sonido-activa-recargable-_JM,4,1,0,0,0,#452765139,KROMBI,NA,KB-SS8732,NA,NA,Auxiliar,NA,NA
12, Parlante Portable Jbl Flip 4 12 Horas Sumergible Original ,309.9,NA,132,4,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,38,https://perfil.mercadolibre.com.co/JL+LUJO,https://articulo.mercadolibre.com.co/MCO-467204584-parlante-portable-jbl-flip-4-12-horas-sumergible-original-_JM,33,5,0,0,0,#467204584,JBL,Flip,Flip 4,NA,NA,NA,515 g,Agua
13, Parlante Recargable Bluetooth Radio Fm Manos Libres + Obs ,17.9,NA,207,62,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4.3,17,https://perfil.mercadolibre.com.co/MERCADO+CLICKS,https://articulo.mercadolibre.com.co/MCO-446590928-parlante-recargable-bluetooth-radio-fm-manos-libres-obs-_JM,11,3,1,1,1,#446590928,NA,NA,NA,NA,NA,NA,NA,NA
