search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Tipos de filtros del parlante,Peso,Conectores de entrada,Color,Tipos de parlante,Potencia de salida (RMS)
11, Parlante Portatil Maxtron Urban 8 Bluetooth Karaoke Fm Usb ,123,NA,"
			
				Nuevo
			
			
				
					 - 
				
				12
				vendidos
			
		","
		
			¡Último disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/REYLU+PRODUCTS,https://articulo.mercadolibre.com.pe/MPE-434666277-parlante-portatil-maxtron-urban-8-bluetooth-karaoke-fm-usb-_JM,NA,NA,NA,NA,NA,#434666277,NA,NA,NA,NA,NA,NA,NA,NA
12, Parlante Sony Bluetooth Extra Bass Ip67 Acuatico Xb12 ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(9 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434444306-parlante-sony-bluetooth-extra-bass-ip67-acuatico-xb12-_JM,NA,NA,NA,NA,NA,#434444306,Sony,XB12,NA,NA,NA,Como,Portatil,NA
13, Jbl Flip 4 Parlante Bluetooth Original Acuático Tienda ,349,NA,"
			
				Nuevo
			
			
				
					 - 
				
				12
				vendidos
			
		",(993 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/IMANIA.PERU,https://articulo.mercadolibre.com.pe/MPE-429636474-jbl-flip-4-parlante-bluetooth-original-acuatico-tienda-_JM,NA,NA,NA,NA,NA,#429636474,JBL,Flip 4,NA,NA,NA,NA,NA,NA
14, Receptor Bluetooth Adaptador 3.5 Para Autos Parlantes ,29,NA,"
			
				Nuevo
			
			
				
					 - 
				
				268
				vendidos
			
		",(740 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3.9,7,http://perfil.mercadolibre.com.pe/GRUPONATIC.PE,https://articulo.mercadolibre.com.pe/MPE-419076361-receptor-bluetooth-adaptador-35-para-autos-parlantes-_JM,3,1,2,1,0,#419076361,generic,aux,NA,NA,NA,NA,NA,NA
15, Oferta! Pk08 Parlante Karaoke Bluetooth Radio Fm 8 Pulgadas ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				21
				vendidos
			
		",(90 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,2,http://perfil.mercadolibre.com.pe/VELBRO+PERU,https://articulo.mercadolibre.com.pe/MPE-433317574-oferta-pk08-parlante-karaoke-bluetooth-radio-fm-8-pulgadas-_JM,NA,NA,NA,NA,NA,#433317574,NA,NA,NA,NA,Auxiliar,NA,NA,NA
16, Parlante Tronsmart T6 Plus Bluetooth 40w + Estuche ,330,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(7 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ANDREUS+STORE,https://articulo.mercadolibre.com.pe/MPE-436941118-parlante-tronsmart-t6-plus-bluetooth-40w-estuche-_JM,NA,NA,NA,NA,NA,#436941118,NA,NA,NA,NA,NA,NA,NA,40 W
17, Parlante Bluetooth Jbl Flip 4 Sumergible Sellado / Tienda ,339,NA,"
			
				Nuevo
			
			
				
					 - 
				
				15
				vendidos
			
		",(42 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,9,http://perfil.mercadolibre.com.pe/OSCARENRIQUECASTILLOFALCON,https://articulo.mercadolibre.com.pe/MPE-429687772-parlante-bluetooth-jbl-flip-4-sumergible-sellado-tienda-_JM,7,2,0,0,0,#429687772,JBL,Flip 4,Activo,NA,NA,NA,NA,16 W
18, Google Home Mini - Masplay ,139,NA,"
			
				Nuevo
			
			
				
					 - 
				
				11
				vendidos
			
		",(9988 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/MASPLAY+PERU,https://articulo.mercadolibre.com.pe/MPE-434654884-google-home-mini-masplay-_JM,NA,NA,NA,NA,NA,#434654884,NA,NA,NA,173 g,NA,NA,NA,NA
19, Parlante Activo A Bateria Mpa200bt Bluetooth + Envio ,1599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(98 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SOUNDA+E.I.R.L,https://articulo.mercadolibre.com.pe/MPE-435495287-parlante-activo-a-bateria-mpa200bt-bluetooth-envio-_JM,NA,NA,NA,NA,NA,#435495287,NA,NA,NA,NA,NA,NA,NA,NA
20, Parlante Jbl Charge 4 Acuatico Bluetooth Portatil By Harman ,559,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(18 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434111505-parlante-jbl-charge-4-acuatico-bluetooth-portatil-by-harman-_JM,NA,NA,NA,NA,NA,#434111505,JBL,Charge 4,Activo,NA,NA,Como,Portatil,30 W
21, Parlante Sony Bluetooth Extra Bass Inalámbrico Xb41 (negro) ,599,NA,"
			
			
				
				18
				vendidos
			
		",(11 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.5,2,http://perfil.mercadolibre.com.pe/SONYPERUSRL?brandId=25,https://articulo.mercadolibre.com.pe/MPE-431904355-parlante-sony-bluetooth-extra-bass-inalambrico-xb41-negro-_JM,NA,NA,NA,NA,NA,#431904355,Sony,NA,NA,1500 g,USB,NA,NA,NA
22, Parlante Acuatico Bluetooth Manos Libres Microfono Ducha ,24,NA,"
			
				Nuevo
			
			
				
					 - 
				
				48
				vendidos
			
		",(52 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.3,4,http://perfil.mercadolibre.com.pe/SANTOFA+E.I.R.L,https://articulo.mercadolibre.com.pe/MPE-421447296-parlante-acuatico-bluetooth-manos-libres-microfono-ducha-_JM,3,0,0,1,0,#421447296,NA,NA,NA,NA,NA,NA,NA,NA
23, Amazon Echo Dot 3ra Gen Altavoz Alexa Nuevo Y Sellado ,180,NA,"
			
				Nuevo
			
			
				
					 - 
				
				7
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/EDISEL.TS,https://articulo.mercadolibre.com.pe/MPE-436628951-amazon-echo-dot-3ra-gen-altavoz-alexa-nuevo-y-sellado-_JM,NA,NA,NA,NA,NA,#436628951,Amazon,NA,NA,300 g,NA,Gris oscuro,NA,NA
24, Parlante True Wireless Soundcore Motion B ,139,199,"
			
			
				
				19
				vendidos
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,3,http://perfil.mercadolibre.com.pe/ANKER+PERU?brandId=144,https://articulo.mercadolibre.com.pe/MPE-434836116-parlante-true-wireless-soundcore-motion-b-_JM,3,0,0,0,0,#434836116,NA,NA,NA,400 g,NA,NA,NA,NA
25, Parlante Jbl Charge 4 Acuatico Bluetooth Portatil By Harman ,529,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(295 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ELEAZARALATAMARINO,https://articulo.mercadolibre.com.pe/MPE-437378262-parlante-jbl-charge-4-acuatico-bluetooth-portatil-by-harman-_JM,NA,NA,NA,NA,NA,#437378262,JBL,Charge 4,Activo,NA,NA,NA,Woofer,30 W
26, Parlante Bluetooth Jbl Boombox 60w Mejor Portátil Del Mundo ,1569,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(50 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/OSCARENRIQUECASTILLOFALCON,https://articulo.mercadolibre.com.pe/MPE-432426065-parlante-bluetooth-jbl-boombox-60w-mejor-portatil-del-mundo-_JM,NA,NA,NA,NA,NA,#432426065,JBL,Boombox,Activo,NA,NA,NA,NA,60 W
27, Parlante Jbl Charge 4 Bt 100% Original 20horas 30w Acuático ,565,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(17 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NO2125288,https://articulo.mercadolibre.com.pe/MPE-436598987-parlante-jbl-charge-4-bt-100-original-20horas-30w-acuatico-_JM,NA,NA,NA,NA,NA,#436598987,JBL,Charge 4,Activo,NA,NA,NA,"portátil, impermeable",30 W
28, Autoradio Pioneer Dxt-s4069bt Bluetooth + 4 Parlante Pioneer ,569,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PERU_DE_SHOPPING,https://articulo.mercadolibre.com.pe/MPE-434645186-autoradio-pioneer-dxt-s4069bt-bluetooth-4-parlante-pioneer-_JM,NA,NA,NA,NA,NA,#434645186,NA,NA,NA,NA,NA,NA,NA,NA
29, Jbl Charge 3 20w Parlante Bluetooth Acuatico Original ,529,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(994 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/IMANIA.PERU,https://articulo.mercadolibre.com.pe/MPE-429572439-jbl-charge-3-20w-parlante-bluetooth-acuatico-original-_JM,NA,NA,NA,NA,NA,#429572439,JBL,Charge 3,Pasivo,800 g,NA,NA,NA,20 W
30, P Parlante Bluetooth Logitech Ue Megaboom 3 Ip67 ,649,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(1 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/INTECGLOBALPERU,https://articulo.mercadolibre.com.pe/MPE-435567205-p-parlante-bluetooth-logitech-ue-megaboom-3-ip67-_JM,NA,NA,NA,NA,NA,#435567205,Logitech,NA,NA,925 g,NA,NA,NA,NA
31, Jbl Go 2 Parlante Bluetooth Portatil Acuatico Ipx7 Original ,119,NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(43 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,15,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434444185-jbl-go-2-parlante-bluetooth-portatil-acuatico-ipx7-original-_JM,13,1,1,0,0,#434444185,JBL,GO 2,Activo,NA,NA,Brillante,Portatil,3.1 W
32, Parlante Portatil Altavoz Bluetooth Charge Mini ,39,NA,"
			
				Nuevo
			
			
				
					 - 
				
				17
				vendidos
			
		",(183 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.3,3,http://perfil.mercadolibre.com.pe/PRECIO.PE,https://articulo.mercadolibre.com.pe/MPE-429000664-parlante-portatil-altavoz-bluetooth-charge-mini-_JM,2,0,1,0,0,#429000664,NA,NA,NA,2 kg,NA,Fiesta,NA,NA
33, Jbl Xtreme 2 Parlante Acuatico Bluetooth Portatil By Harman ,1049,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(8 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-435224647-jbl-xtreme-2-parlante-acuatico-bluetooth-portatil-by-harman-_JM,NA,NA,NA,NA,NA,#435224647,NA,NA,NA,NA,NA,NA,NA,NA
34, Parlante Jbl Charge 4 Acuatico 30w Bluetooth Portatil Harman ,559,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(8 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-436114782-parlante-jbl-charge-4-acuatico-30w-bluetooth-portatil-harman-_JM,NA,NA,NA,NA,NA,#436114782,JBL,Charge 4,Activo,NA,NA,NA,Portatil,30 W
35, Parlante Potente Bluetooth Recargable / Usb / Sd / Radio ,54,NA,"
			
				Nuevo
			
			
				
					 - 
				
				23
				vendidos
			
		",(76 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/SPORTECH+BALHER,https://articulo.mercadolibre.com.pe/MPE-431706450-parlante-potente-bluetooth-recargable-usb-sd-radio-_JM,NA,NA,NA,NA,NA,#431706450,NA,NA,NA,NA,USB,NA,NA,NA
36," Parlante Tronsmart Element Mega 40w,.bluetooth 4.2, Nfc ",215,NA,"
			
				Nuevo
			
			
				
					 - 
				
				11
				vendidos
			
		",(6 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/FLOYDTEC.,https://articulo.mercadolibre.com.pe/MPE-421964989-parlante-tronsmart-element-mega-40wbluetooth-42-nfc-_JM,NA,NA,NA,NA,NA,#421964989,Tronsmart,Element Mega,Activo,NA,NA,NA,Bluetooth,40 W
37, Parlante Bluetooth Radio Usb Halion 8w Manos Libres ,52,NA,"
			
				Nuevo
			
			
				
					 - 
				
				16
				vendidos
			
		",(5 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/OSWALDO+VALVERDE,https://articulo.mercadolibre.com.pe/MPE-432544632-parlante-bluetooth-radio-usb-halion-8w-manos-libres-_JM,NA,NA,NA,NA,NA,#432544632,Halion,HA-S35,Pasivo,NA,Auxiliar,Negro,Super tweeter,30 W
38, Parlante Karaoke Bluetooth + Microfono Y Entrada Guitarra ,120,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(95 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CIBERVENTAS4000,https://articulo.mercadolibre.com.pe/MPE-431844087-parlante-karaoke-bluetooth-microfono-y-entrada-guitarra-_JM,NA,NA,NA,NA,NA,#431844087,NA,NA,NA,NA,USB,Cartón,NA,NA
39, Parlante Bluetooth Jbl Flip 4 16w Original Acuatico ,349,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/IMANIA.PERU,https://articulo.mercadolibre.com.pe/MPE-432749458-parlante-bluetooth-jbl-flip-4-16w-original-acuatico-_JM,NA,NA,NA,NA,NA,#432749458,JBL,Flip 4,NA,NA,NA,NA,NA,NA
40, Minicomponente Panasonic Bluetooth Sc-ua3 300w One Box ,469,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PERU_DE_SHOPPING,https://articulo.mercadolibre.com.pe/MPE-426399387-minicomponente-panasonic-bluetooth-sc-ua3-300w-one-box-_JM,NA,NA,NA,NA,NA,#426399387,Panasonic,NA,NA,NA,USB,NA,NA,300 W
41, Amazon Echo Dot 3ra Gen Español Alexa Tienda En San Isidro ,238,NA,"
			
				Nuevo
			
			
				
					 - 
				
				16
				vendidos
			
		",(11 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.0,1,http://perfil.mercadolibre.com.pe/DIGITALZ+PERU,https://articulo.mercadolibre.com.pe/MPE-434754150-amazon-echo-dot-3ra-gen-espanol-alexa-tienda-en-san-isidro-_JM,NA,NA,NA,NA,NA,#434754150,Amazon,NA,NA,300 g,NA,NA,NA,NA
42, Mi Bluetooth Speaker Parlante Bluetooth Xiaomil Mdz-26-db ,138,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(17 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DIGITAL-PERU,https://articulo.mercadolibre.com.pe/MPE-436048626-mi-bluetooth-speaker-parlante-bluetooth-xiaomil-mdz-26-db-_JM,NA,NA,NA,NA,NA,#436048626,Xiaomi,Mi Bluetooth Speaker,Activo,270 g,"Plug, Lector SD",Dorada,NA,6 W
43, Parlante Bluetooth 6000w Microfono Ruedas Klip Xtreme Kws920 ,999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PERU_DE_SHOPPING,https://articulo.mercadolibre.com.pe/MPE-431951347-parlante-bluetooth-6000w-microfono-ruedas-klip-xtreme-kws920-_JM,NA,NA,NA,NA,NA,#431951347,NA,NA,NA,12.5 kg,NA,NA,NA,NA
44, Microfono Bluetooth Karaoke Parlanrte Inalambrico Delivery ,99,NA,"
			
				Nuevo
			
			
				
					 - 
				
				8
				vendidos
			
		",(12 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.0,1,http://perfil.mercadolibre.com.pe/IMPORTACIONESMYJASOCIADOS,https://articulo.mercadolibre.com.pe/MPE-434083302-microfono-bluetooth-karaoke-parlanrte-inalambrico-delivery-_JM,NA,NA,NA,NA,NA,#434083302,NA,NA,NA,NA,NA,NA,NA,NA
45, Parlante Jbl Original Modelo Flip 4 Color Negro. ,330,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(4 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/IPLUS_STORE,https://articulo.mercadolibre.com.pe/MPE-436597165-parlante-jbl-original-modelo-flip-4-color-negro-_JM,NA,NA,NA,NA,NA,#436597165,JBL,Flip 4,NA,NA,NA,NA,Acuatico,16 W
46, Jbl Charge 3 Parlante Bluetooth Acuatico Sumergible Portatil ,529,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(12 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-432339590-jbl-charge-3-parlante-bluetooth-acuatico-sumergible-portatil-_JM,NA,NA,NA,NA,NA,#432339590,NA,NA,NA,NA,NA,NA,NA,NA
47, Bose Parlante Inalambrico Soundlink Revolve Bluetooth Negro ,899,NA,"
			
			
				
				1
				vendido
			
		",(146 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/GWYICHANGYCIASATO?brandId=133,https://articulo.mercadolibre.com.pe/MPE-434071230-bose-parlante-inalambrico-soundlink-revolve-bluetooth-negro-_JM,NA,NA,NA,NA,NA,#434071230,Bose,Revolve,Activo,660 g,NA,NA,NA,NA
48, [ ] Parlante Portatil Micronics Sound Master Bluethoot Micro ,290,NA,"
			
				Nuevo
			
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/OFERTAS+DELIVERY,https://articulo.mercadolibre.com.pe/MPE-436529376--parlante-portatil-micronics-sound-master-bluethoot-micro-_JM,NA,NA,NA,NA,NA,#436529376,NA,NA,NA,NA,NA,Negro brillante,NA,NA
49, Parlante 2.1 Cybertel Para Pc Newton - Cyb S1000bt - Negro ,75,NA,"
			
				Nuevo
			
			
				
					 - 
				
				11
				vendidos
			
		","
		
			¡Último disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/OSWALDO+VALVERDE,https://articulo.mercadolibre.com.pe/MPE-433420666-parlante-21-cybertel-para-pc-newton-cyb-s1000bt-negro-_JM,NA,NA,NA,NA,NA,#433420666,NA,NA,NA,NA,NA,NA,NA,NA
50, Gratis!!! Parlante Logitech Ue Wonderboom Bluetooth Ipx7 ,269,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(1 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/INTECGLOBALPERU,https://articulo.mercadolibre.com.pe/MPE-434462022-gratis-parlante-logitech-ue-wonderboom-bluetooth-ipx7-_JM,NA,NA,NA,NA,NA,#434462022,Logitech,NA,NA,NA,NA,NA,NA,NA
51, Parlante Tronsmart T6 + Plus 40w True Bass Sd Bluetooth 5.0 ,260,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(98 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GRAFOPERU,https://articulo.mercadolibre.com.pe/MPE-437621488-parlante-tronsmart-t6-plus-40w-true-bass-sd-bluetooth-50-_JM,NA,NA,NA,NA,NA,#437621488,Tronsmart,T6 + PLUS,NA,NA,NA,NA,NA,40 W
52, Parlante Bluetooth + Subwoofer De 70 Watts Karaoke ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				42
				vendidos
			
		",(191 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,3.3,4,http://perfil.mercadolibre.com.pe/INNOVA+LEDS,https://articulo.mercadolibre.com.pe/MPE-421436494-parlante-bluetooth-subwoofer-de-70-watts-karaoke-_JM,1,1,1,0,1,#421436494,Cafini,NA,NA,NA,"USB, sd, bluetooth, fm, mic",NA,Subwoofer,70 W
